event,samples,mean_basis,median_basis,mean_basis_change_30m,median_basis_change_30m,mean_mark,mean_index
HIGH_BASIS_NARROWING,3965,0.0003466827241841603,0.000272887286346446,-0.0002827500971178065,-0.0002288013211271256,22994.37783682696,22987.735042281915
HIGH_BASIS_WIDENING,40636,9.737394955620353e-05,-0.00013738724813044945,0.00029382805014518064,0.0002511792919337452,22797.38283286863,22798.82571908918
LOW_BASIS_NARROWING,3672,-0.0005100129255384997,-0.0004671302085793583,0.0003580898755956691,0.0002547798443888194,11898.864198722711,11901.191943307851
LOW_BASIS_WIDENING,37746,-0.0005465360158924853,-0.0006012624615316375,-0.00029795913330927116,-0.0002490133719705856,22267.060372579792,22278.59505950914
