variant,cost,windows,positive_windows,pf_gt_1_windows,median_window_return,median_window_pf,positive_window_rate
CANDIDATE_FIRST_30M,0.0004,124,68,68,0.00018325029149612626,1.0683896337859549,0.5483870967741935
CANDIDATE_FIRST_30M,0.0006,124,61,61,-1.6749708503873556e-05,0.9916511208800274,0.49193548387096775
CANDIDATE_FIRST_30M,0.0008,124,57,57,-0.0002167497085038737,0.9316352941721677,0.4596774193548387
CANDIDATE_FIRST_60M,0.0004,124,72,72,0.0004207526878739007,1.1341828708506818,0.5806451612903226
CANDIDATE_FIRST_60M,0.0006,124,67,67,0.00022075268787390102,1.0602514701129322,0.5403225806451613
CANDIDATE_FIRST_60M,0.0008,124,62,62,2.0752687873900788e-05,1.005063075157032,0.5
LEGACY_EVENT_FIRST_60M,0.0004,124,79,79,0.0005330583501570219,1.2574342670706542,0.6370967741935484
LEGACY_EVENT_FIRST_60M,0.0006,124,72,72,0.00033305835015702215,1.1692165916819235,0.5806451612903226
LEGACY_EVENT_FIRST_60M,0.0008,124,68,68,0.00013305835015702184,1.0639547015604296,0.5483870967741935
