symbol,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,median_holding_bars
BNBUSDT,RECLAIM_FAILURE,0.0,1614,9.453355982727683e-05,-0.0008546678932629947,0.3159851301115242,1.062836195580028,-0.0037797265702530945,0.005587320864574053,5.0
BNBUSDT,RECLAIM_FAILURE,0.0002,1614,-0.00010546644017272312,-0.0010546678932629948,0.30855018587360594,0.9357673877049347,-0.003979726570253094,0.005387320864574053,5.0
BNBUSDT,RECLAIM_FAILURE,0.0004,1614,-0.00030546644017272325,-0.0012546678932629947,0.29739776951672864,0.8285198394293304,-0.004179726570253095,0.005187320864574053,5.0
BNBUSDT,STOP_REJECTION_LOW,0.0,1614,0.00016990503762964434,-0.0008787128665108668,0.27942998760842624,1.1370370450769656,-0.0029728295990820385,0.005101844703471858,3.0
BNBUSDT,STOP_REJECTION_LOW,0.0002,1614,-3.0094962370355624e-05,-0.0010787128665108669,0.27447335811648077,0.9782627179623246,-0.0031728295990820386,0.004901844703471859,3.0
BNBUSDT,STOP_REJECTION_LOW,0.0004,1614,-0.00023009496237035577,-0.0012787128665108667,0.26332094175960347,0.8496829687127958,-0.0033728295990820387,0.004701844703471858,3.0
BNBUSDT,TIME_ONLY,0.0,1614,0.0003495778252552331,0.0005171898858050694,0.5687732342007435,1.1683703030111103,-0.006305587280871894,0.0070506445252739745,12.0
BNBUSDT,TIME_ONLY,0.0002,1614,0.00014957782525523326,0.00031718988580506943,0.5415117719950434,1.0690848394259944,-0.006505587280871894,0.006850644525273975,12.0
BNBUSDT,TIME_ONLY,0.0004,1614,-5.0422174744766935e-05,0.0001171898858050694,0.5185873605947955,0.9776795537862688,-0.006705587280871894,0.006650644525273974,12.0
BTCUSDT,RECLAIM_FAILURE,0.0,1619,5.1086821130895584e-05,-0.0008048860541944869,0.3218035824583076,1.0363744315673342,-0.0036505209659788204,0.0046662308028955655,6.0
BTCUSDT,RECLAIM_FAILURE,0.0002,1619,-0.00014891317886910437,-0.001004886054194487,0.3125386040765905,0.9033732535131649,-0.0038505209659788204,0.004466230802895566,6.0
BTCUSDT,RECLAIM_FAILURE,0.0004,1619,-0.00034891317886910444,-0.0012048860541944869,0.30142063001853,0.7922519703436236,-0.0040505209659788205,0.004266230802895565,6.0
BTCUSDT,STOP_REJECTION_LOW,0.0,1619,0.00013691536406951524,-0.0008609123266719587,0.288449660284126,1.1146237954030178,-0.0028382032840818415,0.004308601728696626,4.0
BTCUSDT,STOP_REJECTION_LOW,0.0002,1619,-6.308463593048475e-05,-0.0010609123266719588,0.2804200123533045,0.9528406505247392,-0.0030382032840818416,0.004108601728696626,4.0
BTCUSDT,STOP_REJECTION_LOW,0.0004,1619,-0.0002630846359304849,-0.0012609123266719587,0.2705373687461396,0.8225251998573254,-0.0032382032840818416,0.003908601728696626,4.0
BTCUSDT,TIME_ONLY,0.0,1619,0.00010328848784286759,0.0004592239857035274,0.5571340333539222,1.0511970261074441,-0.0057869163661816705,0.006040026673097954,12.0
BTCUSDT,TIME_ONLY,0.0002,1619,-9.671151215713231e-05,0.0002592239857035274,0.5342804200123533,0.9541339520160774,-0.00598691636618167,0.005840026673097954,12.0
BTCUSDT,TIME_ONLY,0.0004,1619,-0.00029671151215713247,5.9223985703527385e-05,0.5077208153180975,0.8653684062118367,-0.006186916366181671,0.0056400266730979535,12.0
ETHUSDT,RECLAIM_FAILURE,0.0,1538,7.848771684704077e-05,-0.0012070810073222527,0.33745123537061117,1.0387103003953337,-0.005166859158691106,0.006758268496189189,6.0
ETHUSDT,RECLAIM_FAILURE,0.0002,1538,-0.000121512283152959,-0.0014070810073222527,0.33159947984395316,0.94376249219244,-0.005366859158691105,0.0065582684961891895,6.0
ETHUSDT,RECLAIM_FAILURE,0.0004,1538,-0.0003215122831529594,-0.0016070810073222526,0.3283485045513654,0.8598917133282301,-0.005566859158691106,0.006358268496189189,6.0
ETHUSDT,STOP_REJECTION_LOW,0.0,1538,0.00011720788066364817,-0.001289984396409205,0.2847854356306892,1.070229745747713,-0.003945022346617455,0.0062555125314321235,4.0
ETHUSDT,STOP_REJECTION_LOW,0.0002,1538,-8.279211933635168e-05,-0.0014899843964092051,0.28218465539661897,0.9543145631481907,-0.004145022346617454,0.006055512531432124,4.0
ETHUSDT,STOP_REJECTION_LOW,0.0004,1538,-0.00028279211933635197,-0.001689984396409205,0.2795838751625488,0.855426263652203,-0.004345022346617455,0.005855512531432123,4.0
ETHUSDT,TIME_ONLY,0.0,1538,0.0004326164106647467,0.0008547572203245757,0.5617685305591678,1.1595998987962775,-0.008412302763753066,0.008628356809711168,12.0
ETHUSDT,TIME_ONLY,0.0002,1538,0.00023261641066474697,0.0006547572203245757,0.5474642392717816,1.0830837673873608,-0.008612302763753066,0.008428356809711168,12.0
ETHUSDT,TIME_ONLY,0.0004,1538,3.2616410664746824e-05,0.00045475722032457566,0.5357607282184655,1.011279055873251,-0.008812302763753065,0.008228356809711169,12.0
SOLUSDT,RECLAIM_FAILURE,0.0,1774,0.00025083021290435496,-0.0014644278828008783,0.32356257046223225,1.1093936160235702,-0.005758182844579673,0.008274720870585672,5.0
SOLUSDT,RECLAIM_FAILURE,0.0002,1774,5.0830212904355176e-05,-0.0016644278828008784,0.31905298759864714,1.0209299766497317,-0.005958182844579673,0.008074720870585672,5.0
SOLUSDT,RECLAIM_FAILURE,0.0004,1774,-0.000149169787095645,-0.0018644278828008783,0.3134160090191657,0.9418534829034023,-0.0061581828445796735,0.007874720870585673,5.0
SOLUSDT,STOP_REJECTION_LOW,0.0,1774,0.0001940375432067915,-0.0015437397277701659,0.2750845546786922,1.0997339013781124,-0.004492829202161419,0.007395884171704315,3.0
SOLUSDT,STOP_REJECTION_LOW,0.0002,1774,-5.96245679320838e-06,-0.001743739727770166,0.27226606538895154,0.9971481299886845,-0.004692829202161419,0.007195884171704315,3.0
SOLUSDT,STOP_REJECTION_LOW,0.0004,1774,-0.00020596245679320845,-0.0019437397277701658,0.26719278466741825,0.9079234140384604,-0.004892829202161419,0.006995884171704315,3.0
