hypothesis,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_WIDEN_CONTINUE_LONG,30,BNBUSDT,0.0,7586,-0.00012689723727673407,-0.00013771839010762177,-0.00013500774012968476,-0.0001323018935297692,0.48009491167940943,0.9214018445769862,-0.004658860975364942,0.004449121194561867
HIGH_WIDEN_CONTINUE_LONG,30,BNBUSDT,0.0004,7586,-0.0005268972372767341,-0.0005377183901076217,-0.0005350077401296843,-0.0005323018935297694,0.425916161349855,0.7126046265529286,-0.0050588609753649426,0.004049121194561867
HIGH_WIDEN_CONTINUE_LONG,30,BNBUSDT,0.0006,7586,-0.0007268972372767341,-0.0007377183901076217,-0.0007350077401296847,-0.0007323018935297691,0.39546533087266017,0.6274300633743685,-0.005258860975364942,0.003849121194561867
HIGH_WIDEN_CONTINUE_LONG,30,BTCUSDT,0.0,10893,-7.051504831854288e-05,-7.599581111084053e-05,-7.174503072980951e-05,-6.708270340602408e-05,0.4882952354723217,0.9553994572490836,-0.004648929062354701,0.004537257565805365
HIGH_WIDEN_CONTINUE_LONG,30,BTCUSDT,0.0004,10893,-0.0004705150483185429,-0.00047599581111084055,-0.00047174503072980973,-0.0004670827034060243,0.4304599283943817,0.7382237270554645,-0.005048929062354701,0.0041372575658053645
HIGH_WIDEN_CONTINUE_LONG,30,BTCUSDT,0.0006,10893,-0.0006705150483185427,-0.0006759958111108405,-0.0006717450307298096,-0.0006670827034060239,0.40135867070595793,0.6497383466395793,-0.005248929062354701,0.003937257565805365
HIGH_WIDEN_CONTINUE_LONG,30,ETHUSDT,0.0,11657,-1.1080640939007762e-05,-5.04702913513011e-05,-4.1234617274594034e-05,-3.194039834395294e-05,0.4931800634811701,0.9948238970046127,-0.006200971620978946,0.006260828384864412
HIGH_WIDEN_CONTINUE_LONG,30,ETHUSDT,0.0004,11657,-0.00041108064093900773,-0.0004504702913513011,-0.00044123461727459373,-0.000431940398343953,0.44857167367247147,0.8252631363942541,-0.006600971620978946,0.005860828384864411
HIGH_WIDEN_CONTINUE_LONG,30,ETHUSDT,0.0006,11657,-0.0006110806409390077,-0.000650470291351301,-0.0006412346172745938,-0.0006319403983439529,0.42824054216350693,0.7520923631823739,-0.006800971620978946,0.005660828384864412
HIGH_WIDEN_CONTINUE_LONG,30,SOLUSDT,0.0,10500,-7.318799291967941e-05,-0.00016692505447224448,-0.00012333695587270034,-9.671507795145506e-05,0.48104761904761906,0.9725544682769309,-0.008013044327045648,0.007831349232125095
HIGH_WIDEN_CONTINUE_LONG,30,SOLUSDT,0.0004,10500,-0.0004731879929196794,-0.0005669250544722444,-0.0005233369558727002,-0.000496715077951455,0.4551428571428571,0.8356432468478612,-0.008413044327045647,0.0074313492321250955
HIGH_WIDEN_CONTINUE_LONG,30,SOLUSDT,0.0006,10500,-0.0006731879929196793,-0.0007669250544722444,-0.0007233369558727007,-0.000696715077951455,0.44076190476190474,0.7747998648674085,-0.008613044327045648,0.007231349232125096
HIGH_WIDEN_CONTINUE_LONG,60,BNBUSDT,0.0,7586,-9.534340625398264e-05,-7.97365667001837e-05,-0.00010392828070585561,-0.00012469257345437964,0.49077247561297127,0.955827615262586,-0.006418291235815721,0.005998697901169137
