cost,windows,total_samples,positive_windows,positive_window_rate,median_mean_return,median_profit_factor,median_win_rate
0.0,24,2097,11,0.4583333333333333,-3.3805880912800176e-05,0.9907495174881928,0.4352130865260439
0.0002,24,2097,6,0.25,-0.00023380588091279975,0.9366911995232301,0.4167120008704167
0.0004,24,2097,3,0.125,-0.00043380588091279957,0.8472188315708153,0.4093535572408812
0.0006,24,2097,0,0.0,-0.0006338058809128007,0.7730639068551011,0.3919845485272815
0.0008,24,2097,0,0.0,-0.0008338058809128006,0.7214567001396597,0.3710826210826211
0.001,24,2097,0,0.0,-0.001033805880912801,0.6633336007395785,0.34973721930243673
