hypothesis,year,horizon,minutes,feature,bucket,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q1,0.0,1626,0.0001725775567108584,0.0003238609450779,0.5276752767527675,1.0765224514342118,-0.00686801236990145,0.00706656176677895
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q1,0.0002,1626,-2.7422443289141528e-05,0.0001238609450779,0.509840098400984,0.9883392798985647,-0.00706801236990145,0.00686656176677895
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q1,0.0004,1626,-0.0002274224432891416,-7.613905492210001e-05,0.49384993849938497,0.9072267851720767,-0.0072680123699014505,0.00666656176677895
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q2,0.0,1574,-0.00018431220859770848,0.00024715772923265,0.5203303684879288,0.9262334059107135,-0.00767434765137782,0.006879048682995582
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q2,0.0002,1574,-0.0003843122085977084,4.7157729232649996e-05,0.5025412960609911,0.8519763371211523,-0.00787434765137782,0.006679048682995583
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q2,0.0004,1574,-0.0005843122085977085,-0.00015284227076735,0.48538754764930114,0.7833789006008051,-0.00807434765137782,0.006479048682995582
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q3,0.0,1528,-0.0003583432063325497,0.00025941946399725,0.5170157068062827,0.8686951375090936,-0.008310607788461878,0.007229517128375759
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q3,0.0002,1528,-0.0005583432063325497,5.941946399724997e-05,0.5032722513089005,0.8024823833102938,-0.008510607788461879,0.0070295171283757596
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q3,0.0004,1528,-0.0007583432063325499,-0.00014058053600275004,0.487565445026178,0.7409774433869596,-0.008710607788461878,0.006829517128375759
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q4,0.0,1584,0.0007382373186496856,0.0009387336075421999,0.5650252525252525,1.2633482573029438,-0.00857283672822022,0.00987488615602344
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q4,0.0002,1584,0.0005382373186496856,0.0007387336075422,0.55239898989899,1.1861474453482534,-0.008772836728220221,0.00967488615602344
DOWN_REVERSAL_LONG,2024,6,30,abs_return_z,Q4,0.0004,1584,0.0003382373186496856,0.0005387336075421999,0.5353535353535354,1.113403742219321,-0.00897283672822022,0.00947488615602344
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q1,0.0,1688,-0.0001331644315138852,0.00021865594474705,0.523696682464455,0.9443784279668515,-0.00714291077731299,0.0066016266465048394
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q1,0.0002,1688,-0.0003331644315138852,1.865594474704999e-05,0.5011848341232228,0.866288983226486,-0.007342910777312989,0.00640162664650484
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q1,0.0004,1688,-0.0005331644315138853,-0.00018134405525295,0.4792654028436019,0.7943993472879293,-0.00754291077731299,0.006201626646504839
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q2,0.0,1558,-0.0001921460219187928,6.209435381243633e-05,0.5044929396662388,0.9161065204147514,-0.00696934922961301,0.006520592940843907
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q2,0.0002,1558,-0.0003921460219187928,-0.00013790564618756368,0.4871630295250321,0.8359963600978043,-0.007169349229613009,0.006320592940843907
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q2,0.0004,1558,-0.0005921460219187927,-0.0003379056461875637,0.4711168164313222,0.762712861174629,-0.00736934922961301,0.0061205929408439065
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q3,0.0,1539,0.00015178808571730495,0.0002052030370049,0.52046783625731,1.0627174165920408,-0.007294962299729899,0.007373616112281721
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q3,0.0002,1539,-4.821191428269501e-05,5.203037004899996e-06,0.5003248862897985,0.9808565307045392,-0.007494962299729899,0.007173616112281721
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q3,0.0004,1539,-0.00024821191428269504,-0.0001947969629951,0.47823261858349575,0.9052797718635753,-0.007694962299729899,0.006973616112281721
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q4,0.0,1499,-2.2174949983155625e-05,0.0003623626041791,0.5290193462308206,0.992927378025202,-0.009500812765348018,0.00897508601864232
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q4,0.0002,1499,-0.0002221749499831555,0.0001623626041791,0.5163442294863242,0.9312367130450172,-0.009700812765348019,0.00877508601864232
DOWN_REVERSAL_LONG,2025,6,30,abs_return_z,Q4,0.0004,1499,-0.00042217494998315566,-3.7637395820900015e-05,0.4983322214809873,0.8732051288038987,-0.009900812765348018,0.008575086018642321
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q1,0.0,790,0.00023290050273513786,0.0004292216647434,0.5594936708860759,1.148722083464419,-0.004852962365042689,0.005320999698768281
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q1,0.0002,790,3.290050273513786e-05,0.0002292216647434,0.5354430379746835,1.0198598461815653,-0.005052962365042689,0.005120999698768281
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q1,0.0004,790,-0.00016709949726486213,2.9221664743399984e-05,0.5050632911392405,0.9046571634077889,-0.0052529623650426896,0.004920999698768281
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q2,0.0,972,0.0001684107562458377,0.000329454362331,0.5493827160493827,1.0996700316572579,-0.00539166634178822,0.00557536530799762
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q2,0.0002,972,-3.1589243754162286e-05,0.00012945436233099999,0.5154320987654321,0.982283975083478,-0.00559166634178822,0.0053753653079976205
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q2,0.0004,972,-0.00023158924375416234,-7.054563766900002e-05,0.49176954732510286,0.8769752288486473,-0.00579166634178822,0.00517536530799762
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q3,0.0,1037,0.00012206977132309621,0.0006817826426894,0.5670202507232401,1.0660172615423906,-0.00587072980341038,0.00578647315540022
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q3,0.0002,1037,-7.793022867690378e-05,0.0004817826426894,0.5467695274831244,0.9597763812006965,-0.006070729803410379,0.00558647315540022
DOWN_REVERSAL_LONG,2026,6,30,abs_return_z,Q3,0.0004,1037,-0.0002779302286769038,0.00028178264268939997,0.5265188042430087,0.863149510432738,-0.00627072980341038,0.00538647315540022
