hypothesis,horizon_bars,minutes,cost,mean_relative_return,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_CONTINUATION_LONG,1,5,0.0,-8.665703456470095e-05,12020,4.105694787810595e-06,-6.309886464278547e-05,-3.7109096684759245e-05,-9.81496328220516e-06,0.4887687188019967,1.0030974656789695,-0.0038032463404475856,0.003974612297724024
POS_CONTINUATION_LONG,1,5,0.0004,-8.665703456470095e-05,12020,-0.00039589430521218944,-0.0004630988646427855,-0.00043710909668475935,-0.00040981496328220524,0.41672212978369383,0.7436346607519876,-0.004203246340447586,0.003574612297724024
POS_CONTINUATION_LONG,1,5,0.0006,-8.665703456470095e-05,12020,-0.0005958943052121893,-0.0006630988646427854,-0.0006371090966847589,-0.0006098149632822051,0.3833610648918469,0.6419574040858005,-0.0044032463404475855,0.003374612297724024
POS_CONTINUATION_LONG,3,15,0.0,-3.037553979085246e-05,12020,6.660616890674569e-05,-8.226331338501147e-05,-2.1034943509647952e-05,3.209207944843998e-05,0.4891846921797005,1.0321288768023136,-0.006214145994562226,0.006473944649169221
POS_CONTINUATION_LONG,3,15,0.0004,-3.037553979085246e-05,12020,-0.00033339383109325425,-0.0004822633133850115,-0.0004210349435096479,-0.0003679079205515601,0.44517470881863563,0.8541370347423135,-0.006614145994562226,0.0060739446491692205
POS_CONTINUATION_LONG,3,15,0.0006,-3.037553979085246e-05,12020,-0.0005333938310932543,-0.0006822633133850114,-0.0006210349435096488,-0.00056790792055156,0.42321131447587357,0.7776556525951082,-0.006814145994562226,0.005873944649169221
POS_CONTINUATION_LONG,6,30,0.0,2.5789196607242544e-06,12020,0.00023178845866405433,-7.083264573326531e-05,6.863246543989396e-05,0.0001588554698135525,0.4934276206322795,1.0860420117224652,-0.008197148539975685,0.008777992574117668
POS_CONTINUATION_LONG,6,30,0.0004,2.5789196607242544e-06,12020,-0.00016821154133594559,-0.00047083264573326533,-0.0003313675345601058,-0.00024114453018644742,0.4614808652246256,0.9420578353525099,-0.008597148539975685,0.008377992574117669
POS_CONTINUATION_LONG,6,30,0.0006,2.5789196607242544e-06,12020,-0.00036821154133594576,-0.0006708326457332653,-0.0005313675345601064,-0.0004411445301864474,0.4463394342762063,0.8777617785272023,-0.008797148539975685,0.008177992574117669
POS_CONTINUATION_LONG,12,60,0.0,-1.0028535087218518e-05,12020,0.00028931117761837817,-2.3109379515218187e-05,0.00010425336305375459,0.0002121477551947087,0.4980033277870216,1.081153948783478,-0.010589656318008966,0.011520935523738585
POS_CONTINUATION_LONG,12,60,0.0004,-1.0028535087218518e-05,12020,-0.00011068882238162164,-0.0004231093795152182,-0.0002957466369462449,-0.00018785224480529115,0.4710482529118136,0.9706484242452821,-0.010989656318008965,0.011120935523738586
POS_CONTINUATION_LONG,12,60,0.0006,-1.0028535087218518e-05,12020,-0.0003106888223816221,-0.0006231093795152181,-0.0004957466369462461,-0.00038785224480529127,0.45898502495840265,0.9198857715071685,-0.011189656318008966,0.010920935523738585
POS_REVERSION_SHORT,1,5,0.0,8.665703456470095e-05,12020,-4.105694787810595e-06,6.309886464278547e-05,3.710909668475908e-05,9.814963282205095e-06,0.507820299500832,0.9969120989884339,-0.003974612297724022,0.003803246340447586
POS_REVERSION_SHORT,1,5,0.0004,8.665703456470095e-05,12020,-0.00040410569478781065,-0.00033690113535721455,-0.00036289090331524096,-0.000390185036717795,0.4433444259567388,0.7374798585026004,-0.0043746122977240225,0.003403246340447586
POS_REVERSION_SHORT,1,5,0.0006,8.665703456470095e-05,12020,-0.0006041056947878105,-0.0005369011353572145,-0.0005628909033152411,-0.0005901850367177947,0.41164725457570717,0.634655765922088,-0.004574612297724022,0.0032032463404475862
POS_REVERSION_SHORT,3,15,0.0,3.037553979085246e-05,12020,-6.660616890674569e-05,8.226331338501147e-05,2.1034943509647786e-05,-3.209207944844041e-05,0.5091514143094842,0.9688712548166917,-0.0064739446491692155,0.006214145994562226
POS_REVERSION_SHORT,3,15,0.0004,3.037553979085246e-05,12020,-0.0004666061689067457,-0.00031773668661498855,-0.000378965056490352,-0.0004320920794484404,0.4658069883527454,0.8010313737843147,-0.006873944649169216,0.005814145994562226
POS_REVERSION_SHORT,3,15,0.0006,3.037553979085246e-05,12020,-0.0006666061689067455,-0.0005177366866149885,-0.0005789650564903519,-0.0006320920794484402,0.44309484193011645,0.7283894024078139,-0.007073944649169215,0.005614145994562226
POS_REVERSION_SHORT,6,30,0.0,-2.5789196607242544e-06,12020,-0.00023178845866405433,7.083264573326531e-05,-6.863246543989428e-05,-0.00015885546981355547,0.5049916805324459,0.9207746930655082,-0.008777992574117665,0.008197148539975685
POS_REVERSION_SHORT,6,30,0.0004,-2.5789196607242544e-06,12020,-0.0006317884586640542,-0.0003291673542667347,-0.00046863246543989406,-0.0005588554698135554,0.47029950083194677,0.7981687263468243,-0.009177992574117664,0.007797148539975685
POS_REVERSION_SHORT,6,30,0.0006,-2.5789196607242544e-06,12020,-0.0008317884586640544,-0.0005291673542667346,-0.0006686324654398946,-0.0007588554698135555,0.4541597337770383,0.7430993912209075,-0.009377992574117665,0.0075971485399756854
POS_REVERSION_SHORT,12,60,0.0,1.0028535087218518e-05,12020,-0.00028931117761837817,2.3109379515218187e-05,-0.00010425336305375459,-0.0002121477551947099,0.5008319467554077,0.9249376567742337,-0.011520935523738585,0.010589656318008967
