timestamp,equity,realized_equity,unrealized_pnl,active_positions,gross_exposure_ratio
2024-01-09 21:15:00+00:00,0.9988754218222656,0.9988754218222656,0.0,3,3.7528142588017888
2024-01-09 21:20:00+00:00,0.8791098878721466,0.9988754218222656,-0.11976553395011907,3,4.26407890241638
2024-01-09 21:25:00+00:00,0.8701986808345035,0.9988754218222656,-0.12867674098776216,3,4.307744895897132
2024-01-09 21:30:00+00:00,0.8459724310991426,0.9988754218222656,-0.15290299072312313,3,4.431106485244244
2024-01-09 21:35:00+00:00,0.8417235333775257,0.9988754218222656,-0.15715188844473993,3,4.453474064981321
2024-01-09 21:40:00+00:00,0.8739915698680607,0.9988754218222656,-0.12488385195420496,3,4.289050438263546
2024-01-09 21:45:00+00:00,0.8587740034087237,0.8587740034087237,0.0,0,0.0
2024-01-11 08:50:00+00:00,0.8584519631574454,0.8584519631574454,0.0,1,1.2504689258471926
2024-01-11 08:55:00+00:00,0.8610086498141482,0.8584519631574454,0.0025566866567027042,1,1.2467557724218177
2024-01-11 09:00:00+00:00,0.85712248609596,0.8584519631574454,-0.0013294770614854109,1,1.2524085199891997
2024-01-11 09:05:00+00:00,0.8555202957910931,0.8584519631574454,-0.0029316673663522703,1,1.254753989521987
2024-01-11 09:10:00+00:00,0.8538840163308034,0.8584519631574454,-0.004567946826642034,1,1.2571584474360653
2024-01-11 09:15:00+00:00,0.8518045778500185,0.8584519631574454,-0.006647385307426935,1,1.260227442038842
2024-01-11 09:20:00+00:00,0.8515848050650083,0.8515848050650083,0.0,0,0.0
2024-01-12 14:30:00+00:00,0.8512654607631089,0.8512654607631089,0.0,1,1.2504689258471928
2024-01-12 14:35:00+00:00,0.8431461297361089,0.8512654607631089,-0.008119331027000068,1,1.2625106951085996
2024-01-12 14:40:00+00:00,0.8428343032163553,0.8512654607631089,-0.008431157546753556,1,1.2629777908529294
2024-01-12 14:45:00+00:00,0.848320871095563,0.8512654607631089,-0.002944589667545939,1,1.2548094036122648
2024-01-12 14:50:00+00:00,0.8451197153041692,0.8512654607631089,-0.006145745458939806,1,1.2595623874993147
2024-01-12 14:55:00+00:00,0.8502391962677175,0.8512654607631089,-0.0010262644953914733,1,1.2519782797640913
2024-01-12 15:00:00+00:00,0.8547432950941576,0.8547432950941576,0.0,0,0.0
2024-01-12 22:35:00+00:00,0.8537820694369298,0.8537820694369298,0.0,3,3.7528142588017896
2024-01-12 22:40:00+00:00,0.8497913185891005,0.8537820694369298,-0.0039907508478292586,3,3.7704380522643124
2024-01-12 22:45:00+00:00,0.8492986876893015,0.8537820694369298,-0.004483381747628304,3,3.772625073529324
2024-01-12 22:50:00+00:00,0.8673794261205828,0.8537820694369298,0.013597356683652993,3,3.693983771811044
2024-01-12 22:55:00+00:00,0.8664679009258605,0.8537820694369298,0.0126858314889307,3,3.6978698468442954
2024-01-12 23:00:00+00:00,0.8664889811196272,0.8537820694369298,0.01270691168269742,3,3.6977798840004574
2024-01-12 23:05:00+00:00,0.8747339555513183,0.8747339555513183,0.0,0,0.0
2024-01-15 12:25:00+00:00,0.8744059303179865,0.8744059303179865,0.0,1,1.2504689258471926
2024-01-15 12:30:00+00:00,0.8691339739484304,0.8744059303179865,-0.005271956369556173,1,1.2580539677580538
2024-01-15 12:35:00+00:00,0.8614999072574494,0.8744059303179865,-0.012906023060537153,1,1.2692020454418835
2024-01-15 12:40:00+00:00,0.8637593171301164,0.8744059303179865,-0.010646613187870047,1,1.2658820839954374
2024-01-15 12:45:00+00:00,0.8641016519593082,0.8744059303179865,-0.01030427835867828,1,1.2653805741024533
2024-01-15 12:50:00+00:00,0.8656763921735915,0.8744059303179865,-0.008729538144395076,1,1.263078737417952
2024-01-15 12:55:00+00:00,0.8678131777104419,0.8678131777104419,0.0,0,0.0
2024-01-17 11:40:00+00:00,0.8674877477688004,0.8674877477688004,0.0,1,1.2504689258471926
2024-01-17 11:45:00+00:00,0.8677999307461047,0.8674877477688004,0.0003121829773042839,1,1.250019081247687
2024-01-17 11:50:00+00:00,0.8680427397284528,0.8674877477688004,0.0005549919596523278,1,1.2496694258135221
2024-01-17 11:55:00+00:00,0.8700198985847143,0.8674877477688004,0.002532150815913836,1,1.2468294965467712
2024-01-17 12:00:00+00:00,0.8680080527309744,0.8674877477688004,0.000520304962173967,1,1.2497193646131517
2024-01-17 12:05:00+00:00,0.8735232853300201,0.8674877477688004,0.006035537561219607,1,1.241828913270725
2024-01-17 12:10:00+00:00,0.8691394766834205,0.8691394766834205,0.0,0,0.0
2024-01-19 16:50:00+00:00,0.8688135493796643,0.8688135493796643,0.0,1,1.2504689258471928
2024-01-19 16:55:00+00:00,0.8609398460403648,0.8688135493796643,-0.007873703339299506,1,1.2619050574217925
2024-01-19 17:00:00+00:00,0.863727430452415,0.8688135493796643,-0.0050861189272492936,1,1.2578323989145668
2024-01-19 17:05:00+00:00,0.8640697653802105,0.8688135493796643,-0.004743783999453778,1,1.2573340595666185
2024-01-19 17:10:00+00:00,0.8608787148032584,0.8688135493796643,-0.007934834576405822,1,1.2619946656510872
2024-01-19 17:15:00+00:00,0.8734472971523267,0.8688135493796643,0.004633747772662457,1,1.2438350309129258
2024-01-19 17:20:00+00:00,0.8787943486520409,0.8787943486520409,0.0,0,0.0
2024-01-22 14:35:00+00:00,0.8784648007712964,0.8784648007712964,0.0,1,1.2504689258471926
2024-01-22 14:40:00+00:00,0.8752782904709389,0.8784648007712964,-0.003186510300357592,1,1.2550213432393174
2024-01-22 14:45:00+00:00,0.8725483134842358,0.8784648007712964,-0.0059164872870606485,1,1.2589479789704474
2024-01-22 14:50:00+00:00,0.8673189318914636,0.8784648007712964,-0.011145868879832814,1,1.2665386346628447
2024-01-22 14:55:00+00:00,0.8718473734471094,0.8784648007712964,-0.006617427324187014,1,1.2599601366829043
2024-01-22 15:00:00+00:00,0.873069407064468,0.8784648007712964,-0.0053953937068283485,1,1.2581965728343723
2024-01-22 15:05:00+00:00,0.870766159605499,0.870766159605499,0.0,0,0.0
2024-01-22 18:55:00+00:00,0.8704396222956469,0.8704396222956469,0.0,1,1.2504689258471928
2024-01-22 19:00:00+00:00,0.8650517163996793,0.8704396222956469,-0.005387905895967578,1,1.258257372214697
2024-01-22 19:05:00+00:00,0.8721894328553186,0.8704396222956469,0.0017498105596716986,1,1.247960200507761
2024-01-22 19:10:00+00:00,0.8661343330049439,0.8704396222956469,-0.004305289290703005,1,1.2566846250403294
2024-01-22 19:15:00+00:00,0.856843971903953,0.8704396222956469,-0.013595650391693906,1,1.270310272578872
2024-01-22 19:20:00+00:00,0.8407431970419377,0.8704396222956469,-0.02969642525370916,1,1.294637534191763
2024-01-22 19:25:00+00:00,0.8459178627146506,0.8459178627146506,0.0,0,0.0
2024-01-23 09:35:00+00:00,0.8456006435161326,0.8456006435161326,0.0,1,1.2504689258471928
2024-01-23 09:40:00+00:00,0.8471433465026258,0.8456006435161326,0.0015427029864931363,1,1.2481917408177812
2024-01-23 09:45:00+00:00,0.8515561945802688,0.8456006435161326,0.005955551064136179,1,1.24172348827138
2024-01-23 09:50:00+00:00,0.8572606079489296,0.8456006435161326,0.01165996443279695,1,1.2334607686258072
2024-01-23 09:55:00+00:00,0.8535294193304345,0.8456006435161326,0.007928775814301812,1,1.2388528203548115
2024-01-23 10:00:00+00:00,0.8508027814938421,0.8456006435161326,0.0052021379777094845,1,1.2428230741520754
2024-01-23 10:05:00+00:00,0.8521000189090958,0.8521000189090958,0.0,0,0.0
2024-01-23 14:30:00+00:00,0.8517804814020049,0.8517804814020049,0.0,1,1.2504689258471928
2024-01-23 14:35:00+00:00,0.8436462755546501,0.8517804814020049,-0.008134205847354784,1,1.2625256040348307
2024-01-23 14:40:00+00:00,0.8465225928280441,0.8517804814020049,-0.005257888573960838,1,1.258235790350289
2024-01-23 14:45:00+00:00,0.8468281712230249,0.8517804814020049,-0.00495231017897996,1,1.25778175529762
2024-01-23 14:50:00+00:00,0.8446115152467334,0.8517804814020049,-0.007168966155271482,1,1.261082763387637
2024-01-23 14:55:00+00:00,0.8482978577893628,0.8517804814020049,-0.0034826236126420363,1,1.2556026327969891
2024-01-23 15:00:00+00:00,0.8510001510770855,0.8510001510770855,0.0,0,0.0
2024-01-25 10:05:00+00:00,0.8506810260204316,0.8506810260204316,0.0,1,1.2504689258471928
2024-01-25 10:10:00+00:00,0.8515568409272005,0.8506810260204316,0.0008758149067689516,1,1.2491828351565046
2024-01-25 10:15:00+00:00,0.8581984373035312,0.8506810260204316,0.0075174112830995584,1,1.2395154111311035
2024-01-25 10:20:00+00:00,0.8586363447569155,0.8506810260204316,0.007955318736483915,1,1.2388832540596801
2024-01-25 10:25:00+00:00,0.8615192354916966,0.8506810260204316,0.01083820947126498,1,1.2347375949641342
2024-01-25 10:30:00+00:00,0.8603149899948891,0.8506810260204316,0.009633963974457524,1,1.2364659470279327
2024-01-25 10:35:00+00:00,0.8591930346070306,0.8591930346070306,0.0,0,0.0
2024-01-28 10:45:00+00:00,0.8588708372190529,0.8588708372190529,0.0,1,1.2504689258471928
2024-01-28 10:50:00+00:00,0.8598999172914671,0.8588708372190529,0.0010290800724141976,1,1.2489724346545714
2024-01-28 10:55:00+00:00,0.857137649728671,0.8588708372190529,-0.0017331874903818503,1,1.252997454491426
2024-01-28 11:00:00+00:00,0.8568343419178541,0.8588708372190529,-0.0020364953011987605,1,1.2534409987056205
2024-01-28 11:05:00+00:00,0.8561302344998865,0.8588708372190529,-0.0027406027191664135,1,1.2544718665217642
2024-01-28 11:10:00+00:00,0.8532921399843861,0.8588708372190529,-0.005578697234666778,1,1.258644305897908
2024-01-28 11:15:00+00:00,0.850998441826099,0.850998441826099,0.0,0,0.0
2024-01-29 15:50:00+00:00,0.8506793174104141,0.8506793174104141,0.0,1,1.2504689258471928
2024-01-29 15:55:00+00:00,0.8549181888345083,0.8506793174104141,0.004238871424094183,1,1.2442688273281548
2024-01-29 16:00:00+00:00,0.8585461197152721,0.8506793174104141,0.007866802304857876,1,1.2390109603376982
2024-01-29 16:05:00+00:00,0.8597906282294633,0.8506793174104141,0.009111310819049178,1,1.237217547338429
2024-01-29 16:10:00+00:00,0.8586416577426241,0.8506793174104141,0.007962340332209985,1,1.2388730999602628
2024-01-29 16:15:00+00:00,0.8565800476787111,0.8506793174104141,0.005900730268296935,1,1.241854809909859
2024-01-29 16:20:00+00:00,0.8623024464137371,0.8623024464137371,0.0,0,0.0
2024-01-30 14:20:00+00:00,0.861979082996332,0.861979082996332,0.0,1,1.2504689258471926
2024-01-30 14:25:00+00:00,0.8636429029984167,0.861979082996332,0.001663820002084813,1,1.2480598801599223
2024-01-30 14:30:00+00:00,0.8672375758424267,0.861979082996332,0.005258492846094671,1,1.2428867106803236
2024-01-30 14:35:00+00:00,0.8676689365837078,0.861979082996332,0.005689853587375892,1,1.2422688107991104
2024-01-30 14:40:00+00:00,0.8638688538628971,0.861979082996332,0.0018897708665651565,1,1.2477334414793466
2024-01-30 14:45:00+00:00,0.8628623454665744,0.861979082996332,0.0008832624702423866,1,1.2491888928521175
2024-01-30 14:50:00+00:00,0.8644184824218947,0.8644184824218947,0.0,0,0.0
2024-01-30 18:35:00+00:00,0.8640943254909864,0.8640943254909864,0.0,1,1.2504689258471928
2024-01-30 18:40:00+00:00,0.8621915963377959,0.8640943254909864,-0.0019027291531905262,1,1.2532285255585267
2024-01-30 18:45:00+00:00,0.860942788421024,0.8640943254909864,-0.0031515370699623864,1,1.2550463486767296
2024-01-30 18:50:00+00:00,0.8601980447906583,0.8640943254909864,-0.0038962807003281425,1,1.2561329446991818
2024-01-30 18:55:00+00:00,0.8620417393877832,0.8640943254909864,-0.0020525861032032067,1,1.253446386244301
2024-01-30 19:00:00+00:00,0.8625230980757025,0.8640943254909864,-0.0015712274152839048,1,1.2527468602731058
2024-01-30 19:05:00+00:00,0.8616540067811121,0.8616540067811121,0.0,0,0.0
2024-01-31 21:35:00+00:00,0.8613308865285693,0.8613308865285693,0.0,1,1.2504689258471926
