event,samples,mean_funding_rate,median_funding_rate,mean_funding_z,median_funding_z,min_funding_rate,max_funding_rate
HIGH_FUNDING,1636,0.0001297464608801956,0.0001,1.4052174635246333,1.2093923039380905,0.0,0.00119261
LOW_FUNDING,1258,-6.701809220985691e-05,0.0,-1.4726951369958414,-1.0944949127459502,-0.00302761,0.0001
