speed_set,rebalance_time,entry_time,exit_time,gross_return,turnover,net_exposure,active_assets
7_28,2024-04-01 00:00:00+00:00,2024-04-01 04:00:00+00:00,2024-04-02 04:00:00+00:00,-0.06072192011637434,1.0,0.6,10
7_28,2024-04-02 00:00:00+00:00,2024-04-02 04:00:00+00:00,2024-04-03 04:00:00+00:00,0.014793835134790916,1.220541604877306,-0.5682249064492203,12
7_28,2024-04-03 00:00:00+00:00,2024-04-03 04:00:00+00:00,2024-04-04 04:00:00+00:00,0.016486443461351884,0.357530108784367,-0.7,9
7_28,2024-04-04 00:00:00+00:00,2024-04-04 04:00:00+00:00,2024-04-05 04:00:00+00:00,-0.017987811304695227,0.25506775026948236,-0.6781101279906508,11
7_28,2024-04-05 00:00:00+00:00,2024-04-05 04:00:00+00:00,2024-04-06 04:00:00+00:00,-0.0009935152669374504,0.25506775026948236,-0.7000000000000001,9
7_28,2024-04-06 00:00:00+00:00,2024-04-06 04:00:00+00:00,2024-04-07 04:00:00+00:00,-0.024830938175314485,0.4046757629241738,-0.88874858085224,11
7_28,2024-04-07 00:00:00+00:00,2024-04-07 04:00:00+00:00,2024-04-08 04:00:00+00:00,-0.0009047712208890997,0.1934243437764135,-0.8,10
7_28,2024-04-08 00:00:00+00:00,2024-04-08 04:00:00+00:00,2024-04-09 04:00:00+00:00,-0.03922410844795668,0.30000000000000004,-0.9000000000000001,9
7_28,2024-04-09 00:00:00+00:00,2024-04-09 04:00:00+00:00,2024-04-10 04:00:00+00:00,-0.023923940638093246,1.5,0.6,6
7_28,2024-04-10 00:00:00+00:00,2024-04-10 04:00:00+00:00,2024-04-11 04:00:00+00:00,0.008744061854067111,1.0,-0.4,8
7_28,2024-04-11 00:00:00+00:00,2024-04-11 04:00:00+00:00,2024-04-12 04:00:00+00:00,-0.0011188969559695616,0.6000000000000001,0.0,2
7_28,2024-04-12 00:00:00+00:00,2024-04-12 04:00:00+00:00,2024-04-13 04:00:00+00:00,0.0527231326759154,1.060993538311485,-0.07113756272048577,11
7_28,2024-04-13 00:00:00+00:00,2024-04-13 04:00:00+00:00,2024-04-14 04:00:00+00:00,0.10969710151599343,1.2815679383449092,-0.9999999999999999,14
7_28,2024-04-14 00:00:00+00:00,2024-04-14 04:00:00+00:00,2024-04-15 04:00:00+00:00,-0.056620710151350694,0.17117306703039595,-1.0,15
7_28,2024-04-15 00:00:00+00:00,2024-04-15 04:00:00+00:00,2024-04-16 04:00:00+00:00,0.030831237411623934,0.17117306703039625,-1.0000000000000002,14
7_28,2024-04-16 00:00:00+00:00,2024-04-16 04:00:00+00:00,2024-04-17 04:00:00+00:00,-0.014914213234840263,0.012610421470435194,-1.0,14
7_28,2024-04-17 00:00:00+00:00,2024-04-17 04:00:00+00:00,2024-04-18 04:00:00+00:00,0.008560426904315898,0.34135316504121316,-1.0,12
7_28,2024-04-18 00:00:00+00:00,2024-04-18 04:00:00+00:00,2024-04-19 04:00:00+00:00,0.012569375410471,0.5928633057316144,-1.0,16
7_28,2024-04-19 00:00:00+00:00,2024-04-19 04:00:00+00:00,2024-04-20 04:00:00+00:00,-0.04541849070757938,0.007933528842602393,-1.0,16
7_28,2024-04-20 00:00:00+00:00,2024-04-20 04:00:00+00:00,2024-04-21 04:00:00+00:00,-0.06416991614555678,0.4725837920430525,-1.0,13
7_28,2024-04-21 00:00:00+00:00,2024-04-21 04:00:00+00:00,2024-04-22 04:00:00+00:00,0.004310580965947964,1.2000000000000002,0.2,2
7_28,2024-04-22 00:00:00+00:00,2024-04-22 04:00:00+00:00,2024-04-23 04:00:00+00:00,-0.001115298237600393,0.30000000000000004,-0.1,1
7_28,2024-04-23 00:00:00+00:00,2024-04-23 04:00:00+00:00,2024-04-24 04:00:00+00:00,0.0004438238667531014,0.2,0.1,1
7_28,2024-04-24 00:00:00+00:00,2024-04-24 04:00:00+00:00,2024-04-25 04:00:00+00:00,8.109092112666972e-05,0.0,0.1,1
7_28,2024-04-25 00:00:00+00:00,2024-04-25 04:00:00+00:00,2024-04-26 04:00:00+00:00,0.0007341876808598657,0.0,0.1,1
7_28,2024-04-26 00:00:00+00:00,2024-04-26 04:00:00+00:00,2024-04-27 04:00:00+00:00,0.0011813187052471586,0.30000000000000004,0.0,4
7_28,2024-04-27 00:00:00+00:00,2024-04-27 04:00:00+00:00,2024-04-28 04:00:00+00:00,-0.03165085666190642,0.8,-0.8,8
7_28,2024-04-28 00:00:00+00:00,2024-04-28 04:00:00+00:00,2024-04-29 04:00:00+00:00,0.03454643661532819,0.623151115553445,-0.888586985253732,13
