event,winner,samples,penetration_median,rejection_norm_median,wick_ratio_median,mfe_median,mae_median,time_to_mfe_median,time_to_mae_median
REJECT_DOWN_4H,False,11693,0.038192234245697496,0.11773009599095831,0.639398998330562,0.001807104502271839,0.0071598311329632534,2.0,9.0
REJECT_DOWN_4H,True,13910,0.03911134830425632,0.1143621696852036,0.6412024756852432,0.005578453529734406,0.001877827273223036,10.0,2.0
REJECT_UP_4H,False,12462,0.03243769047647004,0.10091743119266491,0.6518752930145932,0.0016820574932010122,0.005968395213560896,2.0,9.0
REJECT_UP_4H,True,14355,0.031719532554256816,0.09679266895761708,0.6314606741572625,0.005218503628674302,0.001521393528094474,10.0,2.0
