year,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak
2024,0.0004,558,0.0010063409642471952,0.0008710827571532001,0.53584229390681,1.3155408501775192,10
2025,0.0004,635,0.0008219573124565396,-0.00042475799064149966,0.47716535433070867,1.266699082665256,10
2026,0.0004,484,0.000322461472925625,-0.0007546190011391001,0.4462809917355372,1.112113280646752,9
2024,0.0006,558,0.0008063409642471953,0.0006710827571532001,0.525089605734767,1.2455864941634416,10
2025,0.0006,635,0.0006219573124565396,-0.0006247579906414996,0.45354330708661417,1.1950583890018207,10
2026,0.0006,484,0.00012246147292562494,-0.0009546190011391,0.4318181818181818,1.040982803026949,11
2024,0.0008,558,0.0006063409642471951,0.0004710827571532,0.5125448028673835,1.1794476267553984,10
2025,0.0008,635,0.0004219573124565394,-0.0008247579906414997,0.44251968503937006,1.127896412153718,10
2026,0.0008,484,-7.753852707437532e-05,-0.0011546190011391,0.4090909090909091,0.9750153639251478,13
