variant,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
CANONICAL_ALL,2024,0.0004,1031,0.001001495170709307,0.0005551098376312517,0.0009133919998096469,0.000956306115195152,0.5315227934044617,1.311257848161362,-0.009882185273159027,0.012649898691575913
CANONICAL_ALL,2024,0.0006,1031,0.0008014951707093063,0.00035510983763125173,0.0007133919998096461,0.0007563061151951516,0.5208535402521823,1.2419651392795823,-0.010082185273159027,0.012449898691575912
CANONICAL_ALL,2024,0.0008,1031,0.0006014951707093066,0.00015510983763125164,0.0005133919998096475,0.0005563061151951515,0.507274490785645,1.1764293156384422,-0.010282185273159028,0.012249898691575912
CANONICAL_ALL,2025,0.0004,1115,0.000247984406295202,-0.0006431426183420182,-0.00018347544845593225,-2.370202465504645e-06,0.4618834080717489,1.0731086617408776,-0.009750412871724089,0.01103618938750839
CANONICAL_ALL,2025,0.0006,1115,4.798440629520166e-05,-0.0008431426183420182,-0.00038347544845593367,-0.00020237020246550457,0.442152466367713,1.013705831268821,-0.00995041287172409,0.01083618938750839
CANONICAL_ALL,2025,0.0008,1115,-0.00015201559370479824,-0.0010431426183420182,-0.0005834754484559324,-0.0004023702024655048,0.43408071748878924,0.9579315754283187,-0.01015041287172409,0.010636189387508389
CANONICAL_ALL,2026,0.0004,823,-0.0005483168734591191,-0.001147145000467908,-0.0009174009847604502,-0.0007896886120985655,0.4204131227217497,0.8333159301920741,-0.010312887063535723,0.008595275092856626
CANONICAL_ALL,2026,0.0006,823,-0.0007483168734591195,-0.001347145000467908,-0.0011174009847604515,-0.0009896886120985657,0.40704738760631837,0.780328806511405,-0.010512887063535724,0.008395275092856626
CANONICAL_ALL,2026,0.0008,823,-0.0009483168734591194,-0.001547145000467908,-0.001317400984760451,-0.0011896886120985662,0.39003645200486026,0.7310865511832281,-0.010712887063535724,0.008195275092856625
FRESH_60,2024,0.0004,416,0.001042861371867013,0.0009386746165585662,0.0012011505393737243,0.0011869025083234414,0.5384615384615384,1.3576795038090976,-0.00740602710899817,0.011113888004221263
