feature,event,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
penetration_norm,REJECT_DOWN_4H,Q1,0.0,2.0704362407351843e-05,0.007185490746084974,0.015002885170227206,5842,-2.7326786571217423e-05,0.0003568839565958326,0.5345771995891818,0.9897377413169981,-0.008157427171922572,0.007859083117129313
penetration_norm,REJECT_DOWN_4H,Q1,0.0002,2.0704362407351843e-05,0.007185490746084974,0.015002885170227206,5842,-0.00022732678657121726,0.0001568839565958326,0.5169462512838069,0.917565157551574,-0.008357427171922572,0.007659083117129314
penetration_norm,REJECT_DOWN_4H,Q1,0.0004,2.0704362407351843e-05,0.007185490746084974,0.015002885170227206,5842,-0.00042732678657121735,-4.311604340416741e-05,0.4967476891475522,0.850398751936194,-0.008557427171922571,0.007459083117129313
penetration_norm,REJECT_DOWN_4H,Q2,0.0,0.015005359056816842,0.02435188479708619,0.03510466988727546,6076,6.088005324689779e-05,0.0004468539936265392,0.5393350888742594,1.023841466756811,-0.007925889171266687,0.007619748878208599
penetration_norm,REJECT_DOWN_4H,Q2,0.0002,0.015005359056816842,0.02435188479708619,0.03510466988727546,6076,-0.00013911994675310204,0.00024685399362653923,0.522547728768927,0.9474500798057264,-0.008125889171266687,0.007419748878208599
penetration_norm,REJECT_DOWN_4H,Q2,0.0004,0.015005359056816842,0.02435188479708619,0.03510466988727546,6076,-0.0003391199467531021,4.6853993626539195e-05,0.5031270572745227,0.876454609634799,-0.008325889171266686,0.0072197488782085985
penetration_norm,REJECT_DOWN_4H,Q3,0.0,0.03511705685619327,0.049504950495049674,0.06969376979936585,6482,0.00040413393656785955,0.0006457580244312311,0.5635606294353595,1.166156095224516,-0.007802048554570806,0.007787573536351388
penetration_norm,REJECT_DOWN_4H,Q3,0.0002,0.03511705685619327,0.049504950495049674,0.06969376979936585,6482,0.0002041339365678597,0.0004457580244312311,0.5436593643937057,1.0809563465823007,-0.008002048554570807,0.007587573536351388
penetration_norm,REJECT_DOWN_4H,Q3,0.0004,0.03511705685619327,0.049504950495049674,0.06969376979936585,6482,4.133936567859654e-06,0.0002457580244312311,0.5249922863313792,1.0015810797207207,-0.008202048554570806,0.0073875735363513875
penetration_norm,REJECT_DOWN_4H,Q4,0.0,0.06969696969697557,0.10913705583754925,1.2359731151373443,7203,8.058088121187538e-05,0.0004471272076906896,0.5354713313896987,1.0303494552534291,-0.008563295610154963,0.007856459746286772
penetration_norm,REJECT_DOWN_4H,Q4,0.0002,0.06969696969697557,0.10913705583754925,1.2359731151373443,7203,-0.00011941911878812443,0.0002471272076906896,0.520755240871859,0.9565653054939633,-0.008763295610154964,0.007656459746286772
