fold,train_samples,test_samples,train_win_rate,test_win_rate,auc,spearman_pred_return,threshold,selection_rate,selected_samples
2024_H2,419,551,0.4128878281622912,0.4591651542649728,0.5525108098787702,0.10386297281981019,0.47820256841869907,0.19237749546279492,106
2025_H1,970,565,0.43917525773195876,0.4690265486725664,0.49516981132075466,0.02603264243223445,0.4889096522154057,0.3929203539823009,222
2025_H2,1535,552,0.4501628664495114,0.411231884057971,0.5225211792612674,0.05752258542851921,0.49095565614863346,0.2536231884057971,140
2026_DEV,2087,650,0.439865836128414,0.4753846153846154,0.515274891097002,0.00578214568373125,0.47393058258319787,0.23692307692307693,154
