symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
ETHUSDT,REJECT_UP_4H,SHORT,6,30,0.0004,6052,-0.0003856120971117641,-1.430687727126367e-05,0.4986781229345671,0.7994971471107732
ETHUSDT,REJECT_UP_4H,SHORT,12,60,0.0,6052,9.54298252427397e-05,0.00045071747579927823,0.5421348314606742,1.0409888545584087
ETHUSDT,REJECT_UP_4H,SHORT,12,60,0.0002,6052,-0.00010457017475726016,0.00025071747579927825,0.5237937871777925,0.9568176012892826
ETHUSDT,REJECT_UP_4H,SHORT,12,60,0.0004,6052,-0.0003045701747572603,5.0717475799278214e-05,0.5041308658294779,0.8790900023954258
SOLUSDT,REJECT_DOWN_1H,LONG,1,5,0.0,15642,-8.842822367337447e-06,7.233387537963765e-05,0.5079273750159826,0.9907042482615461
SOLUSDT,REJECT_DOWN_1H,LONG,1,5,0.0002,15642,-0.00020884282236733747,-0.00012766612462036236,0.4706559263521289,0.801658205265206
SOLUSDT,REJECT_DOWN_1H,LONG,1,5,0.0004,15642,-0.0004088428223673375,-0.00032766612462036237,0.4259046157780335,0.6486073063053532
SOLUSDT,REJECT_DOWN_1H,LONG,3,15,0.0,15642,4.0457727228459095e-05,0.00019587750792715575,0.5179644546733154,1.0251796071910453
SOLUSDT,REJECT_DOWN_1H,LONG,3,15,0.0002,15642,-0.0001595422727715408,-4.122492072844262e-06,0.4994246260069045,0.9064163870107658
SOLUSDT,REJECT_DOWN_1H,LONG,3,15,0.0004,15642,-0.00035954227277154094,-0.00020412249207284427,0.47123130034522437,0.8011074797337079
SOLUSDT,REJECT_DOWN_1H,LONG,6,30,0.0,15641,0.00011823780109472025,0.00027766208524226954,0.5227287257847963,1.053617560432801
SOLUSDT,REJECT_DOWN_1H,LONG,6,30,0.0002,15641,-8.176219890527956e-05,7.766208524226953e-05,0.5084073908317882,0.964480763350419
SOLUSDT,REJECT_DOWN_1H,LONG,6,30,0.0004,15641,-0.00028176219890527974,-0.00012233791475773048,0.4887155552714021,0.8827087912396223
SOLUSDT,REJECT_DOWN_1H,LONG,12,60,0.0,15641,0.00011311750616975995,0.0002895333687207291,0.5186369157982226,1.036620742513314
SOLUSDT,REJECT_DOWN_1H,LONG,12,60,0.0002,15641,-8.688249383023988e-05,8.953336872072909e-05,0.5066811584937024,0.9727312327384009
SOLUSDT,REJECT_DOWN_1H,LONG,12,60,0.0004,15641,-0.00028688249383023985,-0.00011046663127927092,0.49095326385780963,0.9127046119788963
SOLUSDT,REJECT_DOWN_4H,LONG,1,5,0.0,6799,-1.902292974531622e-05,0.00013090718680452973,0.5209589645536108,0.9831481378660277
SOLUSDT,REJECT_DOWN_4H,LONG,1,5,0.0002,6799,-0.0002190229297453162,-6.909281319547028e-05,0.4875717017208413,0.8215683538236962
SOLUSDT,REJECT_DOWN_4H,LONG,1,5,0.0004,6799,-0.00041902292974531634,-0.0002690928131954703,0.44859538167377555,0.6859688201770416
SOLUSDT,REJECT_DOWN_4H,LONG,3,15,0.0,6799,1.6748549247598964e-05,0.0002876338010806556,0.527283424032946,1.0089817690632148
SOLUSDT,REJECT_DOWN_4H,LONG,3,15,0.0002,6799,-0.00018325145075240095,8.76338010806556e-05,0.5124282982791587,0.9065321104351842
SOLUSDT,REJECT_DOWN_4H,LONG,3,15,0.0004,6799,-0.0003832514507524011,-0.0001123661989193444,0.4894837476099426,0.8140112223890541
SOLUSDT,REJECT_DOWN_4H,LONG,6,30,0.0,6799,0.00014883540671737242,0.0005102908657934613,0.5405206648036476,1.0602208268414397
SOLUSDT,REJECT_DOWN_4H,LONG,6,30,0.0002,6799,-5.116459328262738e-05,0.0003102908657934613,0.5284600676570084,0.9800480308518792
SOLUSDT,REJECT_DOWN_4H,LONG,6,30,0.0004,6799,-0.00025116459328262757,0.00011029086579346126,0.5099279305780262,0.9055949194776101
SOLUSDT,REJECT_DOWN_4H,LONG,12,60,0.0,6799,0.0002609446628926158,0.0006361829025844923,0.5377261361964994,1.0800204568440952
SOLUSDT,REJECT_DOWN_4H,LONG,12,60,0.0002,6799,6.094466289261602e-05,0.0004361829025844923,0.5268421826739227,1.0181692128554267
SOLUSDT,REJECT_DOWN_4H,LONG,12,60,0.0004,6799,-0.000139055337107384,0.00023618290258449226,0.512869539638182,0.9596972445316766
SOLUSDT,REJECT_UP_1H,SHORT,1,5,0.0,15778,2.8587998473250016e-05,7.879439968039303e-05,0.5096336671314489,1.0333278700293147
SOLUSDT,REJECT_UP_1H,SHORT,1,5,0.0002,15778,-0.00017141200152675002,-0.00012120560031960697,0.46938775510204084,0.8213076707529907
SOLUSDT,REJECT_UP_1H,SHORT,1,5,0.0004,15778,-0.00037141200152675003,-0.000321205600319607,0.423374318671568,0.652877485210653
SOLUSDT,REJECT_UP_1H,SHORT,3,15,0.0,15778,3.5552688732164766e-05,0.00013320671380401272,0.5138167068069464,1.0245503668996776
SOLUSDT,REJECT_UP_1H,SHORT,3,15,0.0002,15778,-0.00016444731126783515,-6.679328619598729e-05,0.49188743820509573,0.8937219374944693
SOLUSDT,REJECT_UP_1H,SHORT,3,15,0.0004,15778,-0.0003644473112678353,-0.0002667932861959873,0.46095829636202307,0.7794052110092609
SOLUSDT,REJECT_UP_1H,SHORT,6,30,0.0,15778,7.572159113358482e-05,0.00014741169830123635,0.5130561541386741,1.0375423537331816
SOLUSDT,REJECT_UP_1H,SHORT,6,30,0.0002,15778,-0.00012427840886641497,-5.258830169876366e-05,0.49537330460134366,0.9412640179948939
SOLUSDT,REJECT_UP_1H,SHORT,6,30,0.0004,15778,-0.0003242784088664152,-0.00025258830169876367,0.47414120927874254,0.8538611103550859
SOLUSDT,REJECT_UP_1H,SHORT,12,60,0.0,15776,0.00016311843825161883,0.00022553711099315699,0.5134381338742393,1.0573666460836166
SOLUSDT,REJECT_UP_1H,SHORT,12,60,0.0002,15776,-3.6881561748380934e-05,2.5537110993156977e-05,0.5015846855983773,0.9874626141640261
SOLUSDT,REJECT_UP_1H,SHORT,12,60,0.0004,15776,-0.00023688156174838109,-0.00017446288900684303,0.48605476673427994,0.92215446027151
