fold,train_samples,test_samples,train_mean_return,test_mean_return,pearson_pred_return,spearman_pred_return,threshold,selection_rate,selected_samples,mean_predicted_return,mean_pred_selected
2024_H2,419,551,-0.000336573436571,5.504380248849515e-05,0.08743833195726103,0.08422867513611615,0.0012322694352619303,0.24863883847549909,137,-0.0010665667863576241,0.0031481294895362596
2025_H1,970,564,-0.00011411869562070945,-0.00048008607079488976,0.062142211696566,0.06537990624371885,0.0010767877956700273,0.40070921985815605,226,0.00021354714301957242,0.0026035575293155942
2025_H2,1534,553,-0.0002486725415126506,-0.0005737238700412879,0.09852684389753472,0.0400121992652625,0.0006352036124326391,0.20433996383363473,113,-0.0007780433700218099,0.0014167439713947605
2026_DEV,2087,650,-0.00033480257729431645,0.0006599679439859825,-0.055817767077738716,-0.011161872572479463,0.00038746028148888386,0.22,143,-0.0005421766269304326,0.0010970220763822072
