state,regime_group,samples,mean_return,median_return,win_rate,profit_factor
ADX_RISING,FEB_JUN,398,0.0010669267151094915,-6.647754153854546e-05,0.4899497487437186,1.5736680268823278
ADX_RISING,JULY,98,-0.001422974301811819,-0.001145571666672618,0.3469387755102041,0.4003753178214872
ADX_FALLING,FEB_JUN,35,0.0018607276391123108,0.0004535998623558246,0.5428571428571428,2.4996395762486845
ADX_FALLING,JULY,5,0.0010142270693268562,-0.0002545644171400019,0.4,2.6534716765047985
SPREAD_WIDENING,FEB_JUN,375,0.0010738395015259395,-6.496142915135561e-05,0.49333333333333335,1.5848378635815028
SPREAD_WIDENING,JULY,94,-0.0013398070842931507,-0.0007572980179980648,0.3617021276595745,0.42580904600070363
SPREAD_NARROWING,FEB_JUN,58,0.0015012497743151939,0.0001631874270363598,0.5,1.9156710601092868
SPREAD_NARROWING,JULY,9,-0.0009376089230408694,-0.0019620667102682177,0.2222222222222222,0.4820992945097089
BEAR_ACCELERATION,FEB_JUN,287,0.0013885524177416968,0.00036805000268724797,0.5261324041811847,1.7544125386993294
BEAR_ACCELERATION,JULY,71,-0.0011809138647238225,-0.0007586584096401783,0.3380281690140845,0.45955595981187
BEAR_DECELERATION,FEB_JUN,146,0.0006249846307578186,-0.0005872985996850377,0.4315068493150685,1.3572793899882867
BEAR_DECELERATION,JULY,32,-0.0015792331823603935,-0.0013865636877889442,0.375,0.37215885919801284
VOLUME_ACCELERATING,FEB_JUN,408,0.0011347241967984828,-4.827476022045696e-05,0.49264705882352944,1.6133110077415618
VOLUME_ACCELERATING,JULY,96,-0.0013323002456896982,-0.001145571666672618,0.34375,0.4192152248835857
VOLUME_DECELERATING,FEB_JUN,25,0.0010717931075491017,0.00034965769562056437,0.52,1.9311780981845665
VOLUME_DECELERATING,JULY,7,-0.0009256460921018521,-0.0007586584096401783,0.42857142857142855,0.5795489570243528
BEAR_CLOSE,FEB_JUN,205,0.0014819834710805843,0.00025094983162077256,0.5170731707317073,1.7662169574461308
BEAR_CLOSE,JULY,48,-0.0011967388556350378,-0.000752782589912071,0.375,0.4475235669696757
MID_CLOSE,FEB_JUN,136,0.0006357143087461818,-0.00013053600612272787,0.4852941176470588,1.368707766801361
MID_CLOSE,JULY,34,-0.00118558639628859,-0.0016380369839271158,0.29411764705882354,0.49044018035569836
BULL_CLOSE,FEB_JUN,92,0.0010815058958859567,-0.0006525835446314909,0.45652173913043476,1.6517999955048355
BULL_CLOSE,JULY,21,-0.0017441401755538147,-0.0014769900497512145,0.38095238095238093,0.30300370294818685
