event,symbol,samples
CLOSE_HIGH,BNBUSDT,21529
CLOSE_HIGH,BTCUSDT,20537
CLOSE_HIGH,ETHUSDT,17613
CLOSE_HIGH,SOLUSDT,18863
CLOSE_LOW,BNBUSDT,19254
CLOSE_LOW,BTCUSDT,19529
CLOSE_LOW,ETHUSDT,16056
CLOSE_LOW,SOLUSDT,17478
