month,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
2024-01,227,-0.00040608647692755474,-0.00044976606429999994,-0.0005420132624473016,-0.0005928425479389314,0.46255506607929514,0.8403585561600124,-0.00883055171601328,0.006563236616910281
2024-02,129,0.0006842762118633806,0.0008993421253939,0.0008316207947164054,0.0007621847171902361,0.6124031007751938,1.3373153118579526,-0.006734026095365779,0.007020376538544721
2024-03,187,0.0027554965012530834,0.0008896531608250001,0.0025268007373028013,0.0029767090185514786,0.5294117647058824,1.7468730251921725,-0.01135039553470326,0.02139453180911901
2024-04,388,0.0029274124815249426,-0.0008319513487185,0.0011581598028581113,0.0022797063598473223,0.47680412371134023,1.6167607719674375,-0.01575243623299532,0.022966867757994083
2024-05,74,0.0007939792728301314,0.0010031146661434501,0.0008620945547337457,0.000820586020527403,0.5675675675675675,1.4551453736483382,-0.00653768680917554,0.00709280055985847
2024-06,265,-0.0012815382837148346,-0.0015330190532311999,-0.0012717191323681468,-0.0013548084067902854,0.4226415094339623,0.6577380926562638,-0.010044326153627579,0.0073210256186997
2024-07,100,-0.004895492460842314,-0.00018593893621609995,-0.0024373840884878654,-0.0049769478437502864,0.49,0.5393786078482538,-0.035611571745269265,0.01728927001901431
2024-08,129,-0.0003832120812420353,-0.00010940024179569995,-0.0012559806682237488,-0.0010828171897276728,0.49612403100775193,0.9498504246677814,-0.025081001365730517,0.022164270602461622
2024-09,58,0.0005642913613270464,0.001834842588865,0.000959280564366611,0.0008882783959392605,0.5689655172413793,1.2528534236376596,-0.006329381784486199,0.006986880307162111
2024-10,113,-0.0006524383521467741,-0.0009653635367189999,-0.000378761429715053,-0.0005231919276623539,0.4336283185840708,0.7493513948149513,-0.0057572792456368795,0.005909837861460199
2024-11,88,0.0052604086094295045,0.00151099319693625,0.0043033141617090705,0.004895518416034659,0.5795454545454546,3.695575673638471,-0.0074965679543411694,0.0251708091090929
2024-12,300,0.0029268429073028776,0.0024085135486399,0.002854308695717395,0.0031125533844303193,0.6066666666666667,2.0703033606680377,-0.00815848920148432,0.01671818437040453
2025-01,173,-0.003601886110957966,-0.0041679256279407,-0.003193070089384261,-0.003327474880963664,0.3872832369942196,0.49241987794980635,-0.01768462967861094,0.012696681791669525
2025-02,142,-0.0024609498133873987,-0.0007295399988715499,-0.0017391942099138458,-0.0014516450884321135,0.45774647887323944,0.6579668485719857,-0.018547645837570757,0.018356953884990153
2025-03,72,-0.004667408513096723,-0.0028722204494869,-0.004676807402682014,-0.00491123404688922,0.3055555555555556,0.3207939717955148,-0.020037007664120088,0.00627825598335462
2025-04,87,-0.0026675290371309572,-0.0011000666755566,-0.0017253232123743184,-0.0018491193597073067,0.4367816091954023,0.2998635307926644,-0.010214776824743659,0.0037147764361058024
2025-05,59,0.00018208388466028308,-0.001360597923102,0.00023597466164883095,0.0002588051852081728,0.4745762711864407,1.0828022654509741,-0.00588832087769408,0.0077588602793426205
2025-06,57,0.0003772862833448611,-0.0011773041456679,0.00032451713408409937,0.0003700985837690176,0.40350877192982454,1.1171953740483416,-0.008214043872380221,0.014198816436342299
2025-07,50,0.0032139242441431657,0.0033450908013619007,0.003249070449973701,0.003175704195430977,0.68,3.080854450111295,-0.005837297887474689,0.013274681919312152
2025-08,22,0.0027254887421089367,0.0012535122359688,0.0016726326193284402,0.001615599445696852,0.6818181818181818,2.7523077348733396,-0.0065047847255543,0.009510810159370922
2025-09,43,-0.0012542179988658641,-0.0013829470317236,-0.001567078497103686,-0.0015947244120835665,0.3953488372093023,0.6075035031017867,-0.008539344858558619,0.006791424676515983
2025-10,238,-0.0005515258400398362,-0.00011085492196949992,-0.00030073949537295767,-0.0002718555914131513,0.49159663865546216,0.9073488105205615,-0.017875400776482718,0.017126952454321793
2025-11,47,-0.0018391627545805576,-0.0004902750438901,-0.00127838162345966,-0.0016007700675154276,0.425531914893617,0.6068627389913523,-0.019213507089400297,0.009469605788270878
2025-12,89,0.00020800321849360811,0.0006724804886325001,3.120676626097412e-05,9.24094416929326e-06,0.5280898876404494,1.0723910668413243,-0.01124650509380074,0.009237193253351563
2026-01,113,0.0008780425536017497,0.0008779091474796001,0.0010674076147601816,0.0009568376846212117,0.5309734513274337,1.2862222879415386,-0.007258465007129599,0.011974243933159639
2026-02,145,0.0009323004730187226,0.00019580335536670008,0.0005111162712159363,0.0006360253102924622,0.503448275862069,1.268088307972424,-0.010869064951170978,0.014856371450257155
2026-03,89,-0.0006419494202268173,-0.0006153407173318909,-0.001040463959504482,-0.0009381130665455577,0.47191011235955055,0.7874930304642647,-0.00888597543198692,0.006595309943607142
2026-04,30,-0.0020866504407183266,-0.0020640534263898,-0.002076687041779693,-0.0020559803913462213,0.3333333333333333,0.3075895009387671,-0.007224217136977579,0.002625399930580442
2026-05,52,0.0008245548465765077,-0.00012239161727734994,0.00042493990218571686,0.0007093140679795869,0.5,1.3945779416397566,-0.00650541092146673,0.007456492999934689
2026-06,87,0.004233300377069834,0.0014225767974138,0.0042579479224400104,0.004388992806841829,0.6551724137931034,2.765800119789481,-0.0063014631261367,0.019888155809182444
2026-07,19,-0.0006341374490898367,-5.123030624889992e-05,-0.0006341374490898369,-0.00047698337811602433,0.47368421052631576,0.6175079060093082,-0.0048920085201876,0.0030361629901997384
