hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,anchors_pf_gt_1,total_anchors,worst_anchor_pf,median_anchor_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
PRE_UP_CONTINUE_LONG,30,1442,-0.000369027991565332,-0.00048233117896032097,-0.0003892131003495633,0.4251040221914008,0.8416644379840417,1,3,0.7270898946193287,0.741159454713638,0,4,0.7590749981747803,0.8330184443944155,0,3,0.796415610452412,0.8492054666906317,12,31,0.8211203053076056,False
PRE_UP_CONTINUE_LONG,60,1442,-0.00015126587456195897,-0.0003742929572522118,-0.00029911358926259764,0.4486823855755895,0.9500554679176242,1,3,0.7604651159752313,0.8254494930022078,1,4,0.7872111882590981,0.9813320970696064,1,3,0.8680653591725329,0.9595365025304836,15,31,0.9168424479302435,False
PRE_UP_CONTINUE_LONG,120,1442,-0.0001845945683557928,-0.00043276484112844574,-0.0003334415808976109,0.4667128987517337,0.9535294575437122,1,3,0.807201235608908,0.8692175643336647,0,4,0.8831100047134425,0.9594779498935919,1,3,0.7731321174395701,0.8946747652745951,16,31,1.0529348418393856,False
PRE_UP_REVERSE_SHORT,30,1442,-0.000830972008434668,-0.0007176688210396799,-0.0008107868996504358,0.4764216366158114,0.6725229985286257,0,3,0.5546861182895382,0.6649059616138554,0,4,0.6005789268536217,0.6580052352488264,0,3,0.6319414195658852,0.6846438620449958,6,31,0.6952590742473792,False
PRE_UP_REVERSE_SHORT,60,1442,-0.0010487341254380414,-0.0008257070427477888,-0.0009008864107374023,0.4653259361997226,0.6975870260829732,0,3,0.5152194595504617,0.7162182787318881,0,4,0.6441343606003128,0.6964303454415994,0,3,0.6398916229357092,0.6954278942766231,9,31,0.6949740008711163,False
PRE_UP_REVERSE_SHORT,120,1442,-0.001015405431644208,-0.0007672351588715559,-0.0008665584191023888,0.47018030513176146,0.7684015918175009,0,3,0.6686897856403317,0.8338074233386471,0,4,0.7228493968089725,0.7503563849213398,0,3,0.6964561070851618,0.7851810586762425,9,31,0.7619221786990698,False
PRE_DOWN_CONTINUE_SHORT,30,1543,-0.0008539534259100368,-0.0011206249490119252,-0.0009810701949209987,0.3661697990926766,0.693929790912262,0,3,0.5404857859211404,0.8080948295517543,0,4,0.5905447810932503,0.67221509886187,0,3,0.5657826813200864,0.7013405335154101,11,31,0.6727028385276472,False
PRE_DOWN_CONTINUE_SHORT,60,1543,-0.0006709985995731006,-0.000919199176861512,-0.0007779081288866209,0.3966299416720674,0.8008339938755097,1,3,0.6446767617713767,0.6555157997846531,0,4,0.6751619234872747,0.7786904527532965,0,3,0.7560622711887987,0.780412772297982,12,31,0.7748041268181198,False
PRE_DOWN_CONTINUE_SHORT,120,1543,-0.0010265808037472808,-0.0014783135973668782,-0.0012398110604434662,0.3869086195722618,0.7815536384225762,0,3,0.6243127457919331,0.8590867845717215,0,4,0.7162224351069139,0.751857264086156,0,3,0.6191801511313725,0.8012790687152218,10,31,0.7273574818746135,False
PRE_DOWN_REVERSE_LONG,30,1543,-0.00034604657408996315,-7.937505098807569e-05,-0.00021892980507900387,0.5217109526895658,0.8583469866470491,1,3,0.6369758610450226,0.6941731277570277,0,4,0.8199836878846847,0.8572058900002066,0,3,0.8181004299323023,0.852889638513955,10,31,0.8423345419886049,False
PRE_DOWN_REVERSE_LONG,60,1543,-0.0005290014004268999,-0.0002808008231384892,-0.00042209187111338003,0.5191186001296176,0.835995672514216,1,3,0.6146083980455462,0.9400387562640024,0,4,0.7921679806202396,0.8379201311958735,0,3,0.7919692682657886,0.8111289337616379,15,31,0.9905292039890033,False
PRE_DOWN_REVERSE_LONG,120,1543,-0.0001734191962527203,0.0002783135973668783,3.9811060443465624e-05,0.5528191834089436,0.9583882428551451,1,3,0.7896118914895528,0.8469597983048848,2,4,0.8425042858755519,0.9579763572435599,1,3,0.8868986132766604,0.9712300528919191,14,31,0.9548353319288104,False
