state,regime_group,samples,mean_return,median_return,win_rate,profit_factor
BASE,FEB_JUN,433,0.0011310907620843153,-3.1588091289558307e-05,0.4942263279445728,1.6249830450359963
BASE,JULY,103,-0.0013046635556400387,-0.001131498957620436,0.34951456310679613,0.4297014456038138
ASSET_1H_BEAR,FEB_JUN,195,0.0009022429237961419,-0.00019531799331851118,0.4717948717948718,1.4252851017436765
ASSET_1H_BEAR,JULY,51,-0.0018774868134303101,-0.0007586584096401783,0.35294117647058826,0.28999659195715183
ASSET_1H_NOT_BEAR,FEB_JUN,238,0.0013185921421943734,0.00016500686638443174,0.5126050420168067,1.8482943105553666
ASSET_1H_NOT_BEAR,JULY,52,-0.0007428561297303494,-0.001145571666672618,0.34615384615384615,0.6166683554726871
ASSET_6H_DOWN,FEB_JUN,322,0.0008951191061215327,-0.00030171987497851216,0.4720496894409938,1.4495237302047985
ASSET_6H_DOWN,JULY,77,-0.0013390314618864302,-0.0007559376263559514,0.37662337662337664,0.38218662644307816
ASSET_6H_UP,FEB_JUN,111,0.001815621151453829,0.00047606703415126184,0.5585585585585585,2.41472133811154
ASSET_6H_UP,JULY,26,-0.0012028816794488024,-0.001728291098229806,0.2692307692307692,0.5450518088322802
ASSET_12H_DOWN,FEB_JUN,288,0.0012325705561559615,-0.00018047314896080247,0.4826388888888889,1.6273276097526486
ASSET_12H_DOWN,JULY,58,-0.0018179723761042868,-0.001447257795675283,0.3620689655172414,0.32152983933701906
ASSET_12H_UP,FEB_JUN,145,0.0009295308952385629,0.00017319841177054762,0.5172413793103449,1.6188911204272691
ASSET_12H_UP,JULY,45,-0.000643065520375008,-0.0009123287190553331,0.3333333333333333,0.6392657897666721
ASSET_24H_DOWN,FEB_JUN,253,0.0009500807882669452,-0.00019531799331851118,0.4743083003952569,1.4530388874562694
ASSET_24H_DOWN,JULY,69,-0.0013674081855113759,-0.0007496275534681907,0.36231884057971014,0.4077809144751063
ASSET_24H_UP,FEB_JUN,180,0.0013855103363942856,0.0002886623428467461,0.5222222222222223,1.9854759921841452
ASSET_24H_UP,JULY,34,-0.0011773288656070308,-0.0014230855152913557,0.3235294117647059,0.47546441405877576
ASSET_1H_MACD_BEAR,FEB_JUN,277,0.0010207833726675944,-0.0003524436090225347,0.48014440433212996,1.4890232777725547
ASSET_1H_MACD_BEAR,JULY,58,-0.0015836607656792788,-0.0014230855152913557,0.3448275862068966,0.3605748135294189
ASSET_1H_MACD_BULL,FEB_JUN,156,0.0013269570881640057,0.00036566704542206896,0.5192307692307693,2.007652142689942
ASSET_1H_MACD_BULL,JULY,45,-0.0009450671515894626,-0.0005155147831944484,0.35555555555555557,0.5376549692453954
BTC_1H_BEAR,FEB_JUN,186,0.000950960769762448,-0.0005847260976286628,0.44623655913978494,1.4121111536931146
BTC_1H_BEAR,JULY,40,-0.0016559569655538952,-0.0006325711683313195,0.4,0.36381883748751526
BTC_1H_NOT_BEAR,FEB_JUN,247,0.0012667352097436972,0.00035289965886375896,0.5303643724696356,1.8827560235343757
BTC_1H_NOT_BEAR,JULY,63,-0.0010816201207740981,-0.001296137325826674,0.31746031746031744,0.48186057647780056
BTC_6H_DOWN,FEB_JUN,318,0.0009508032400704845,-0.0002271672441255257,0.4716981132075472,1.4935944485370645
BTC_6H_DOWN,JULY,70,-0.0014145775246064275,-0.000752782589912071,0.37142857142857144,0.3798103443729953
BTC_6H_UP,FEB_JUN,115,0.0016296249533921258,0.0004496402877698369,0.5565217391304348,2.0954179290691393
BTC_6H_UP,JULY,33,-0.0010715127123780018,-0.0015162605876817281,0.30303030303030304,0.5345544699422181
BTC_24H_DOWN,FEB_JUN,249,0.0010599743660613592,-0.00016562830460309375,0.4779116465863454,1.5250258115641062
BTC_24H_DOWN,JULY,67,-0.0011015559137778125,-0.0007496275534681907,0.3582089552238806,0.5068717912628408
BTC_24H_UP,FEB_JUN,184,0.0012273297980066853,0.0002120741216956601,0.5163043478260869,1.8038468658493534
BTC_24H_UP,JULY,36,-0.0016826694446614042,-0.0014966253187164713,0.3333333333333333,0.2953493305694712
ASSET_BEAR_AND_BTC_BEAR,FEB_JUN,174,0.0007797534434027391,-0.0005491559198064211,0.4540229885057471,1.3446151968212938
ASSET_BEAR_AND_BTC_BEAR,JULY,38,-0.0015215200378307107,-0.00039333222890747255,0.42105263157894735,0.39583142703517177
ASSET_24H_DOWN_AND_BTC_24H_DOWN,FEB_JUN,233,0.000981286535017327,-0.00016562830460309375,0.47639484978540775,1.469171806464493
ASSET_24H_DOWN_AND_BTC_24H_DOWN,JULY,64,-0.0013899491827148534,-0.000752782589912071,0.34375,0.400988006447236
