trailing_funding_records,rebalance_funding_periods,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_turnover,mean_price_component,mean_funding_component
3,1,development,0.0006,824,8.11826665391954e-05,5.9201965610892777e-05,0.508495145631068,1.0397521622408117,9,-0.006392599227222301,0.006775820784344265,-0.025324908711780208,0.03580052654130022,0.15387110213134836,0.5094053398058253,0.00019924563984016633,3.47586286407767e-05
3,1,development,0.0014,824,-0.0001225794693831345,-0.0001000268738213029,0.49029126213592233,0.9428834087089357,11,-0.0065439892496743715,0.006619544124602228,-0.02562490871178021,0.03540052654130022,0.23898019101615908,0.5094053398058253,0.00019924563984016633,3.47586286407767e-05
3,1,validation,0.0006,1094,0.00019275309083250337,0.00015021585064983923,0.5109689213893968,1.1003100479494314,8,-0.0061158076338481285,0.006248185177229879,-0.05184464383928071,0.06434525643858796,0.15242440085663522,0.5409049360146252,0.0003200922624504193,3.493230918647166e-05
3,1,validation,0.0014,1094,-2.360888357334664e-05,-8.649050430548032e-05,0.4890310786106033,0.9883793995177684,8,-0.006313119280090447,0.006085606071252957,-0.052044643839280716,0.06424525643858797,0.24817739061875754,0.5409049360146252,0.0003200922624504193,3.493230918647166e-05
3,1,confirmation,0.0006,635,0.0001502957068313016,-0.00011870564979219143,0.4881889763779528,1.0927506442151527,8,-0.004955406869318008,0.005359153219496316,-0.024402661143963562,0.028496703266372183,0.08715403907359953,0.6204724409448819,0.00028954436037460877,4.689307874015748e-05
3,1,confirmation,0.0014,635,-9.789326954665098e-05,-0.00036981305442512313,0.46141732283464565,0.9441603599007863,8,-0.00515277348775278,0.005135099808739959,-0.02460266114396356,0.028296703266372184,0.1363067787964538,0.6204724409448819,0.00028954436037460877,4.689307874015748e-05
3,3,development,0.0006,274,0.000420345204153353,0.0009029798049227359,0.5401459854014599,1.1214105173514721,7,-0.011341337250506449,0.012132259720804542,-0.03299237027689236,0.031540248710611916,0.1447958691817801,0.9771897810218978,0.0006221663218540829,9.133581660583942e-05
3,3,development,0.0014,274,2.946929174459399e-05,0.00047751817252092053,0.5218978102189781,1.0080728764796731,7,-0.011774491795829511,0.01166615196152309,-0.03369237027689236,0.031240248710611918,0.18832003372803674,0.9771897810218978,0.0006221663218540829,9.133581660583942e-05
3,3,validation,0.0006,364,0.0009744934687289357,0.0007202659446045192,0.5494505494505495,1.3196358707180302,7,-0.010414462302156957,0.011597677995911167,-0.029042181365203205,0.0661434521016879,0.09082940566909636,1.0206043956043955,0.0011891848835641008,9.148990384615385e-05
3,3,validation,0.0014,364,0.0005662517104871777,0.0003477169054161833,0.5247252747252747,1.174969407129462,7,-0.0108333895782156,0.011286805875243546,-0.029342181365203206,0.0658434521016879,0.12443280878433538,1.0206043956043955,0.0011891848835641008,9.148990384615385e-05
