minutes,month,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
60,2024-01,254,0.0016660445923931222,0.0021173471033051504,0.0014787464442517588,0.001359102548704433,0.6220472440944882,1.3691684379582971,-0.015388468034753699,0.016218126427635798
60,2024-02,117,0.002611897666638072,0.0024560552108953003,0.002729413248346572,0.002720301913549338,0.7094017094017094,3.0973043556130646,-0.00395050225262392,0.01052388432541846
60,2024-03,218,0.0035151691175044826,0.0043119743805002005,0.003909209807983666,0.0036831424504537007,0.6697247706422018,1.9762851139984483,-0.011893162052965167,0.01876368173290266
60,2024-04,269,0.001548681870404038,0.0014708065444428002,0.0015848084514402659,0.0016106632306592027,0.5836431226765799,1.3931348641221222,-0.01197910673433298,0.014581817388139344
60,2024-05,191,0.0006646522997181504,0.0018745587681667,0.0008689134367941616,0.0006413677255522918,0.6230366492146597,1.2370897769464313,-0.0102103580329462,0.009515154610302801
60,2024-06,278,0.000813140991512937,0.0010325504396753,0.0009626226389329407,0.0009153764464733818,0.5935251798561151,1.3225674946638957,-0.007339698635650499,0.009195082858609724
60,2024-07,271,3.901655853361046e-06,0.001287679664835,0.0007053372372371232,0.0004265561855622963,0.5830258302583026,1.0009321940629963,-0.0121217908154866,0.0119599496815786
60,2024-08,321,-0.0023309690796052772,-0.0010373815424988,-0.0016296560154975272,-0.0022021338068072124,0.45794392523364486,0.6422868287883619,-0.0177317683518456,0.012629301807151801
60,2024-09,285,0.0018964534174713257,0.0016395028609267003,0.0014358939564338125,0.0017442171392967156,0.6,2.0540343613928003,-0.00683700364257756,0.009123038699710978
60,2024-10,280,0.0013329143112578538,0.0010548846959467,0.001292821162089743,0.0012653865296522637,0.5821428571428572,1.579860198239973,-0.00785755929593362,0.01061803453120144
60,2024-11,210,0.0036066801510810285,0.0034418640701249503,0.0035183218865828115,0.0035715282891735714,0.6666666666666666,2.831899124475619,-0.0074395357665732,0.015102729757304008
60,2024-12,379,0.0024639341673274155,0.0018836909533916,0.002177811335859278,0.00222076124895003,0.6068601583113457,1.8743865402698887,-0.009515234767837059,0.01455376692522086
60,2025-01,373,0.0007954999462079489,-0.00033935330659309995,0.0002958124284861562,0.00044895906404534154,0.47989276139410186,1.2529298982186763,-0.010385659876593218,0.01074005866410846
60,2025-02,467,-0.0003424877068654289,0.0004680019790054001,-0.00016255356277689262,-0.0002442644765409253,0.5267665952890792,0.9202002560559884,-0.0135603954984541,0.01164651110334872
60,2025-03,372,0.0005991045033325072,0.0003511057452301501,0.0005251901832136686,0.0005593214123443004,0.532258064516129,1.169543829558007,-0.01010272503231719,0.012021086897594754
