hold_funding_periods,entry_percentile,year,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
21,0.75,2024,0.0015,50,0.0002590378694335129,-5.4411448792545856e-05,0.48,2.0456312663831695,15,-0.0009276683000325285,0.0010600469840170925,-0.0011899122586634923,0.004472160720094001,0.009312917510629015
21,0.75,2024,0.0025,50,-0.000740962130566487,-0.001054411448792546,0.12,0.19551751045118348,35,-0.0019276683000325286,6.004698401709251e-05,-0.002189912258663492,0.0034721607200940015,0.042972975782571865
21,0.75,2025,0.0015,17,-0.0008200782444301007,-0.0009853783150331405,0.0,0.0,17,-0.0012244789479084282,-0.0002256260537356516,-0.0014288066295938598,-0.00014561163304321304,0.013851612238677924
21,0.75,2025,0.0025,17,-0.0018200782444301009,-0.0019853783150331405,0.0,0.0,17,-0.002224478947908428,-0.0012256260537356516,-0.0024288066295938596,-0.001145611633043213,0.03049623050014727
21,0.75,2026,0.0015,13,-0.0010873927860479368,-0.0011347187277373433,0.0,0.0,13,-0.0012446102499025608,-0.0008426314367189796,-0.0014644917134860522,-0.0008016091141822708,0.014044453955902259
21,0.75,2026,0.0025,13,-0.002087392786047937,-0.0021347187277373433,0.0,0.0,13,-0.0022446102499025606,-0.0018426314367189795,-0.0024644917134860524,-0.0018016091141822709,0.026799039356329768
21,0.9,2024,0.0015,35,0.00048101317682819214,0.00025448202123542823,0.6571428571428571,3.7421737885309883,8,-0.0005600689698107259,0.0014791979412524304,-0.0011730322403207248,0.004472160720094001,0.0047963994067412585
21,0.9,2024,0.0025,35,-0.0005189868231718078,-0.0007455179787645718,0.17142857142857143,0.33648996122932673,17,-0.001560068969810726,0.0004791979412524304,-0.0021730322403207248,0.0034721607200940015,0.02471493908868383
21,0.9,2025,0.0015,12,-0.0008126593223647174,-0.0009177971712881034,0.0,0.0,12,-0.0013505387279780612,-0.00022371778804491276,-0.0014984508312715348,-0.00014561163304321304,0.00970973606980785
21,0.9,2025,0.0025,12,-0.0018126593223647175,-0.0019177971712881037,0.0,0.0,12,-0.002350538727978061,-0.0012237177880449128,-0.002498450831271535,-0.001145611633043213,0.02153763926558039
21,0.9,2026,0.0015,11,-0.001064096484791114,-0.000971246545785939,0.0,0.0,11,-0.0012708774781648165,-0.0008491137022060135,-0.0014644917134860522,-0.0008380783796710595,0.011643200187082203
21,0.9,2026,0.0025,11,-0.0020640964847911144,-0.001971246545785939,0.0,0.0,11,-0.0022708774781648165,-0.0018491137022060135,-0.0024644917134860524,-0.0018380783796710595,0.022472394292655462
42,0.75,2024,0.0015,28,0.0015775407100611385,0.0014430547775823412,0.8214285714285714,7.05862793330035,3,-0.0010208390768876303,0.003930553274195007,-0.0022083977063230347,0.007124806675907154,0.0056762802058039075
42,0.75,2024,0.0025,28,0.0005775407100611383,0.0004430547775823412,0.6428571428571429,2.1144865731627314,7,-0.0020208390768876303,0.002930553274195006,-0.0032083977063230348,0.006124806675907153,0.012690432358616444
42,0.75,2025,0.0015,13,-0.00035125106179840246,-0.0006533866729661864,0.38461538461538464,0.3810319254813217,4,-0.0011329220959247104,0.0007882820835506434,-0.0012024685462710093,0.0009222660072722541,0.005521838327545603
42,0.75,2025,0.0025,13,-0.0013512510617984025,-0.0016533866729661864,0.0,0.0,13,-0.0021329220959247107,-0.00021171791644935672,-0.0022024685462710093,-7.77339927277459e-05,0.017428330640956835
42,0.75,2026,0.0015,6,-0.0007312297904134485,-0.0007807604029422674,0.0,0.0,6,-0.001050899267883065,-0.00036202970041501265,-0.0011353922418685782,-0.0001355596326608915,0.004379664989333287
42,0.75,2026,0.0025,6,-0.0017312297904134484,-0.0017807604029422674,0.0,0.0,6,-0.002050899267883065,-0.0013620297004150127,-0.002135392241868578,-0.0011355596326608915,0.010342822726194134
42,0.9,2024,0.0015,23,0.0018174129748549104,0.0014250989818259002,0.8695652173913043,8.989092598686684,1,-0.000617099520466919,0.005168466586243761,-0.0022083977063230347,0.007124806675907154,0.0025703919008990272
42,0.9,2024,0.0025,23,0.00081741297485491,0.00042509898182590015,0.6086956521739131,2.714555801529752,6,-0.001617099520466919,0.00416846658624376,-0.0032083977063230348,0.006124806675907153,0.009734995107541056
42,0.9,2025,0.0015,9,-0.00035164907908687344,-0.0006212444074866053,0.3333333333333333,0.43766735357493747,4,-0.0012036771561908955,0.0008245754482145523,-0.001317162608568344,0.0009222660072722541,0.003814696829663733
42,0.9,2025,0.0025,9,-0.0013516490790868735,-0.0016212444074866052,0.0,0.0,9,-0.0022036771561908955,-0.00017542455178544766,-0.002317162608568344,-7.77339927277459e-05,0.012102604543989925
42,0.9,2026,0.0015,7,-0.0008510653002169527,-0.0009664062938975519,0.0,0.0,7,-0.0011700511331493827,-0.0004204757973041665,-0.0012019810702965717,-0.00018869376752601408,0.0059426827251291
42,0.9,2026,0.0025,7,-0.0018510653002169527,-0.0019664062938975517,0.0,0.0,7,-0.0021700511331493827,-0.0014204757973041665,-0.002201981070296572,-0.001188693767526014,0.012886135934244591
