hypothesis,minutes,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
ABS_UP_REVERSE_SHORT,5,2024,0.0,1540,9.14410380078157e-06,-0.00014347740725750846,-5.384639018507714e-05,-5.55885609926192e-05,0.4727272727272727,1.0078571102340046,-0.003565164369099394,0.003524371740005039
ABS_UP_REVERSE_SHORT,5,2024,0.0004,1540,-0.00039085589619921847,-0.0005434774072575084,-0.0004538463901850772,-0.0004555885609926193,0.40194805194805194,0.7186092196972896,-0.0039651643690993945,0.003124371740005039
ABS_UP_REVERSE_SHORT,5,2024,0.0006,1540,-0.0005908558961992183,-0.0007434774072575084,-0.0006538463901850769,-0.0006555885609926189,0.38441558441558443,0.6087918272025745,-0.004165164369099394,0.0029243717400050393
ABS_UP_REVERSE_SHORT,5,2025,0.0,1542,2.659026661509424e-05,1.587240685918534e-05,1.4338988254811545e-07,3.57598437116291e-06,0.5025940337224384,1.0249774971995862,-0.0032800040059770773,0.003291768822843888
ABS_UP_REVERSE_SHORT,5,2025,0.0004,1542,-0.00037340973338490576,-0.0003841275931408147,-0.00039985661011745214,-0.00039642401562883724,0.42477302204928663,0.7081733873044719,-0.0036800040059770775,0.002891768822843888
ABS_UP_REVERSE_SHORT,5,2025,0.0006,1542,-0.0005734097333849056,-0.0005841275931408146,-0.0005998566101174517,-0.000596424015628837,0.38197146562905315,0.5900961629627337,-0.003880004005977077,0.0026917688228438883
ABS_UP_REVERSE_SHORT,5,2026,0.0,853,-2.8604621266358344e-05,-6.592283731876591e-05,-6.690314409891381e-05,-7.250918441129732e-05,0.48300117233294254,0.970162876184108,-0.0028870844422288046,0.002696009782494892
ABS_UP_REVERSE_SHORT,5,2026,0.0004,853,-0.00042860462126635836,-0.00046592283731876593,-0.00046690314409891386,-0.00047250918441129735,0.3974208675263775,0.6373283981928629,-0.003287084442228805,0.0022960097824948917
ABS_UP_REVERSE_SHORT,5,2026,0.0006,853,-0.0006286046212663583,-0.0006659228373187659,-0.0006669031440989138,-0.0006725091844112972,0.35873388042203985,0.5185667189424698,-0.0034870844422288045,0.002096009782494892
ABS_UP_REVERSE_SHORT,15,2024,0.0,1540,0.00020232984492451578,0.0001176159763505158,3.9066625291164667e-05,2.8248318047818294e-05,0.5123376623376623,1.116016239814566,-0.005410845778183982,0.005524430584019027
ABS_UP_REVERSE_SHORT,15,2024,0.0004,1540,-0.00019767015507548427,-0.0002823840236494842,-0.00036093337470883484,-0.0003717516819521819,0.4733766233766234,0.8984890501984547,-0.005810845778183982,0.005124430584019027
ABS_UP_REVERSE_SHORT,15,2024,0.0006,1540,-0.0003976701550754841,-0.00048238402364948415,-0.0005609333747088356,-0.0005717516819521817,0.44675324675324674,0.8065075089739749,-0.006010845778183982,0.004924430584019027
