symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BTCUSDT,2026-02,BASE_SHORT,0.0,81,0.4691358024691358,-1.2977629275833523e-05,-0.0005858185776754787,0.9962568334782015,0.03601026290939813,-0.06349107574840662,0.9962568334782015
BTCUSDT,2026-02,BASE_SHORT,0.0002,81,0.4691358024691358,-0.00021297762927583317,-0.0007858185776754787,0.9403956905660177,0.03581026290939813,-0.06369107574840663,0.9403956905660177
BTCUSDT,2026-02,BASE_SHORT,0.0004,81,0.4567901234567901,-0.0004129776292758328,-0.0009858185776754787,0.8877773955305955,0.03561026290939813,-0.06389107574840662,0.8877773955305955
BTCUSDT,2026-02,BASE_SHORT,0.0006,81,0.4444444444444444,-0.0006129776292758342,-0.0011858185776754786,0.8382721256853802,0.035410262909398124,-0.06409107574840663,0.8382721256853802
BTCUSDT,2026-02,BASE_SHORT,0.0008,81,0.4074074074074074,-0.0008129776292758338,-0.0013858185776754787,0.7917607221364752,0.035210262909398125,-0.06429107574840662,0.7917607221364752
BTCUSDT,2026-02,BASE_SHORT,0.001,81,0.38271604938271603,-0.0010129776292758343,-0.0015858185776754788,0.748300546579761,0.03501026290939813,-0.06449107574840662,0.748300546579761
BTCUSDT,2026-02,ATR_CONTRACTING,0.0,25,0.52,0.0014419354722156675,0.00034965769562056437,1.661046200667376,0.023412828850827072,-0.011784871593201629,1.661046200667376
BTCUSDT,2026-02,ATR_CONTRACTING,0.0002,25,0.52,0.0012419354722156678,0.00014965769562056436,1.5453560231584869,0.023212828850827073,-0.01198487159320163,1.5453560231584869
BTCUSDT,2026-02,ATR_CONTRACTING,0.0004,25,0.48,0.0010419354722156673,-5.034230437943565e-05,1.4386530215377857,0.02301282885082707,-0.012184871593201628,1.4386530215377857
BTCUSDT,2026-02,ATR_CONTRACTING,0.0006,25,0.44,0.0008419354722156675,-0.0002503423043794356,1.3388980885507873,0.022812828850827072,-0.012384871593201629,1.3388980885507873
BTCUSDT,2026-02,ATR_CONTRACTING,0.0008,25,0.44,0.0006419354722156677,-0.00045034230437943567,1.2472470372881412,0.022612828850827073,-0.01258487159320163,1.2472470372881412
BTCUSDT,2026-02,ATR_CONTRACTING,0.001,25,0.4,0.000441935472215667,-0.0006503423043794357,1.1630964766728424,0.02241282885082707,-0.01278487159320163,1.1630964766728424
BTCUSDT,2026-02,ATR_EXPANDING,0.0,69,0.43478260869565216,-0.0006476121048601313,-0.0008712523710692199,0.8253144663336692,0.03601026290939813,-0.06349107574840662,0.8253144663336692
BTCUSDT,2026-02,ATR_EXPANDING,0.0002,69,0.42028985507246375,-0.0008476121048601322,-0.00107125237106922,0.7781526234653516,0.03581026290939813,-0.06369107574840663,0.7781526234653516
BTCUSDT,2026-02,ATR_EXPANDING,0.0004,69,0.42028985507246375,-0.0010476121048601308,-0.00127125237106922,0.7338817456422386,0.03561026290939813,-0.06389107574840662,0.7338817456422386
BTCUSDT,2026-02,ATR_EXPANDING,0.0006,69,0.42028985507246375,-0.0012476121048601316,-0.0014712523710692198,0.6921439954620721,0.035410262909398124,-0.06409107574840663,0.6921439954620721
BTCUSDT,2026-02,ATR_EXPANDING,0.0008,69,0.36231884057971014,-0.001447612104860131,-0.0016712523710692199,0.653188070255321,0.035210262909398125,-0.06429107574840662,0.653188070255321
BTCUSDT,2026-02,ATR_EXPANDING,0.001,69,0.34782608695652173,-0.0016476121048601322,-0.00187125237106922,0.6171401698471962,0.03501026290939813,-0.06449107574840662,0.6171401698471962
BTCUSDT,2026-03,BASE_SHORT,0.0,93,0.3655913978494624,-0.0006715363506299415,-0.001212765957446793,0.7163226411335561,0.012295970302001136,-0.016917540087856064,0.7163226411335561
BTCUSDT,2026-03,BASE_SHORT,0.0002,93,0.3333333333333333,-0.0008715363506299419,-0.0014127659574467931,0.6510586474578812,0.012095970302001135,-0.017117540087856063,0.6510586474578812
BTCUSDT,2026-03,BASE_SHORT,0.0004,93,0.3225806451612903,-0.0010715363506299414,-0.001612765957446793,0.5927874609220525,0.011895970302001136,-0.017317540087856065,0.5927874609220525
