hypothesis,event,horizon,minutes,feature,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,baseline_mean_return,baseline_profit_factor,mean_return_delta,pf_delta
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q1,0.0,0.7202038581232246,2.026221731049989,2.1508825698376,4104,5.843590252855177e-05,0.00032241173749575,0.5321637426900585,1.0268092420062185,-0.00660273705328084,0.006473832353612004,1.6413163231538343e-05,1.0067840312693692,4.202273929701343e-05,0.020025210736849264
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q1,0.0002,0.7202038581232246,2.026221731049989,2.1508825698376,4104,-0.0001415640974714482,0.00012241173749575,0.5112085769980507,0.9377869704696625,-0.0068027370532808395,0.006273832353612004,-0.00018358683676846164,0.9270103762098132,4.202273929701343e-05,0.010776594259849337
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q1,0.0004,0.7202038581232246,2.026221731049989,2.1508825698376,4104,-0.00034156409747144827,-7.758826250425002e-05,0.49000974658869395,0.8561959384760713,-0.00700273705328084,0.006073832353612004,-0.00038358683676846165,0.8533030159057083,4.202273929701338e-05,0.002892922570362999
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q2,0.0,2.151167393589035,2.279272286914394,2.4437828881118886,4104,-0.00010374650667917102,0.00019532833844525,0.5211988304093568,0.9534341787401022,-0.00684050926117022,0.006272376189328133,1.6413163231538343e-05,1.0067840312693692,-0.00012015966991070937,-0.05334985252926705
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q2,0.0002,2.151167393589035,2.279272286914394,2.4437828881118886,4104,-0.00030374650667917103,-4.67166155475001e-06,0.49975633528265107,0.8694004907748071,-0.0070405092611702195,0.006072376189328133,-0.00018358683676846164,0.9270103762098132,-0.0001201596699107094,-0.057609885435006114
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q2,0.0004,2.151167393589035,2.279272286914394,2.4437828881118886,4104,-0.0005037465066791711,-0.00020467166155475002,0.48148148148148145,0.7925032086090008,-0.00724050926117022,0.0058723761893281325,-0.00038358683676846165,0.8533030159057083,-0.00012015966991070942,-0.06079980729670753
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q3,0.0,2.4438017645581613,2.6660600249915714,2.9873549026929824,4104,-4.565307078341935e-05,0.0003230383223138,0.5309454191033138,0.980905384551731,-0.0073758655386206,0.006896544624855101,1.6413163231538343e-05,1.0067840312693692,-6.206623401495769e-05,-0.025878646717638176
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q3,0.0002,2.4438017645581613,2.6660600249915714,2.9873549026929824,4104,-0.0002456530707834193,0.00012303832231379998,0.5131578947368421,0.9012030045889194,-0.0075758655386206,0.006696544624855101,-0.00018358683676846164,0.9270103762098132,-6.206623401495767e-05,-0.02580737162089375
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q3,0.0004,2.4438017645581613,2.6660600249915714,2.9873549026929824,4104,-0.00044565307078341934,-7.696167768620003e-05,0.4939083820662768,0.8276598148354032,-0.0077758655386206,0.006496544624855101,-0.00038358683676846165,0.8533030159057083,-6.206623401495769e-05,-0.025643201070305155
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q4,0.0,2.987367488520792,3.5795825993612658,32.165912659492854,4104,0.00015661632786019198,0.0005225961086539499,0.5363060428849903,1.0543996626713517,-0.00888215008613389,0.008677745009179623,1.6413163231538343e-05,1.0067840312693692,0.00014020316462865363,0.04761563140198244
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q4,0.0002,2.987367488520792,3.5795825993612658,32.165912659492854,4104,-4.338367213980801e-05,0.00032259610865395,0.5216861598440545,0.9854088201279185,-0.00908215008613389,0.008477745009179622,-0.00018358683676846164,0.9270103762098132,0.00014020316462865363,0.058398443918105336
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q4,0.0004,2.987367488520792,3.5795825993612658,32.165912659492854,4104,-0.0002433836721398081,0.00012259610865394998,0.5060916179337231,0.9207340402715086,-0.00928215008613389,0.008277745009179624,-0.00038358683676846165,0.8533030159057083,0.00014020316462865355,0.06743102436580029
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q1,0.0,1.4626413652362318,2.169265237539255,2.4289485465877347,4104,-0.00011979873831315677,0.0001389969503249,0.5148635477582846,0.9421950348136343,-0.00632609410349505,0.005873296613271141,1.6413163231538343e-05,1.0067840312693692,-0.0001362119015446951,-0.0645889964557349
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q1,0.0002,1.4626413652362318,2.169265237539255,2.4289485465877347,4104,-0.00031979873831315675,-6.100304967510001e-05,0.4939083820662768,0.8527319840679067,-0.00652609410349505,0.005673296613271142,-0.00018358683676846164,0.9270103762098132,-0.0001362119015446951,-0.07427839214190646
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q1,0.0004,1.4626413652362318,2.169265237539255,2.4289485465877347,4104,-0.0005197987383131568,-0.0002610030496751,0.4746588693957115,0.7714730313109869,-0.00672609410349505,0.005473296613271141,-0.00038358683676846165,0.8533030159057083,-0.0001362119015446952,-0.08182998459472146
