symbol,period,year,open_time,strategy,penetration_norm,entry_price,exit_price,holding_bars,exit_reason,gross_return
BTCUSDT,2024-01,2024,2024-01-01 04:20:00+00:00,TIME_ONLY,0.06192170818505856,42352.1,42368.3,12,TIME,0.0003825075970260716
BTCUSDT,2024-01,2024,2024-01-01 04:20:00+00:00,STOP_REJECTION_LOW,0.06192170818505856,42352.1,42368.3,12,TIME,0.0003825075970260716
BTCUSDT,2024-01,2024,2024-01-01 04:20:00+00:00,RECLAIM_FAILURE,0.06192170818505856,42352.1,42368.3,12,TIME,0.0003825075970260716
BTCUSDT,2024-01,2024,2024-01-01 05:55:00+00:00,TIME_ONLY,0.057826731624645834,42272.6,42423.3,12,TIME,0.003564956969763111
BTCUSDT,2024-01,2024,2024-01-01 05:55:00+00:00,STOP_REJECTION_LOW,0.057826731624645834,42272.6,42423.3,12,TIME,0.003564956969763111
BTCUSDT,2024-01,2024,2024-01-01 05:55:00+00:00,RECLAIM_FAILURE,0.057826731624645834,42272.6,42423.3,12,TIME,0.003564956969763111
BTCUSDT,2024-01,2024,2024-01-03 11:05:00+00:00,TIME_ONLY,0.05061867266591653,44967.0,40436.8,12,TIME,-0.10074499077100973
BTCUSDT,2024-01,2024,2024-01-03 11:05:00+00:00,STOP_REJECTION_LOW,0.05061867266591653,44967.0,44928.5,1,STOP_REJECTION_LOW,-0.000856183423399437
BTCUSDT,2024-01,2024,2024-01-03 11:05:00+00:00,RECLAIM_FAILURE,0.05061867266591653,44967.0,44757.2,2,RECLAIM_FAILURE,-0.004665643694264698
BTCUSDT,2024-01,2024,2024-01-04 08:15:00+00:00,TIME_ONLY,0.06247619047619602,42793.4,42924.7,12,TIME,0.0030682301476394613
BTCUSDT,2024-01,2024,2024-01-04 08:15:00+00:00,STOP_REJECTION_LOW,0.06247619047619602,42793.4,42924.7,12,TIME,0.0030682301476394613
BTCUSDT,2024-01,2024,2024-01-04 08:15:00+00:00,RECLAIM_FAILURE,0.06247619047619602,42793.4,42924.7,12,TIME,0.0030682301476394613
BTCUSDT,2024-01,2024,2024-01-05 01:25:00+00:00,TIME_ONLY,0.062214611872146115,43897.3,43305.9,12,TIME,-0.013472354791752572
BTCUSDT,2024-01,2024,2024-01-05 01:25:00+00:00,STOP_REJECTION_LOW,0.062214611872146115,43897.3,43824.1,4,STOP_REJECTION_LOW,-0.0016675285268115125
BTCUSDT,2024-01,2024,2024-01-05 01:25:00+00:00,RECLAIM_FAILURE,0.062214611872146115,43897.3,43176.5,5,RECLAIM_FAILURE,-0.01642014429133465
BTCUSDT,2024-01,2024,2024-01-07 15:45:00+00:00,TIME_ONLY,0.06272367677529256,43969.3,43985.3,12,TIME,0.00036389025979488565
BTCUSDT,2024-01,2024,2024-01-07 15:45:00+00:00,STOP_REJECTION_LOW,0.06272367677529256,43969.3,43985.3,12,TIME,0.00036389025979488565
BTCUSDT,2024-01,2024,2024-01-07 15:45:00+00:00,RECLAIM_FAILURE,0.06272367677529256,43969.3,43985.3,12,TIME,0.00036389025979488565
BTCUSDT,2024-01,2024,2024-01-07 22:20:00+00:00,TIME_ONLY,0.06012084592145455,44011.6,43772.1,12,TIME,-0.005441747175744527
BTCUSDT,2024-01,2024,2024-01-07 22:20:00+00:00,STOP_REJECTION_LOW,0.06012084592145455,44011.6,43912.0,2,STOP_REJECTION_LOW,-0.0022630397440673855
BTCUSDT,2024-01,2024,2024-01-07 22:20:00+00:00,RECLAIM_FAILURE,0.06012084592145455,44011.6,43788.2,3,RECLAIM_FAILURE,-0.005075934526352133
BTCUSDT,2024-01,2024,2024-01-07 22:35:00+00:00,TIME_ONLY,0.042557523925883765,43897.0,43733.2,12,TIME,-0.0037314622867167246
BTCUSDT,2024-01,2024,2024-01-07 22:35:00+00:00,STOP_REJECTION_LOW,0.042557523925883765,43897.0,43750.9,10,STOP_REJECTION_LOW,-0.00332824566599077
BTCUSDT,2024-01,2024,2024-01-07 22:35:00+00:00,RECLAIM_FAILURE,0.042557523925883765,43897.0,43734.6,11,RECLAIM_FAILURE,-0.0036995694466592788
BTCUSDT,2024-01,2024,2024-01-08 02:15:00+00:00,TIME_ONLY,0.04042037186742118,43678.9,43402.0,12,TIME,-0.006339445361490337
BTCUSDT,2024-01,2024,2024-01-08 02:15:00+00:00,STOP_REJECTION_LOW,0.04042037186742118,43678.9,43532.5,4,STOP_REJECTION_LOW,-0.003351732758837822
BTCUSDT,2024-01,2024,2024-01-08 02:15:00+00:00,RECLAIM_FAILURE,0.04042037186742118,43678.9,43496.7,5,RECLAIM_FAILURE,-0.004171350468990864
BTCUSDT,2024-01,2024,2024-01-10 06:00:00+00:00,TIME_ONLY,0.04825493171472369,45941.0,46020.4,12,TIME,0.0017283036938682272
BTCUSDT,2024-01,2024,2024-01-10 06:00:00+00:00,STOP_REJECTION_LOW,0.04825493171472369,45941.0,46020.4,12,TIME,0.0017283036938682272
BTCUSDT,2024-01,2024,2024-01-10 06:00:00+00:00,RECLAIM_FAILURE,0.04825493171472369,45941.0,46020.4,12,TIME,0.0017283036938682272
BTCUSDT,2024-01,2024,2024-01-10 07:10:00+00:00,TIME_ONLY,0.05500868558193376,45899.9,45793.1,12,TIME,-0.0023268024549073507
BTCUSDT,2024-01,2024,2024-01-10 07:10:00+00:00,STOP_REJECTION_LOW,0.05500868558193376,45899.9,45864.0,1,STOP_REJECTION_LOW,-0.0007821367802544055
