excluded_asset,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BNBUSDT,1824,0.0010529216114591033,0.00018229980544660007,0.0007158333430928475,0.0008990996391154018,0.506578947368421,1.256767217149229,-0.01203386693954408,0.01593153302887344
BTCUSDT,3114,0.00025526285309080695,-7.215007249504994e-05,8.142551779107408e-05,0.00016961333033773147,0.49550417469492614,1.0595056933760192,-0.0124408210997439,0.013740231605183744
ETHUSDT,3121,0.00020537539950883697,-9.734966185359997e-05,6.919169719624954e-05,0.0001270569392992285,0.4943928228132009,1.0497059386531364,-0.0118234218471163,0.012779942856803301
SOLUSDT,2957,-1.8861630279349502e-05,-0.00019116925592809993,-0.00013028077766229684,-2.590367459146887e-05,0.4903618532296246,0.9951084917039679,-0.01133637103861028,0.011235132826270727
