hypothesis,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_CONTINUE_LONG,5,0.0,78542,2.3026779588337264e-05,-3.41676079942399e-05,-1.622292271706205e-05,-4.4465163438411344e-06,0.4867077487204298,1.0302405172650646,-0.0023029481383679885,0.0023534860611066364
HIGH_CONTINUE_LONG,5,0.0004,78542,-0.0003769732204116628,-0.0004341676079942399,-0.0004162229227170621,-0.00040444651634384115,0.37685569504214306,0.6187124218793006,-0.0027029481383679887,0.001953486061106636
HIGH_CONTINUE_LONG,5,0.0006,78542,-0.0005769732204116626,-0.0006341676079942398,-0.000616222922717062,-0.000604446516343841,0.32763362277507574,0.484085724530568,-0.0029029481383679883,0.0017534860611066365
HIGH_CONTINUE_LONG,15,0.0,78542,2.1652716277529966e-05,-5.3962773186422286e-05,-3.265407534760271e-05,-1.1361709974685083e-05,0.48981436683557844,1.0165076945489253,-0.0039611464046729996,0.004012070738917318
HIGH_CONTINUE_LONG,15,0.0004,78542,-0.00037834728372247007,-0.0004539627731864223,-0.0004326540753476026,-0.0004113617099746851,0.42480456316365767,0.7524823081101916,-0.004361146404673,0.003612070738917318
HIGH_CONTINUE_LONG,15,0.0006,78542,-0.0005783472837224699,-0.0006539627731864222,-0.0006326540753476025,-0.0006113617099746849,0.39259249828117443,0.6488114125574667,-0.004561146404672999,0.0034120707389173185
HIGH_CONTINUE_LONG,30,0.0,78542,2.325723350352942e-05,-4.399891125894673e-05,-2.8600744509376964e-05,-1.6404041797400607e-05,0.4935448549820478,1.0127575291271411,-0.005492635616079599,0.005526694484455868
HIGH_CONTINUE_LONG,30,0.0004,78542,-0.0003767427664964707,-0.00044399891125894675,-0.00042860074450937674,-0.0004164040417974006,0.44730208041557384,0.8148412505538377,-0.005892635616079599,0.005126694484455868
HIGH_CONTINUE_LONG,30,0.0006,78542,-0.0005767427664964706,-0.0006439989112589467,-0.0006286007445093768,-0.0006164040417974005,0.4239769804690484,0.7314471059729537,-0.006092635616079599,0.004926694484455868
HIGH_CONTINUE_LONG,60,0.0,78542,4.11601744518099e-05,0.0,5.836713587563036e-06,2.0128226496625594e-05,0.4993633979272237,1.0162678790108508,-0.0076661487936400706,0.007675998799325341
HIGH_CONTINUE_LONG,60,0.0004,78542,-0.0003588398255481901,-0.0004,-0.00039416328641243755,-0.0003798717735033743,0.46491049374856763,0.8689059184137933,-0.00806614879364007,0.007275998799325341
HIGH_CONTINUE_LONG,60,0.0006,78542,-0.0005588398255481901,-0.0006,-0.0005941632864124376,-0.0005798717735033741,0.44735300858139593,0.8036448012506534,-0.008266148793640071,0.007075998799325341
HIGH_REVERSE_SHORT,5,0.0,78542,-2.3026779588337264e-05,3.41676079942399e-05,1.622292271706205e-05,4.446516343840917e-06,0.5083267551119146,0.9706471287449043,-0.0023534860611066355,0.0023029481383679885
HIGH_REVERSE_SHORT,5,0.0004,78542,-0.00042302677958833726,-0.0003658323920057601,-0.000383777077282938,-0.0003955534836561591,0.3952280308624685,0.5785574600185299,-0.0027534860611066357,0.0019029481383679887
HIGH_REVERSE_SHORT,5,0.0006,78542,-0.0006230267795883371,-0.00056583239200576,-0.0005837770772829377,-0.0005955534836561588,0.34354867459448446,0.4485953088203364,-0.0029534860611066353,0.0017029481383679889
HIGH_REVERSE_SHORT,15,0.0,78542,-2.1652716277529966e-05,5.3962773186422286e-05,3.265407534760251e-05,1.1361709974684962e-05,0.5073463879198391,0.9837603840704319,-0.0040120707389173175,0.0039611464046729996
HIGH_REVERSE_SHORT,15,0.0004,78542,-0.00042165271627752997,-0.00034603722681357773,-0.00036734592465239766,-0.0003886382900253152,0.44217106770899645,0.7267741901471516,-0.004412070738917318,0.003561146404673
HIGH_REVERSE_SHORT,15,0.0006,78542,-0.0006216527162775298,-0.0005460372268135777,-0.0005673459246523973,-0.0005886382900253149,0.41054467673346745,0.6250526768380487,-0.004612070738917317,0.003361146404673
HIGH_REVERSE_SHORT,30,0.0,78542,-2.325723350352942e-05,4.399891125894673e-05,2.8600744509376964e-05,1.640404179739971e-05,0.5044689465508899,0.9874031752317495,-0.005526694484455863,0.005492635616079617
HIGH_REVERSE_SHORT,30,0.0004,78542,-0.00042325723350352946,-0.0003560010887410533,-0.0003713992554906234,-0.00038359595820260036,0.45774235440910593,0.7939107293600121,-0.005926694484455863,0.005092635616079617
HIGH_REVERSE_SHORT,30,0.0006,78542,-0.0006232572335035294,-0.0005560010887410532,-0.0005713992554906233,-0.0005835959582026001,0.4334750833948715,0.7120678177126837,-0.006126694484455863,0.004892635616079617
HIGH_REVERSE_SHORT,60,0.0,78542,-4.11601744518099e-05,0.0,-5.836713587563036e-06,-2.012822649662638e-05,0.49908329301520205,0.9839925285971997,-0.007675998799325323,0.007666148793640075
HIGH_REVERSE_SHORT,60,0.0004,78542,-0.0004411601744518098,-0.0004,-0.0004058367135875624,-0.00042012822649662644,0.46470678108527924,0.8412168770415379,-0.008075998799325322,0.007266148793640075
HIGH_REVERSE_SHORT,60,0.0006,78542,-0.00064116017445181,-0.0006,-0.0006058367135875631,-0.0006201282264966263,0.44737847266430697,0.777926133262747,-0.008275998799325323,0.007066148793640075
LOW_CONTINUE_SHORT,5,0.0,72317,7.6519678551259e-06,-6.35061759755029e-05,-2.5066323504944885e-05,-8.324042918425213e-06,0.4787256108522201,1.0098255406345726,-0.0022909251073511606,0.002402316118222836
LOW_CONTINUE_SHORT,5,0.0004,72317,-0.0003923480321448741,-0.0004635061759755029,-0.0004250663235049449,-0.0004083240429184252,0.3721808150227471,0.6110214182959565,-0.0026909251073511608,0.0020023161182228357
LOW_CONTINUE_SHORT,5,0.0006,72317,-0.0005923480321448738,-0.0006635061759755028,-0.000625066323504945,-0.000608324042918425,0.323423261473789,0.4800221165739481,-0.0028909251073511604,0.001802316118222836
LOW_CONTINUE_SHORT,15,0.0,72317,-1.534951097931563e-05,-0.0001300280707658974,-6.945579942546275e-05,-3.7884177817816364e-05,0.47663758175809284,0.9887188374903036,-0.003972228918179788,0.004072820239018162
LOW_CONTINUE_SHORT,15,0.0004,72317,-0.0004153495109793157,-0.0005300280707658974,-0.0004694557994254628,-0.0004378841778178165,0.4132914805647358,0.7375036198995694,-0.004372228918179788,0.0036728202390181614
LOW_CONTINUE_SHORT,15,0.0006,72317,-0.0006153495109793156,-0.0007300280707658973,-0.0006694557994254633,-0.0006378841778178162,0.3828560366165632,0.6386083303838824,-0.004572228918179788,0.0034728202390181618
LOW_CONTINUE_SHORT,30,0.0,72317,-1.303420048864278e-05,-0.0001687197071436053,-8.5029276261177e-05,-4.47352777649962e-05,0.4786979548377283,0.9931172604601004,-0.005575594191059396,0.005702711552162422
LOW_CONTINUE_SHORT,30,0.0004,72317,-0.00041303420048864283,-0.0005687197071436053,-0.00048502927626117664,-0.0004447352777649962,0.43366013523791086,0.80435551774916,-0.0059755941910593965,0.005302711552162422
LOW_CONTINUE_SHORT,30,0.0006,72317,-0.0006130342004886428,-0.0007687197071436052,-0.0006850292762611778,-0.0006447352777649961,0.41178422777493534,0.7246789337369018,-0.006175594191059396,0.005102711552162422
LOW_CONTINUE_SHORT,60,0.0,72317,1.4406453309388096e-05,-0.00022832512841231,-0.0001076035104694869,-5.9695034791045814e-05,0.4796382593304479,1.0055069647296657,-0.00773365831885755,0.007955633168277321
LOW_CONTINUE_SHORT,60,0.0004,72317,-0.0003855935466906118,-0.00062832512841231,-0.0005076035104694868,-0.0004596950347910458,0.4472945503823444,0.8637766605045649,-0.00813365831885755,0.007555633168277322
