hypothesis,minutes,period,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
ABS_UP_REVERSE_SHORT,5,2024-01,111,-0.0010459820348469667,-0.000944768143423435,-0.001021194218188698,-0.0010514502298135755,0.35135135135135137,0.38541886078947957,-0.004547113407422487,0.002141852897940267
ABS_UP_REVERSE_SHORT,5,2024-02,139,-0.0006398874879481568,-0.0006623227696239236,-0.0006452545545862351,-0.0006575186637697675,0.381294964028777,0.5465391002124311,-0.004210408689639887,0.0024668275386579243
ABS_UP_REVERSE_SHORT,5,2024-03,100,-0.0011639409546972419,-0.0010517046314491678,-0.001218398089357402,-0.001173162918849908,0.37,0.5005690146722518,-0.006396291484549565,0.003852979499857524
ABS_UP_REVERSE_SHORT,5,2024-04,133,6.294068297065241e-05,-0.0005506124061634526,-0.000185803813805354,-0.00015229930878426118,0.43609022556390975,1.0500645994464812,-0.0030869841199226084,0.004036681002353393
ABS_UP_REVERSE_SHORT,5,2024-05,129,-0.0006975718336951162,-0.0008546849711220211,-0.0006707052028078142,-0.0006335811038576968,0.34108527131782945,0.5053420350116307,-0.0035448137453124354,0.0023639212043557135
ABS_UP_REVERSE_SHORT,5,2024-06,123,-0.0006817705747872829,-0.000929933381536307,-0.000992933860052793,-0.0010322045434127656,0.3252032520325203,0.5596263660787804,-0.004127387310655827,0.002026215433540024
ABS_UP_REVERSE_SHORT,5,2024-07,147,-0.0003879925110503068,-0.0007163891842705933,-0.0004312143657778356,-0.0003838659722542105,0.41496598639455784,0.6810235573651764,-0.003273696665174896,0.002597618640156354
ABS_UP_REVERSE_SHORT,5,2024-08,132,-0.00010773128709631248,-0.0006011285266729443,-0.0002493890215160307,-0.0002542778136148968,0.44696969696969696,0.9287846409590897,-0.004203403760185975,0.004155569964885598
ABS_UP_REVERSE_SHORT,5,2024-09,138,-0.0009076086524767025,-0.0010363186651378246,-0.0008677739141144695,-0.0008728184783332475,0.32608695652173914,0.3448496050369403,-0.0033106868614921174,0.0019299637163034738
ABS_UP_REVERSE_SHORT,5,2024-10,134,-0.00056066731517386,-0.0007321358485943946,-0.0006884073911869987,-0.0006314050095676015,0.34328358208955223,0.5682688943673803,-0.003594518212219832,0.002246430045792859
ABS_UP_REVERSE_SHORT,5,2024-11,123,-0.0007787959998451974,-0.0007603206412825741,-0.0007505066920777213,-0.0007777789125262013,0.3902439024390244,0.530157246747517,-0.004756093960842444,0.0029209441528673225
ABS_UP_REVERSE_SHORT,5,2024-12,131,-0.0004242399259290547,-0.00013819155814171976,-0.0003778609641344255,-0.0004269023123575459,0.4732824427480916,0.748173046741124,-0.004769794012175876,0.0041618189169630344
ABS_UP_REVERSE_SHORT,5,2025-01,136,-0.0007175360929181205,-0.0006533983028213613,-0.0007177710932487818,-0.0006758006792686724,0.4117647058823529,0.5677864998085195,-0.004486013600965854,0.0027251529675479842
ABS_UP_REVERSE_SHORT,5,2025-02,112,-0.0006024928404771032,-0.0009641415604164199,-0.0008046474115167227,-0.0007105938776485814,0.36607142857142855,0.672507347491559,-0.004985838463360202,0.003393387529697369
ABS_UP_REVERSE_SHORT,5,2025-03,127,-0.00041090062930808444,-0.00047152064829720727,-0.0005934600582750511,-0.0005477044155123325,0.41732283464566927,0.7299530383890531,-0.004498145359205162,0.0033488930076399424
ABS_UP_REVERSE_SHORT,5,2025-04,134,-0.0005607044223256349,-0.0004940376202474222,-0.00043248394509831965,-0.00043209661731013994,0.373134328358209,0.6341363983472945,-0.0037602887037995404,0.0032435035220968037
ABS_UP_REVERSE_SHORT,5,2025-05,139,-0.0006240395925828428,-0.0007190294002617608,-0.0005818262478465588,-0.0005923414675718208,0.33093525179856115,0.4670905315418658,-0.002819440408392703,0.0019867687637692873
ABS_UP_REVERSE_SHORT,5,2025-06,115,-0.0001183311566182684,-0.0003229221973017443,-0.00020014056931747128,-0.0001909036251559767,0.3826086956521739,0.8723900650667404,-0.0023103551495508904,0.002978990259841146
ABS_UP_REVERSE_SHORT,5,2025-07,141,-0.0006580797577644647,-0.0006570743679013663,-0.0007008348871773742,-0.0006850683503392436,0.3475177304964539,0.4903628897384186,-0.0032721531532660768,0.0018666666666667282
ABS_UP_REVERSE_SHORT,5,2025-08,136,-0.0006840203977638078,-0.00033335870814317156,-0.000592807128195051,-0.0006691977483684612,0.4264705882352941,0.4638077420847921,-0.003705271288958766,0.0018793994785395347
ABS_UP_REVERSE_SHORT,5,2025-09,149,-0.0007664348476732696,-0.0007402797732650284,-0.0007187060345818991,-0.0007474646305124925,0.33557046979865773,0.39497691547435276,-0.0032334464531078347,0.0014050625282403767
ABS_UP_REVERSE_SHORT,5,2025-10,136,-0.00042826954907258775,-0.00039571748363837974,-0.0005272398018607265,-0.0005176468140448043,0.4117647058823529,0.7017700664592749,-0.0041626569732035705,0.00312430413167546
ABS_UP_REVERSE_SHORT,5,2025-11,129,-0.0006492724699295102,-0.0006358295587887802,-0.0005648291903706395,-0.0005697284873464331,0.4108527131782946,0.58482043205248,-0.004695591412575183,0.0034039436402978148
ABS_UP_REVERSE_SHORT,5,2025-12,88,-0.0005619286781429935,-0.0008274570436929801,-0.0006470557716390955,-0.0006026815291261165,0.375,0.5733254244854454,-0.003740523687041341,0.002792094858545801
ABS_UP_REVERSE_SHORT,5,2026-01,131,-0.0007605915226628667,-0.0008152875820173871,-0.0007532688029332424,-0.0007836475123209355,0.3282442748091603,0.45435577226084367,-0.003328877328254997,0.0019361042620639653
ABS_UP_REVERSE_SHORT,5,2026-02,113,-0.00032989307819678406,-0.0009207636741553443,-0.00046612300585723157,-0.00035128087183242194,0.415929203539823,0.84449608877225,-0.0055708158680171085,0.005427629227620812
ABS_UP_REVERSE_SHORT,5,2026-03,85,-0.0006348468188062347,-0.0007827388508377492,-0.0006371137415694126,-0.0006457754064449465,0.3764705882352941,0.545161028570197,-0.0038601734622932364,0.002746485563896608
