symbol,period,experiment,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BTCUSDT,2026-02,BASE_SHORT,81,0.4691358024691358,-1.2977629275833523e-05,-0.0005858185776754787,0.9962568334782015,0.03601026290939813,-0.06349107574840662,0.9962568334782015
BTCUSDT,2026-02,ADX_RISING,80,0.475,6.808488681755293e-05,-0.0005781705490553457,1.0198548459898669,0.03601026290939813,-0.06349107574840662,1.0198548459898669
BTCUSDT,2026-02,ADX_FALLING,13,0.5384615384615384,0.001219142629787549,0.001799098255064857,1.6975666895640995,0.016792005280961586,-0.0064979789167467494,1.6975666895640995
BTCUSDT,2026-02,BEAR_SPREAD_WIDENING,76,0.47368421052631576,1.0208851300998847e-05,-0.0006799652177000293,1.0028705186352525,0.03601026290939813,-0.06349107574840662,1.0028705186352525
BTCUSDT,2026-02,BEAR_SPREAD_NARROWING,30,0.5,-0.0005376378038509692,-5.382630844996683e-05,0.8309735112236022,0.015392101955578719,-0.04283348189267189,0.8309735112236022
BTCUSDT,2026-02,BEAR_ACCELERATION,65,0.5076923076923077,0.00041693193234893297,0.00041780903382426793,1.1158248224711649,0.03601026290939813,-0.06349107574840662,1.1158248224711649
BTCUSDT,2026-02,BEAR_DECELERATION,63,0.47619047619047616,-0.0010254601572972793,-0.000348321534867746,0.7188069862734766,0.024029679825100958,-0.06345502505111678,0.7188069862734766
BTCUSDT,2026-02,ATR_EXPANDING,69,0.43478260869565216,-0.0006476121048601313,-0.0008712523710692199,0.8253144663336692,0.03601026290939813,-0.06349107574840662,0.8253144663336692
BTCUSDT,2026-02,ATR_CONTRACTING,25,0.52,0.0014419354722156675,0.00034965769562056437,1.661046200667376,0.023412828850827072,-0.011784871593201629,1.661046200667376
BTCUSDT,2026-02,VOLUME_ACCELERATING,74,0.4594594594594595,6.764391301294014e-05,-0.0008740806732666084,1.0182668536380217,0.03601026290939813,-0.06349107574840662,1.0182668536380217
BTCUSDT,2026-02,VOLUME_DECELERATING,50,0.5,-0.000752727522119554,8.970217932757762e-05,0.8045334016744643,0.024029679825100958,-0.06345502505111678,0.8045334016744643
BTCUSDT,2026-02,BEAR_CANDLE_PRESSURE,58,0.5344827586206896,0.0008403076590999757,0.0005746329787916782,1.23289189889376,0.03601026290939813,-0.06349107574840662,1.23289189889376
BTCUSDT,2026-02,BULL_CANDLE_PRESSURE,49,0.46938775510204084,-0.00117317382838632,-0.00035161956272411476,0.6617334658661818,0.012923884832161114,-0.051475310417751996,0.6617334658661818
BTCUSDT,2026-02,BEAR_DI_DOMINANCE,81,0.4691358024691358,-1.2977629275833523e-05,-0.0005858185776754787,0.9962568334782015,0.03601026290939813,-0.06349107574840662,0.9962568334782015
BTCUSDT,2026-02,DYNAMIC_BEAR_CONFIRMATION,65,0.4307692307692308,-0.0007563423836486697,-0.0009740494888086371,0.8115844424401265,0.03601026290939813,-0.06349107574840662,0.8115844424401265
BTCUSDT,2026-03,BASE_SHORT,93,0.3655913978494624,-0.0006715363506299415,-0.001212765957446793,0.7163226411335561,0.012295970302001136,-0.016917540087856064,0.7163226411335561
BTCUSDT,2026-03,ADX_RISING,88,0.375,-0.0003401996459420782,-0.0011505831879333739,0.8398852851143281,0.012295970302001136,-0.009389515693904782,0.8398852851143281
BTCUSDT,2026-03,ADX_FALLING,17,0.35294117647058826,-0.002300289757570795,-0.0007404013769762852,0.24636920434406998,0.007897669663730955,-0.016917540087856064,0.24636920434406998
BTCUSDT,2026-03,BEAR_SPREAD_WIDENING,84,0.38095238095238093,-0.000204972551017371,-0.0007734464886993142,0.8996028593119589,0.012295970302001136,-0.009389515693904782,0.8996028593119589
BTCUSDT,2026-03,BEAR_SPREAD_NARROWING,34,0.4411764705882353,-0.0010915672221981643,-0.0006623199726562001,0.5588588955319471,0.015745974837233945,-0.016917540087856064,0.5588588955319471
BTCUSDT,2026-03,BEAR_ACCELERATION,68,0.4411764705882353,-5.984545525580972e-05,-0.00031822985932150605,0.9700284056786674,0.012295970302001136,-0.021725831761990166,0.9700284056786674
BTCUSDT,2026-03,BEAR_DECELERATION,77,0.3246753246753247,-0.001021431571675974,-0.001059125386918991,0.5914970088005281,0.015745974837233945,-0.016917540087856064,0.5914970088005281
BTCUSDT,2026-03,ATR_EXPANDING,82,0.36585365853658536,-0.0008056923185753979,-0.001039417397319664,0.6509847287818813,0.012295970302001136,-0.016917540087856064,0.6509847287818813
BTCUSDT,2026-03,ATR_CONTRACTING,23,0.391304347826087,0.000579512580160395,-0.001300283286118975,1.3243567473271385,0.010217555605104733,-0.009179147594727266,1.3243567473271385
BTCUSDT,2026-03,VOLUME_ACCELERATING,84,0.38095238095238093,-0.0008777884028701827,-0.000884612279313024,0.6420843648285719,0.012295970302001136,-0.021725831761990166,0.6420843648285719
BTCUSDT,2026-03,VOLUME_DECELERATING,58,0.3793103448275862,-0.0006488664002296012,-0.0010079594519561974,0.7158250215280753,0.010856030691914098,-0.015061952507875787,0.7158250215280753
BTCUSDT,2026-03,BEAR_CANDLE_PRESSURE,61,0.4262295081967213,-0.00022241402378848167,-0.0005250200219498735,0.9053952093054176,0.012295970302001136,-0.021725831761990166,0.9053952093054176
BTCUSDT,2026-03,BULL_CANDLE_PRESSURE,62,0.3225806451612903,-0.001275139122737428,-0.0010641371740701677,0.5161432541793762,0.015745974837233945,-0.027304414317783743,0.5161432541793762
BTCUSDT,2026-03,BEAR_DI_DOMINANCE,93,0.3655913978494624,-0.0006715363506299415,-0.001212765957446793,0.7163226411335561,0.012295970302001136,-0.016917540087856064,0.7163226411335561
BTCUSDT,2026-03,DYNAMIC_BEAR_CONFIRMATION,72,0.3611111111111111,-0.00050053271064031,-0.001039417397319664,0.7605743471507994,0.012295970302001136,-0.009389515693904782,0.7605743471507994
BTCUSDT,2026-04,BASE_SHORT,69,0.43478260869565216,-0.00010089733697306857,-0.0004126960306144456,0.9282269009374569,0.01019403957771714,-0.01034762535264333,0.9282269009374569
BTCUSDT,2026-04,ADX_RISING,68,0.39705882352941174,-0.0003236381622266507,-0.0005185756051114265,0.7834543208023327,0.01019403957771714,-0.01034762535264333,0.7834543208023327
BTCUSDT,2026-04,ADX_FALLING,9,0.5555555555555556,-0.0003125287783589546,0.0005149514821147783,0.8405218387032181,0.004740937394028366,-0.009145195012258744,0.8405218387032181
BTCUSDT,2026-04,BEAR_SPREAD_WIDENING,66,0.42424242424242425,-0.0001778957660087046,-0.00045709917355896135,0.8770414916179682,0.01019403957771714,-0.01034762535264333,0.8770414916179682
BTCUSDT,2026-04,BEAR_SPREAD_NARROWING,18,0.5,0.00011504500137404166,0.00025747574105738913,1.111860438778169,0.004740937394028366,-0.0048689609145647905,1.111860438778169
BTCUSDT,2026-04,BEAR_ACCELERATION,60,0.4,-0.00026625787803049585,-0.0005461811246549875,0.8184950334286845,0.01019403957771714,-0.01034762535264333,0.8184950334286845
BTCUSDT,2026-04,BEAR_DECELERATION,50,0.46,-0.00017032761633569926,-0.00025786643875186366,0.8784476959540127,0.009045241156594885,-0.010790882569807314,0.8784476959540127
BTCUSDT,2026-04,ATR_EXPANDING,59,0.423728813559322,-0.00026335799231618103,-0.0004225826057694393,0.8338018492864108,0.01019403957771714,-0.01034762535264333,0.8338018492864108
BTCUSDT,2026-04,ATR_CONTRACTING,18,0.3888888888888889,-0.00014732102779177778,-0.00027980469763710936,0.8423996908330721,0.00552259148281653,-0.0039131006664329115,0.8423996908330721
