hold_funding_periods,entry_percentile,symbol,observation_time,entry_time,exit_time,trailing_funding,historical_threshold,entry_basis,spot_return,perp_short_return,realized_funding,gross_return
21,0.75,BNBUSDT,2025-08-13 00:00:00+00:00,2025-08-13 00:05:00+00:00,2025-08-20 00:05:00+00:00,2.13947619047619e-05,1.9847380952380943e-05,0.0005162746581182098,-0.006651538618545061,0.0069841117457879465,0.0006428,0.0004876865636214428
21,0.75,BNBUSDT,2025-08-24 00:00:00.001000+00:00,2025-08-24 00:05:00+00:00,2025-08-31 00:05:00+00:00,4.537999999999999e-05,4.104714285714285e-05,0.0007034183864489396,-0.021874042726994225,0.02187000442161824,0.0005883,0.0002921308473120069
21,0.75,BNBUSDT,2025-09-13 16:00:00+00:00,2025-09-13 16:05:00+00:00,2025-09-20 16:05:00+00:00,5.1181428571428566e-05,4.758583333333332e-05,0.0006403210142684745,0.08937814157497637,-0.08945959493616895,0.0008379399999999999,0.0003782433194037075
21,0.75,BNBUSDT,2025-11-20 08:00:00+00:00,2025-11-20 08:05:00+00:00,2025-11-27 08:05:00+00:00,2.448333333333333e-05,2.1320952380952373e-05,0.0007608419984783676,-0.016264376054427765,0.016659688402124284,0.00063335,0.0005143311738482596
21,0.75,BNBUSDT,2025-12-08 08:00:00+00:00,2025-12-08 08:05:00+00:00,2025-12-15 08:05:00+00:00,1.1267619047619043e-05,1.0066547619047614e-05,0.0005753039707037111,-0.016739132839899584,0.016685279580711865,0.00019624,7.119337040614028e-05
21,0.75,BNBUSDT,2025-12-22 16:00:00.009000+00:00,2025-12-22 16:05:00+00:00,2025-12-29 16:05:00+00:00,1.361428571428571e-05,1.165273809523809e-05,0.0006566517671997563,-0.01611676881249713,0.01635947087876033,0.00035771,0.00030020603313160035
21,0.75,BNBUSDT,2025-12-30 16:00:00.003000+00:00,2025-12-30 16:05:00+00:00,2026-01-06 16:05:00+00:00,1.7110952380952375e-05,1.451333333333333e-05,0.0005573877096010094,0.06747874959357159,-0.06780093774662266,0.0009693200000000001,0.0003235659234744636
21,0.75,BNBUSDT,2026-01-06 16:00:00+00:00,2026-01-06 16:05:00+00:00,2026-01-13 16:05:00+00:00,4.615809523809523e-05,2.1430357142857138e-05,0.0008593775495773226,-0.0009137685337279322,0.0010325413559983954,0.0008361200000000001,0.0004774464111352316
21,0.75,BNBUSDT,2026-01-13 16:00:00.002000+00:00,2026-01-13 16:05:00+00:00,2026-01-20 16:05:00+00:00,3.981523809523809e-05,3.309821428571428e-05,0.000740393933124972,-0.014317912089108598,0.014524920847341471,0.0005324,0.00036970437911643697
21,0.75,BNBUSDT,2026-04-01 08:00:00+00:00,2026-04-01 08:05:00+00:00,2026-04-08 08:05:00+00:00,9.899999999999948e-07,0.0,0.0006648720526709617,-0.005594655077352129,0.005428881650380024,0.00023679000000000001,3.550828651394775e-05
21,0.75,BNBUSDT,2026-04-08 08:00:00+00:00,2026-04-08 08:05:00+00:00,2026-04-15 08:05:00+00:00,1.1275714285714282e-05,0.0,0.0008316889809363293,-0.0036529084652892063,0.0037150492081078346,0.00059579,0.00032896537140931413
21,0.75,BNBUSDT,2026-04-15 16:00:00+00:00,2026-04-15 16:05:00+00:00,2026-04-22 16:05:00+00:00,2.851333333333333e-05,0.0,0.0006619309008717433,0.05041976105908952,-0.050402542714703014,0.00048239,0.00024980417219325245
21,0.75,BNBUSDT,2026-04-22 16:00:00+00:00,2026-04-22 16:05:00+00:00,2026-04-29 16:05:00+00:00,2.2970952380952376e-05,6.135714285714281e-06,0.0006455281803789958,-0.05216482486205665,0.05242300898548502,0.00029728,0.00027773206171418665
21,0.75,BNBUSDT,2026-05-04 08:00:00+00:00,2026-05-04 08:05:00+00:00,2026-05-11 08:05:00+00:00,1.9288571428571425e-05,1.8700476190476184e-05,0.0006048740111106454,0.034971268484472295,-0.03488649560140611,0.00106441,0.0005745914415330932
21,0.75,BNBUSDT,2026-05-11 08:00:00+00:00,2026-05-11 08:05:00+00:00,2026-05-18 08:05:00+00:00,5.068619047619048e-05,2.3416666666666662e-05,0.0005229160258379828,-0.01405721316518005,0.014111353644664315,0.00061898,0.00033656023974213296
21,0.75,BNBUSDT,2026-05-25 08:00:00.001000+00:00,2026-05-25 08:05:00+00:00,2026-06-01 08:05:00+00:00,3.0603333333333325e-05,3.003023809523809e-05,0.0006192324538218941,0.03846792828986123,-0.03853468574533592,0.0007973199999999999,0.00036528127226265677
21,0.75,BNBUSDT,2026-06-01 08:00:00.001000+00:00,2026-06-01 08:05:00+00:00,2026-06-08 08:05:00+00:00,3.7967619047619045e-05,3.489285714285714e-05,0.0006835568224787814,-0.13521335699118653,0.13548433980088648,0.00045889,0.00036493640484997446
21,0.75,BNBUSDT,2026-07-04 00:00:00+00:00,2026-07-04 00:05:00+00:00,2026-07-11 00:05:00+00:00,4.254238095238095e-05,3.68095238095238e-05,0.000748724556424385,0.001845693092580758,-0.0016529213209452998,0.0012040100000000001,0.0006983908858177292
21,0.75,BNBUSDT,2026-07-11 00:00:00+00:00,2026-07-11 00:05:00+00:00,2026-07-18 00:05:00+00:00,5.733380952380952e-05,3.7562142857142854e-05,0.0005561638597773033,-0.012809148895493339,0.012802028869704163,0.0013417000000000001,0.0006672899871054122
21,0.75,BNBUSDT,2026-07-18 08:00:00+00:00,2026-07-18 08:05:00+00:00,2026-07-25 08:05:00+00:00,6.240142857142858e-05,4.1558809523809515e-05,0.0005634596422032789,-0.0059339343569516645,0.00605378009291857,0.00111552,0.000617682867983453
21,0.75,BTCUSDT,2024-03-07 16:00:00+00:00,2024-03-07 16:05:00+00:00,2024-03-14 16:05:00+00:00,0.0005122042857142857,0.0001312290476190476,0.0010552273253090494,0.056361850606777786,-0.0561902925295199,0.00929459,0.0047330740386289415
21,0.75,BTCUSDT,2024-03-14 16:00:00+00:00,2024-03-14 16:05:00+00:00,2024-03-21 16:05:00+00:00,0.0004425995238095238,0.0001981611904761905,0.0008926513008811199,-0.0665699979194897,0.06676694770638703,0.00429284,0.0022448948934486635
21,0.75,BTCUSDT,2024-06-02 08:00:00+00:00,2024-06-02 08:05:00+00:00,2024-06-09 08:05:00+00:00,0.00010460714285714286,0.00010460714285714286,0.000558164259767846,0.023056761465993336,-0.022950185803381817,0.0022812999999999996,0.0011939378313057592
21,0.75,BTCUSDT,2024-06-09 08:00:00+00:00,2024-06-09 08:05:00+00:00,2024-06-16 08:05:00+00:00,0.00010863333333333335,0.00010460714285714286,0.0004539323604699774,-0.04358125930507206,0.04423435653806018,0.0021,0.00137654861649406
21,0.75,BTCUSDT,2024-10-21 08:00:00+00:00,2024-10-21 08:05:00+00:00,2024-10-28 08:05:00+00:00,9.848809523809522e-05,4.8059523809523813e-05,1.7196022414234235e-05,-0.0019256630523930562,0.0022325299431520396,0.0020147299999999997,0.0011607984453794915
21,0.75,BTCUSDT,2024-10-30 08:00:00+00:00,2024-10-30 08:05:00+00:00,2024-11-06 08:05:00+00:00,9.543761904761905e-05,6.013404761904761e-05,0.0003038979124232455,0.008172199230936483,-0.008912367707041957,0.0021,0.000679915761947263
21,0.75,BTCUSDT,2024-11-06 08:00:00+00:00,2024-11-06 08:05:00+00:00,2024-11-13 08:05:00+00:00,0.0001,9.543761904761905e-05,0.0010382897279532788,0.19638528160197488,-0.1958470388540381,0.0036131899999999996,0.002075716373968395
21,0.75,BTCUSDT,2024-11-13 08:00:00.010000+00:00,2024-11-13 08:05:00+00:00,2024-11-20 08:05:00+00:00,0.00017205666666666666,9.848809523809525e-05,0.0005879317971604348,0.06399343588878303,-0.06359084103091672,0.0030995499999999995,0.0017510724289331557
21,0.75,BTCUSDT,2024-11-20 08:00:00+00:00,2024-11-20 08:05:00+00:00,2024-11-27 08:05:00+00:00,0.00014759761904761904,0.0001,0.00020932837481146827,0.006744510678494242,-0.00710684284053964,0.0032308099999999993,0.0014342389189773007
21,0.75,BTCUSDT,2024-11-27 08:00:00+00:00,2024-11-27 08:05:00+00:00,2024-12-04 08:05:00+00:00,0.00015384809523809524,0.00013552964285714285,0.0005693084935047832,0.03436707770311842,-0.034592550366364216,0.0035014,0.001637963668377102
21,0.75,BTCUSDT,2024-12-04 08:00:00+00:00,2024-12-04 08:05:00+00:00,2024-12-11 08:05:00+00:00,0.0001667333333333333,0.00014945880952380952,0.0007874138756374105,0.009772063805457254,-0.00893374945598402,0.00427131,0.0025548121747366176
21,0.75,BTCUSDT,2024-12-11 16:00:00.001000+00:00,2024-12-11 16:05:00+00:00,2024-12-18 16:05:00+00:00,0.0001970938095238095,0.00017072809523809522,2.4773134301936395e-05,0.037946969773094974,-0.03748709142751405,0.0020115000000000003,0.001235689172790461
21,0.75,BTCUSDT,2025-07-15 16:00:00+00:00,2025-07-15 16:05:00+00:00,2025-07-22 16:05:00+00:00,8.534476190476188e-05,5.517773809523809e-05,0.00022377444495846888,0.020114245810271214,-0.019929549526545687,0.0021,0.0011423481418627636
21,0.75,BTCUSDT,2025-07-22 16:00:00.007000+00:00,2025-07-22 16:05:00+00:00,2025-07-29 16:05:00+00:00,0.0001,6.244130952380952e-05,4.267942075619757e-05,-0.013679846542278051,0.014133174272464522,0.0021,0.001276663865093235
21,0.75,ETHUSDT,2024-03-07 16:00:00+00:00,2024-03-07 16:05:00+00:00,2024-03-14 16:05:00+00:00,0.00046832190476190483,0.0001251361904761905,0.0009479216037582283,0.00719795415601121,-0.007055848392921282,0.00961625,0.004879177881544964
21,0.75,ETHUSDT,2024-03-14 16:00:00+00:00,2024-03-14 16:05:00+00:00,2024-03-21 16:05:00+00:00,0.00045791666666666664,0.00021611059523809524,0.0008066976590255237,-0.09626592064370332,0.09629424864496183,0.004532050000000001,0.002280189000629258
21,0.75,ETHUSDT,2024-05-30 08:00:00+00:00,2024-05-30 08:05:00+00:00,2024-06-06 08:05:00+00:00,0.00011758761904761904,0.00011741261904761904,0.0005673903807161818,0.03479097983747348,-0.034806188841916885,0.0027874700000000002,0.001386130497778297
21,0.75,ETHUSDT,2024-06-06 08:00:00.008000+00:00,2024-06-06 08:05:00+00:00,2024-06-13 08:05:00+00:00,0.00013273666666666667,0.00011736261904761904,0.0005820963785290179,-0.08854881293917094,0.08914917930604616,0.0023135099999999995,0.0014569381834376076
21,0.75,ETHUSDT,2024-10-21 08:00:00+00:00,2024-10-21 08:05:00+00:00,2024-10-28 08:05:00+00:00,0.0001,6.982642857142857e-05,0.000348255788377827,-0.07831722803055863,0.07893492815602299,0.0021,0.00135885006273218
21,0.75,ETHUSDT,2024-10-30 00:00:00+00:00,2024-10-30 00:05:00+00:00,2024-11-06 00:05:00+00:00,0.0001,7.915690476190476e-05,0.00020841227737777857,-0.0807881773399014,0.08127900589115566,0.00209511,0.0012929692756271315
21,0.75,ETHUSDT,2024-11-07 08:00:00+00:00,2024-11-07 08:05:00+00:00,2024-11-14 08:05:00+00:00,0.00010209333333333335,0.0001,0.0004891483501876515,0.14202670466427758,-0.14215920725853004,0.0038373699999999997,0.0018524337028737702
21,0.75,ETHUSDT,2024-11-14 08:00:00+00:00,2024-11-14 08:05:00+00:00,2024-11-21 08:05:00+00:00,0.00018273190476190477,0.0001,0.0006052291801161847,-0.026142796841634786,0.026117678442368897,0.0034430799999999994,0.0017089808003670553
