symbol,period,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade
BTCUSDT,2026-02,0.0,81,0.4691358024691358,-1.2977629275833523e-05,-0.0005858185776754787,0.9962568334782015,0.03601026290939813,-0.06349107574840662
BTCUSDT,2026-02,0.0002,81,0.4691358024691358,-0.00021297762927583317,-0.0007858185776754787,0.9403956905660177,0.03581026290939813,-0.06369107574840663
BTCUSDT,2026-02,0.0004,81,0.4567901234567901,-0.0004129776292758328,-0.0009858185776754787,0.8877773955305955,0.03561026290939813,-0.06389107574840662
BTCUSDT,2026-02,0.0006,81,0.4444444444444444,-0.0006129776292758342,-0.0011858185776754786,0.8382721256853802,0.035410262909398124,-0.06409107574840663
BTCUSDT,2026-02,0.0008,81,0.4074074074074074,-0.0008129776292758338,-0.0013858185776754787,0.7917607221364752,0.035210262909398125,-0.06429107574840662
BTCUSDT,2026-02,0.001,81,0.38271604938271603,-0.0010129776292758343,-0.0015858185776754788,0.748300546579761,0.03501026290939813,-0.06449107574840662
BTCUSDT,2026-03,0.0,93,0.3655913978494624,-0.0006715363506299415,-0.001212765957446793,0.7163226411335561,0.012295970302001136,-0.016917540087856064
BTCUSDT,2026-03,0.0002,93,0.3333333333333333,-0.0008715363506299419,-0.0014127659574467931,0.6510586474578812,0.012095970302001135,-0.017117540087856063
BTCUSDT,2026-03,0.0004,93,0.3225806451612903,-0.0010715363506299414,-0.001612765957446793,0.5927874609220525,0.011895970302001136,-0.017317540087856065
BTCUSDT,2026-03,0.0006,93,0.3225806451612903,-0.0012715363506299415,-0.0018127659574467929,0.5404435152084841,0.011695970302001136,-0.017517540087856064
BTCUSDT,2026-03,0.0008,93,0.3225806451612903,-0.0014715363506299414,-0.002012765957446793,0.49298646003870694,0.011495970302001135,-0.017717540087856063
BTCUSDT,2026-03,0.001,93,0.3118279569892473,-0.0016715363506299421,-0.002212765957446793,0.4500179480934013,0.011295970302001135,-0.017917540087856065
BTCUSDT,2026-04,0.0,69,0.43478260869565216,-0.00010089733697306857,-0.0004126960306144456,0.9282269009374569,0.01019403957771714,-0.01034762535264333
BTCUSDT,2026-04,0.0002,69,0.391304347826087,-0.00030089733697306854,-0.0006126960306144456,0.8024310456643329,0.00999403957771714,-0.010547625352643331
BTCUSDT,2026-04,0.0004,69,0.37681159420289856,-0.0005008973369730685,-0.0008126960306144456,0.6958541292943813,0.00979403957771714,-0.01074762535264333
BTCUSDT,2026-04,0.0006,69,0.34782608695652173,-0.0007008973369730686,-0.0010126960306144454,0.6050359614679991,0.00959403957771714,-0.01094762535264333
BTCUSDT,2026-04,0.0008,69,0.34782608695652173,-0.0009008973369730688,-0.0012126960306144455,0.5270929724610242,0.00939403957771714,-0.01114762535264333
BTCUSDT,2026-04,0.001,69,0.30434782608695654,-0.0011008973369730688,-0.0014126960306144456,0.4607284334265752,0.009194039577717139,-0.011347625352643331
BTCUSDT,2026-05,0.0,97,0.4020618556701031,-0.00037579522613563377,-0.0008512871801633626,0.7785240054450342,0.014998593644285796,-0.011528011737216848
BTCUSDT,2026-05,0.0002,97,0.38144329896907214,-0.0005757952261356336,-0.0010512871801633627,0.6830985156632507,0.014798593644285795,-0.011728011737216848
BTCUSDT,2026-05,0.0004,97,0.35051546391752575,-0.0007757952261356338,-0.0012512871801633625,0.600842231591489,0.014598593644285797,-0.011928011737216847
BTCUSDT,2026-05,0.0006,97,0.35051546391752575,-0.0009757952261356337,-0.0014512871801633624,0.5293919013097187,0.014398593644285796,-0.012128011737216848
BTCUSDT,2026-05,0.0008,97,0.31958762886597936,-0.001175795226135634,-0.0016512871801633625,0.4667599323704336,0.014198593644285796,-0.012328011737216848
BTCUSDT,2026-05,0.001,97,0.29896907216494845,-0.001375795226135634,-0.0018512871801633626,0.41285360277526484,0.013998593644285795,-0.012528011737216849
BTCUSDT,2026-06,0.0,109,0.46788990825688076,0.0001755210086240669,-0.00016562830460309375,1.0876809348519352,0.015414148685598095,-0.019989606674453264
BTCUSDT,2026-06,0.0002,109,0.44954128440366975,-2.4478991375932933e-05,-0.00036562830460309373,0.9883931705965397,0.015214148685598094,-0.020189606674453263
BTCUSDT,2026-06,0.0004,109,0.42201834862385323,-0.00022447899137593324,-0.0005656283046030937,0.8989634737182672,0.015014148685598095,-0.020389606674453265
