hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
ABS_UP_REVERSE_SHORT,5,3935,-0.0005922021933841232,-0.0006361134415744917,-0.0006349045917994293,0.37789072426937736,0.5836313794882738,0,3,0.5185667189424698,0.5900961629627337,0,4,0.48182528561412646,0.5415229515468435,1,31,0.5465391002124311,False
ABS_UP_REVERSE_SHORT,15,3935,-0.000523291184466516,-0.000630548281847946,-0.0006247228545027251,0.42363405336721727,0.7454738575747824,0,3,0.6441328569358648,0.736757773219421,0,4,0.6179811271103355,0.745590874327723,5,31,0.7067886055331455,False
ABS_UP_REVERSE_SHORT,30,3935,-0.0005906359383468994,-0.0006627007630533537,-0.0006500818286988792,0.42795425667090214,0.7806572636436528,0,3,0.6973167578671962,0.7707045238497869,0,4,0.6615062081171235,0.7625854253505007,4,31,0.7346083980289783,False
ABS_UP_REVERSE_SHORT,60,3935,-0.000479792096623612,-0.0005222511862523627,-0.0005586035636185687,0.46429479034307497,0.8579149323997176,0,3,0.8368317593158151,0.8727003775581338,0,4,0.7373172353873915,0.8612326080661028,7,31,0.8498105092052386,False
ABS_UP_CONTINUE_LONG,5,3935,-0.0006077978066158766,-0.0005638865584255083,-0.0005650954082005708,0.40101651842439645,0.5709639655484202,0,3,0.5474736958771245,0.5613944266847328,0,4,0.5237289752697738,0.5746380687007886,0,31,0.5854711203275668,False
ABS_UP_CONTINUE_LONG,15,3935,-0.0006767088155334841,-0.000569451718152055,-0.000575277145497275,0.42820838627700125,0.6820513128665344,0,3,0.6474362801072059,0.7068736718629645,0,4,0.6500467316400903,0.6742020750163544,3,31,0.6662217501511957,False
ABS_UP_CONTINUE_LONG,30,3935,-0.000609364061653101,-0.0005372992369466475,-0.0005499181713011212,0.45133418043202034,0.7732316497448939,0,3,0.7540608031939864,0.7779877798770238,0,4,0.7077357127498111,0.7897073485656622,7,31,0.7870850953795236,False
ABS_UP_CONTINUE_LONG,60,3935,-0.0007202079033763887,-0.0006777488137476388,-0.0006413964363814319,0.4526048284625159,0.7944398811590582,0,3,0.7272813578084435,0.787410296062597,0,4,0.729932249291553,0.7957490613051931,9,31,0.7729255161644104,False
ABS_DOWN_REVERSE_LONG,5,3999,-0.0006158156596021485,-0.000582559989634567,-0.000584527689875301,0.3865966491622906,0.5601643368270575,0,3,0.5269372842830604,0.5336868857834266,0,4,0.47640432598806753,0.5266047515575779,1,31,0.5191490992144838,False
ABS_DOWN_REVERSE_LONG,15,3999,-0.0005816531203697403,-0.0005888404844866638,-0.0006026670676687672,0.43010752688172044,0.719070265918972,0,3,0.6631368219057815,0.7188182139311396,0,4,0.5987739159521472,0.6904524271879819,3,31,0.7296519225708372,False
