symbol,samples,mean_return,median_return,win_rate,profit_factor
BNBUSDT,27.0,0.0003557014236740634,-0.0002933411557640708,0.4444444444444444,1.3229290418464297
BTCUSDT,24.0,-0.0016495238311253213,-0.0009405632555443133,0.3333333333333333,0.2852973202377865
ETHUSDT,24.0,-0.0016577599009517756,-0.001781580888651213,0.375,0.36715085442325524
SOLUSDT,28.0,-0.0023074812535811918,-0.0019466571481043804,0.25,0.2627130338138592
