event,symbol,samples
BREAK_HIGH_24H,BNBUSDT,3323
BREAK_HIGH_24H,BTCUSDT,2535
BREAK_HIGH_24H,ETHUSDT,2312
BREAK_HIGH_24H,SOLUSDT,2814
BREAK_HIGH_6H,BNBUSDT,7900
BREAK_HIGH_6H,BTCUSDT,6270
BREAK_HIGH_6H,ETHUSDT,5476
BREAK_HIGH_6H,SOLUSDT,6524
BREAK_LOW_24H,BNBUSDT,2448
BREAK_LOW_24H,BTCUSDT,2303
BREAK_LOW_24H,ETHUSDT,1760
BREAK_LOW_24H,SOLUSDT,2388
BREAK_LOW_6H,BNBUSDT,6364
BREAK_LOW_6H,BTCUSDT,5938
BREAK_LOW_6H,ETHUSDT,4975
BREAK_LOW_6H,SOLUSDT,6118
