breakout_window,trend_ema_span,stop_atr_multiple,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
24,100,1.5,development,0.0006,1202,-3.8015679342060465e-05,-0.011705765515448673,0.31281198003327787,0.9965601159956304,18,-0.02292731243195376,0.03809346662754274,-0.054986487963342004,0.13003577555650864,0.7047898291193039
24,100,1.5,development,0.001,1202,-0.0004380156793420603,-0.012105765515448674,0.31281198003327787,0.9613276175725958,18,-0.02332731243195376,0.03769346662754274,-0.055386487963342,0.12963577555650863,0.7525724570830554
24,100,1.5,development,0.0014,1202,-0.0008380156793420584,-0.012505765515448674,0.31281198003327787,0.9277646958267045,18,-0.023727312431953758,0.037293466627542744,-0.055786487963342,0.12923577555650861,0.7969368980471965
24,100,1.5,validation,0.0006,1308,-0.0007950786363655697,-0.010510240656027858,0.2996941896024465,0.9246983604238402,23,-0.021647814904155547,0.03748734664891239,-0.0475841343699573,0.11048229089306442,0.8464873126364593
24,100,1.5,validation,0.001,1308,-0.0011950786363655694,-0.010910240656027859,0.2996941896024465,0.8897397277427728,23,-0.022047814904155548,0.03708734664891239,-0.0479841343699573,0.11008229089306443,0.8993104001160451
24,100,1.5,validation,0.0014,1308,-0.0015950786363655668,-0.011310240656027858,0.2996941896024465,0.856542556513391,23,-0.022447814904155546,0.03668734664891239,-0.048384134369957296,0.10968229089306443,0.9359393373004629
24,100,1.5,confirmation,0.0006,721,0.0002999872168117965,-0.009256418540901822,0.3065187239944521,1.0339252410224227,20,-0.017833985610521918,0.032376006797043264,-0.05658247904973586,0.09794005366997509,0.6526397229486421
24,100,1.5,confirmation,0.001,721,-0.00010001278318820383,-0.009656418540901823,0.3065187239944521,0.9890336728141704,20,-0.01823398561052192,0.031976006797043266,-0.05698247904973586,0.09754005366997509,0.7217135235958017
24,100,1.5,confirmation,0.0014,721,-0.0005000127831882021,-0.010056418540901823,0.3065187239944521,0.9467923289905572,20,-0.018633985610521916,0.03157600679704327,-0.057382479049735854,0.0971400536699751,0.7770715910094069
24,100,2.0,development,0.0006,891,0.001123968978490573,-0.015423854066550845,0.33221099887766553,1.0779564326808937,18,-0.030374312472917286,0.05288079776566394,-0.07311531728445615,0.13456409257185725,0.5926561001410278
24,100,2.0,development,0.001,891,0.0007239689784905725,-0.015823854066550846,0.33221099887766553,1.0492998040644475,18,-0.030774312472917287,0.052480797765663945,-0.07351531728445615,0.13416409257185724,0.611347498704389
24,100,2.0,development,0.0014,891,0.0003239689784905736,-0.016223854066550844,0.33221099887766553,1.0216670597845383,18,-0.031174312472917284,0.05208079776566395,-0.07391531728445615,0.13376409257185723,0.6618165247782388
24,100,2.0,validation,0.0006,971,-7.424069789310524e-05,-0.01350027783703751,0.31822863027806386,0.9945941938803495,20,-0.028791126029179947,0.05160834170465249,-0.06324551249327655,0.14023699200102607,0.7104227988884431
24,100,2.0,validation,0.001,971,-0.0004742406978931057,-0.013900277837037511,0.31822863027806386,0.9661407065811617,20,-0.029191126029179948,0.051208341704652494,-0.06364551249327655,0.13983699200102606,0.7837213931610498
24,100,2.0,validation,0.0014,971,-0.0008742406978931041,-0.01430027783703751,0.31822863027806386,0.9387740668580862,20,-0.029591126029179946,0.050808341704652496,-0.06404551249327654,0.13943699200102605,0.8500205222540376
24,100,2.0,confirmation,0.0006,536,0.0006086382083516781,-0.012376731319391387,0.30783582089552236,1.0521895799737402,17,-0.023477596993506166,0.044058426098628964,-0.07524330539964759,0.12890712969678803,0.7213561087458669
