hypothesis,horizon_bars,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BUY_CONTINUATION_LONG,1,5,0.0,11880,3.8322217144853466e-05,0.0,1.2457137207308294e-05,1.5455225506767357e-05,0.4941919191919192,1.0832460120255514,-0.001418667065614565,0.0014753154508156288
BUY_CONTINUATION_LONG,1,5,0.0004,11880,-0.0003616777828551465,-0.0004,-0.00038754286279269167,-0.00038454477449323263,0.3271885521885522,0.4805378293142627,-0.001818667065614565,0.0010753154508156288
BUY_CONTINUATION_LONG,1,5,0.0006,11880,-0.0005616777828551464,-0.0006,-0.0005875428627926917,-0.0005845447744932326,0.25942760942760945,0.3297964949484571,-0.002018667065614565,0.0008753154508156287
BUY_CONTINUATION_LONG,3,15,0.0,11880,3.554840177518746e-05,-3.088076631324599e-05,-4.623290455373245e-06,3.5072421484089264e-06,0.4887205387205387,1.04375305239564,-0.002437387461122753,0.002476580716549571
BUY_CONTINUATION_LONG,3,15,0.0004,11880,-0.0003644515982248125,-0.000430880766313246,-0.0004046232904553734,-0.0003964927578515911,0.38964646464646463,0.6484073528827976,-0.002837387461122753,0.0020765807165495707
BUY_CONTINUATION_LONG,3,15,0.0006,11880,-0.0005644515982248125,-0.0006308807663132459,-0.0006046232904553733,-0.0005964927578515908,0.3435185185185185,0.5147989260036929,-0.0030373874611227527,0.0018765807165495709
BUY_CONTINUATION_LONG,6,30,0.0,11880,6.79045515957968e-05,0.0,3.353186742344366e-05,4.477576832101909e-05,0.4981481481481482,1.0589355888553875,-0.003464943881887994,0.0036439703200416246
BUY_CONTINUATION_LONG,6,30,0.0004,11880,-0.0003320954484042033,-0.0004,-0.0003664681325765561,-0.000355224231678981,0.42247474747474745,0.7572543450080667,-0.003864943881887994,0.0032439703200416244
BUY_CONTINUATION_LONG,6,30,0.0006,11880,-0.0005320954484042031,-0.0006,-0.0005664681325765563,-0.0005552242316789808,0.38796296296296295,0.6421836231143748,-0.004064943881887994,0.0030439703200416247
BUY_CONTINUATION_LONG,12,60,0.0,11880,6.80505462061797e-05,2.818188737563343e-05,2.290769080506952e-05,2.335485597597341e-05,0.5038720538720539,1.0414700523172602,-0.005063922093210315,0.005128018963528949
BUY_CONTINUATION_LONG,12,60,0.0004,11880,-0.00033194945379382034,-0.0003718181126243666,-0.00037709230919493044,-0.00037664514402402664,0.4498316498316498,0.8205851996207719,-0.005463922093210315,0.004728018963528949
BUY_CONTINUATION_LONG,12,60,0.0006,11880,-0.0005319494537938202,-0.0005718181126243665,-0.0005770923091949305,-0.0005766451440240264,0.4208754208754209,0.7290480691300679,-0.0056639220932103145,0.004528018963528949
BUY_EXHAUSTION_SHORT,1,5,0.0,11880,-3.8322217144853466e-05,0.0,-1.2457137207308294e-05,-1.5455225506767418e-05,0.4967171717171717,0.9231513330292438,-0.0014753154508156286,0.0014186670656145652
BUY_EXHAUSTION_SHORT,1,5,0.0004,11880,-0.00043832221714485347,-0.0004,-0.00041245713720730826,-0.00041545522550676746,0.32112794612794615,0.4042896017612505,-0.0018753154508156285,0.0010186670656145652
BUY_EXHAUSTION_SHORT,1,5,0.0006,11880,-0.0006383222171448533,-0.0006,-0.0006124571372073082,-0.0006154552255067672,0.25681818181818183,0.273135129785391,-0.002075315450815628,0.0008186670656145652
BUY_EXHAUSTION_SHORT,3,15,0.0,11880,-3.554840177518746e-05,3.088076631324599e-05,4.623290455373162e-06,-3.5072421484090327e-06,0.5073232323232323,0.9580810304743854,-0.00247658071654957,0.0024373874611227538
BUY_EXHAUSTION_SHORT,3,15,0.0004,11880,-0.0004355484017751875,-0.00036911923368675403,-0.00039537670954462696,-0.0004035072421484091,0.3973905723905724,0.5919365614369275,-0.0028765807165495702,0.0020373874611227536
