pressure_bucket,regime_group,samples,mean_return,median_return,win_rate,profit_factor
0.75-1.00,FEB_JUN,216,0.001170583520744066,0.00016500686638443174,0.5092592592592593,1.5671368930498417
0.75-1.00,JULY,53,-0.0008274330645291986,-0.00012901561088896063,0.4528301886792453,0.5928645490183895
0.50-0.75,FEB_JUN,147,0.0011737094725826089,0.00025094983162077256,0.5102040816326531,1.8578102737356113
0.50-0.75,JULY,33,-0.001787035517934129,-0.002037827166783357,0.24242424242424243,0.3157946252616898
0.25-0.50,FEB_JUN,59,0.0004395549571330378,-0.0011875074219213078,0.3728813559322034,1.213415771761588
0.25-0.50,JULY,13,-0.0013186891138174607,-0.001296137325826674,0.3076923076923077,0.37242390158441857
0.00-0.25,FEB_JUN,11,0.0034952022328452333,0.001482626456996039,0.6363636363636364,3.5361004471236
0.00-0.25,JULY,4,-0.0036028158098558027,-0.0032256921561061858,0.0,0.0
