minutes,year,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
60,2024,3073,0.0013414991264446906,0.0015741487093627001,0.0015141046452999888,0.001429536948398907,0.5977871786527823,1.4027113988395397,-0.010499003329723498,0.013122667235190528
60,2025,3794,-0.00010180463390167883,0.00012130882486330004,-0.0001456659699163277,-0.00020617100462154317,0.5084343700579863,0.9719938317252665,-0.011500361336019378,0.010306664542173202
60,2026,2032,-0.00013670666880345514,0.0003754019093075001,-0.00016878570439673906,-0.0003214699956764515,0.5260826771653543,0.9619573037828687,-0.01156162402862931,0.00929767201554598
120,2024,3073,0.0016352495683983597,0.0018589598952298003,0.0017311525584893792,0.0017143431999167157,0.5893263911487147,1.4022488329139768,-0.012835689000363698,0.01570473900685232
120,2025,3794,-0.0004962925883340429,0.00029006564336530005,-0.0002552136596663676,-0.0004333649572430755,0.5160780179230364,0.9038162645232365,-0.01646217609587513,0.013833930010710952
120,2026,2032,0.0001208570675529285,0.0002629798544268001,-0.00015242245183018051,-0.00020921286528113362,0.515748031496063,1.0276461996981503,-0.014184989766853057,0.012716121339081652
