period,atr_bucket,samples,mean_return,median_return,win_rate,profit_factor,best_trade,worst_trade
2026-02,<0.70,0.0,,,,,,
2026-02,0.70-0.80,0.0,,,,,,
2026-02,0.80-0.90,15.0,0.0030612520061639465,-0.0003524436090225347,0.4666666666666667,3.367781440720505,0.017091709558553214,-0.004630225080385797
2026-02,0.90-1.00,77.0,0.0013345035241000107,-0.0005418325079249442,0.4935064935064935,1.4563090271106423,0.03550597429072999,-0.017097542060222404
2026-02,1.00-1.10,105.0,0.0008848915233357471,-0.00017351099498341682,0.49523809523809526,1.3237092226253635,0.03427624872578994,-0.030448368240466817
2026-02,1.10-1.20,69.0,-0.0020741258186553666,-0.0016337175317375774,0.43478260869565216,0.5926095829852434,0.042772473011966516,-0.06349107574840662
2026-02,1.20-1.40,58.0,3.436859197323589e-05,0.0005749261074629031,0.5344827586206896,1.0074761975781528,0.04429892141756553,-0.07645478298583575
2026-02,>1.40,33.0,-0.002449722805592898,-0.002585693629327146,0.36363636363636365,0.5992370237267807,0.03601026290939813,-0.08051779935275083
2026-03,<0.70,0.0,,,,,,
2026-03,0.70-0.80,0.0,,,,,,
2026-03,0.80-0.90,13.0,0.00028100919018964483,0.0004892966360856565,0.5384615384615384,1.1661679829165659,0.00933181596488386,-0.009179147594727266
2026-03,0.90-1.00,73.0,0.0016895615277500013,-0.0006519355571579233,0.4520547945205479,1.8902083015871045,0.043706310703209406,-0.015746180963572165
2026-03,1.00-1.10,103.0,-0.0006534179798839294,-0.001212765957446793,0.3883495145631068,0.7105028969659601,0.01810515873015861,-0.01027847496115697
2026-03,1.10-1.20,70.0,-0.0011420943233618863,-0.0016797908332962797,0.35714285714285715,0.5396375415038549,0.014258008906766317,-0.016917540087856064
2026-03,1.20-1.40,67.0,0.0002810127395917685,-0.0005250200219498735,0.40298507462686567,1.1487864528097005,0.01776231863586819,-0.010259848634673219
2026-03,>1.40,30.0,-0.0031502860880576115,-0.0028600657466820167,0.3,0.45521470737225955,0.019325647512712818,-0.02658300057045082
2026-04,<0.70,0.0,,,,,,
2026-04,0.70-0.80,2.0,-0.0010819775118341979,-0.0010819775118341979,0.5,0.27817310339995655,0.0008339313585945529,-0.0029978863822629487
2026-04,0.80-0.90,11.0,2.1893488566899162e-05,-6.496142915135561e-05,0.45454545454545453,1.0151331658829466,0.008459310161869293,-0.005334939186782184
2026-04,0.90-1.00,69.0,0.0007040562952566247,-6.799365392573531e-05,0.463768115942029,1.7513408849399725,0.024260748050514147,-0.005590710557153433
2026-04,1.00-1.10,84.0,0.00032547165058365355,-0.00029539493072355816,0.44047619047619047,1.2062919100373917,0.017323619769677334,-0.007336409892320539
2026-04,1.10-1.20,61.0,0.00011829282715137998,-0.0004225826057694393,0.4426229508196721,1.0748053064635508,0.011820537965816724,-0.010608294340106461
2026-04,1.20-1.40,45.0,-0.0013772011461088492,9.47523016912033e-05,0.5333333333333333,0.5545313621609954,0.020838814923959337,-0.0267377141745474
2026-04,>1.40,29.0,0.0009295269437859272,-0.0005024494410250657,0.4482758620689655,1.4553568811103597,0.027724786976980775,-0.009688715117403102
2026-05,<0.70,0.0,,,,,,
2026-05,0.70-0.80,0.0,,,,,,
2026-05,0.80-0.90,22.0,0.0011911156203494337,0.0003322514001965482,0.5454545454545454,2.0326668752580916,0.009726481706012313,-0.007374246570145515
2026-05,0.90-1.00,72.0,0.0004466098329725141,-0.0007867543538808142,0.4166666666666667,1.2603728916724242,0.017651875890934532,-0.015635349323183445
2026-05,1.00-1.10,97.0,-0.00012773705246680128,-0.0005941770647653888,0.422680412371134,0.9320755727433477,0.022365382277865553,-0.01730429664508537
2026-05,1.10-1.20,67.0,0.00031015910040595526,-0.0008928426486581875,0.3880597014925373,1.189191795523406,0.016733918822691596,-0.009719680889994864
2026-05,1.20-1.40,75.0,-0.0009576475340868207,-0.0005397299132365863,0.38666666666666666,0.5821370600982337,0.01010199312187221,-0.018250471994965434
2026-05,>1.40,38.0,-0.0011128796980403733,-0.0016387891479334171,0.34210526315789475,0.5285579358133907,0.015283863962461508,-0.011528011737216848
2026-06,<0.70,0.0,,,,,,
2026-06,0.70-0.80,2.0,-0.004663434185510018,-0.004663434185510018,0.0,0.0,-0.003923934781871696,-0.00540293358914834
2026-06,0.80-0.90,20.0,0.00145155182672162,0.0008847536693247227,0.65,1.8430884514171162,0.014970930232558244,-0.011133970712816188
2026-06,0.90-1.00,69.0,0.001080450601944669,0.001394142278858368,0.6086956521739131,1.5697474692816134,0.017763636363636426,-0.032776934749620734
2026-06,1.00-1.10,120.0,0.0002722730671830829,-0.0004285227993572893,0.43333333333333335,1.0993957040951898,0.03537774838816343,-0.02939219234907431
