era,symbol,strategy,cost,windows,total_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_window_return,pooled_mean_return,pooled_median_return,pooled_win_rate,pooled_profit_factor
DEV_2026_FEB_JUL,BNBUSDT,ATR_080_100,0.0,6,145,5,0.8333333333333334,0.8333333333333334,1.2509288696037122,0.00033935162647126787,0.0006100324367927907,-0.0006054918107232243,0.43448275862068964,1.441295490660162
DEV_2026_FEB_JUL,BNBUSDT,ATR_080_100,0.0002,6,145,4,0.6666666666666666,0.6666666666666666,1.0947483551975825,0.00013935162647126775,0.00041003243679279085,-0.0008054918107232243,0.43448275862068964,1.2741828612517376
DEV_2026_FEB_JUL,BNBUSDT,ATR_080_100,0.0004,6,145,2,0.3333333333333333,0.3333333333333333,0.961625928377394,-6.0648373528732026e-05,0.00021003243679279038,-0.0010054918107232243,0.42758620689655175,1.1305691530412925
DEV_2026_FEB_JUL,BNBUSDT,ATR_080_100,0.0006,6,145,2,0.3333333333333333,0.3333333333333333,0.847538154412119,-0.00026064837352873197,1.0032436792790754e-05,-0.0012054918107232242,0.3793103448275862,1.0058023791917534
DEV_2026_FEB_JUL,BNBUSDT,ATR_080_100,0.0008,6,145,2,0.3333333333333333,0.3333333333333333,0.7507282117969338,-0.0004606483735287323,-0.00018996756320720936,-0.0014054918107232243,0.35172413793103446,0.8976982837160623
DEV_2026_FEB_JUL,BNBUSDT,BASE_SHORT,0.0,6,514,3,0.5,0.5,1.0238085577610598,3.420742594704858e-05,-1.6316767936111163e-05,-0.0005420525736134496,0.4260700389105058,0.9916324039465165
DEV_2026_FEB_JUL,BNBUSDT,BASE_SHORT,0.0002,6,514,2,0.3333333333333333,0.3333333333333333,0.8935467592139443,-0.00016579257405295147,-0.0002163167679361111,-0.0007420525736134496,0.4046692607003891,0.8953116654234704
DEV_2026_FEB_JUL,BNBUSDT,BASE_SHORT,0.0004,6,514,1,0.16666666666666666,0.16666666666666666,0.7815064292948939,-0.00036579257405295153,-0.0004163167679361112,-0.0009420525736134496,0.38910505836575876,0.8095968900016378
DEV_2026_FEB_JUL,BNBUSDT,BASE_SHORT,0.0006,6,514,0,0.0,0.0,0.685625789074591,-0.0005657925740529515,-0.0006163167679361112,-0.0011420525736134494,0.36186770428015563,0.7333452471689945
DEV_2026_FEB_JUL,BNBUSDT,BASE_SHORT,0.0008,6,514,0,0.0,0.0,0.6032914515840819,-0.0007657925740529516,-0.0008163167679361113,-0.0013420525736134495,0.34824902723735407,0.665542208897478
DEV_2026_FEB_JUL,BTCUSDT,ATR_080_100,0.0,6,130,4,0.6666666666666666,0.6666666666666666,1.4212629870373172,0.0006329456334668969,0.00022754125324611843,-0.0004071407324908738,0.4307692307692308,1.1363954732534347
DEV_2026_FEB_JUL,BTCUSDT,ATR_080_100,0.0002,6,130,4,0.6666666666666666,0.6666666666666666,1.2780968344411452,0.000432945633466897,2.754125324611868e-05,-0.0006071407324908738,0.4230769230769231,1.0154515660732195
DEV_2026_FEB_JUL,BTCUSDT,ATR_080_100,0.0004,6,130,4,0.6666666666666666,0.6666666666666666,1.150654923238843,0.00023294563346689675,-0.00017245874675388177,-0.0008071407324908738,0.38461538461538464,0.909291146022525
DEV_2026_FEB_JUL,BTCUSDT,ATR_080_100,0.0006,6,130,3,0.5,0.5,1.0280849762377777,3.294563346689705e-05,-0.0003724587467538815,-0.0010071407324908736,0.36923076923076925,0.8161814615921474
DEV_2026_FEB_JUL,BTCUSDT,ATR_080_100,0.0008,6,130,1,0.16666666666666666,0.16666666666666666,0.9120900139277754,-0.00016705436653310338,-0.0005724587467538816,-0.0012071407324908737,0.35384615384615387,0.7342038940095384
DEV_2026_FEB_JUL,BTCUSDT,BASE_SHORT,0.0,6,518,1,0.16666666666666666,0.16666666666666666,0.8110933581432077,-0.000303260641033859,-0.0002459692444545541,-0.0005749479086538112,0.4266409266409266,0.8865270301020979
DEV_2026_FEB_JUL,BTCUSDT,BASE_SHORT,0.0002,6,518,1,0.16666666666666666,0.16666666666666666,0.7164824821911477,-0.0005032606410338589,-0.000445969244454554,-0.0007749479086538112,0.4034749034749035,0.8047473643343033
DEV_2026_FEB_JUL,BTCUSDT,BASE_SHORT,0.0004,6,518,0,0.0,0.0,0.6359058126299671,-0.000703260641033859,-0.000645969244454554,-0.0009749479086538111,0.3861003861003861,0.7313977717499969
DEV_2026_FEB_JUL,BTCUSDT,BASE_SHORT,0.0006,6,518,0,0.0,0.0,0.5658432317193978,-0.0009032606410338589,-0.0008459692444545544,-0.001174947908653811,0.37065637065637064,0.6655246903577146
DEV_2026_FEB_JUL,BTCUSDT,BASE_SHORT,0.0008,6,518,0,0.0,0.0,0.5043971949400945,-0.0011032606410338592,-0.0010459692444545541,-0.0013749479086538111,0.3532818532818533,0.606237290176375
DEV_2026_FEB_JUL,ETHUSDT,ATR_080_100,0.0,6,144,5,0.8333333333333334,0.8333333333333334,1.782409763913966,0.0012335922175485475,0.0011531217599605559,-0.00011240197079948056,0.4791666666666667,1.5340608522020438
DEV_2026_FEB_JUL,ETHUSDT,ATR_080_100,0.0002,6,144,5,0.8333333333333334,0.8333333333333334,1.6149407621730574,0.0010335922175485476,0.0009531217599605563,-0.00031240197079948054,0.4652777777777778,1.4208857904786778
DEV_2026_FEB_JUL,ETHUSDT,ATR_080_100,0.0004,6,144,5,0.8333333333333334,0.8333333333333334,1.4655625625798645,0.0008335922175485473,0.000753121759960556,-0.0005124019707994805,0.4583333333333333,1.3175550754357699
DEV_2026_FEB_JUL,ETHUSDT,ATR_080_100,0.0006,6,144,5,0.8333333333333334,0.8333333333333334,1.3326046325383272,0.0006335922175485474,0.0005531217599605557,-0.0007124019707994805,0.4513888888888889,1.2229894061880362
DEV_2026_FEB_JUL,ETHUSDT,ATR_080_100,0.0008,6,144,5,0.8333333333333334,0.8333333333333334,1.2143881248255077,0.0004335922175485473,0.0003531217599605557,-0.0009124019707994806,0.4375,1.1362097926289159
DEV_2026_FEB_JUL,ETHUSDT,BASE_SHORT,0.0,6,553,3,0.5,0.5,1.0297492485737556,0.00010046982037649046,-0.00015541634906465445,-0.0008436427334024277,0.4159132007233273,0.9468185268582296
DEV_2026_FEB_JUL,ETHUSDT,BASE_SHORT,0.0002,6,553,3,0.5,0.5,0.9574546613168611,-9.953017962350939e-05,-0.0003554163490646542,-0.0010436427334024278,0.4014466546112116,0.8831168333499706
DEV_2026_FEB_JUL,ETHUSDT,BASE_SHORT,0.0004,6,553,1,0.16666666666666666,0.16666666666666666,0.8705875702002566,-0.00029953017962350953,-0.0005554163490646543,-0.0012436427334024276,0.39783001808318263,0.8242784714371153
DEV_2026_FEB_JUL,ETHUSDT,BASE_SHORT,0.0006,6,553,0,0.0,0.0,0.7992307073056832,-0.0004995301796235095,-0.0007554163490646546,-0.0014436427334024275,0.38517179023508136,0.7698871834331066
DEV_2026_FEB_JUL,ETHUSDT,BASE_SHORT,0.0008,6,553,0,0.0,0.0,0.7432996894510975,-0.0006995301796235096,-0.0009554163490646547,-0.0016436427334024276,0.3688969258589512,0.7196176972450322
DEV_2026_FEB_JUL,SOLUSDT,ATR_080_100,0.0,6,144,5,0.8333333333333334,0.8333333333333334,1.4293868304757598,0.000895619103004547,0.0003552412005622358,-0.00025634778417010784,0.4791666666666667,1.1479401102196378
DEV_2026_FEB_JUL,SOLUSDT,ATR_080_100,0.0002,6,144,5,0.8333333333333334,0.8333333333333334,1.340453522552687,0.0006956191030045469,0.000155241200562236,-0.0004563477841701078,0.4652777777777778,1.0619345524145014
DEV_2026_FEB_JUL,SOLUSDT,ATR_080_100,0.0004,6,144,4,0.6666666666666666,0.6666666666666666,1.2570733248551056,0.0004956191030045472,-4.475879943776432e-05,-0.0006563477841701078,0.4444444444444444,0.9828838828490748
DEV_2026_FEB_JUL,SOLUSDT,ATR_080_100,0.0006,6,144,4,0.6666666666666666,0.6666666666666666,1.1496184705487642,0.00029561910300454706,-0.0002447587994377642,-0.0008563477841701078,0.4027777777777778,0.9103689118961049
DEV_2026_FEB_JUL,SOLUSDT,ATR_080_100,0.0008,6,144,4,0.6666666666666666,0.6666666666666666,1.0373377163701383,9.56191030045469e-05,-0.0004447587994377643,-0.0010563477841701078,0.3888888888888889,0.84406943797107
DEV_2026_FEB_JUL,SOLUSDT,BASE_SHORT,0.0,6,505,3,0.5,0.5,1.0218527006145872,3.3565939238664635e-05,-0.00015271062056922615,-0.000528890651857572,0.45544554455445546,0.9487173642587508
DEV_2026_FEB_JUL,SOLUSDT,BASE_SHORT,0.0002,6,505,2,0.3333333333333333,0.3333333333333333,0.9486511710043943,-0.000166434060761335,-0.00035271062056922605,-0.000728890651857572,0.4396039603960396,0.8857812448992234
DEV_2026_FEB_JUL,SOLUSDT,BASE_SHORT,0.0004,6,505,1,0.16666666666666666,0.16666666666666666,0.8813487980718551,-0.0003664340607613352,-0.000552710620569226,-0.000928890651857572,0.42178217821782177,0.8273705387983699
DEV_2026_FEB_JUL,SOLUSDT,BASE_SHORT,0.0006,6,505,0,0.0,0.0,0.8193768611747831,-0.0005664340607613355,-0.0007527106205692265,-0.0011288906518575718,0.401980198019802,0.7732294028802873
DEV_2026_FEB_JUL,SOLUSDT,BASE_SHORT,0.0008,6,505,0,0.0,0.0,0.762447273722942,-0.0007664340607613357,-0.0009527106205692265,-0.001328890651857572,0.3920792079207921,0.7230529795365916
DISCOVERY_2026_01,BNBUSDT,ATR_080_100,0.0,1,23,1,1.0,1.0,4.777203699670719,0.001808983079602253,0.001808983079602253,0.0007022315357692044,0.6521739130434783,4.777203699670719
