hypothesis,horizon_bars,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_CONTINUATION_LONG,1,5,BNBUSDT,0.0,3009,-1.0201234587833923e-06,6.488661064785184e-05,4.3719630223119825e-05,5.172733711594715e-05,0.5124626121635095,0.9991100748102768,-0.0033562824324901764,0.0034888664420454265
POS_CONTINUATION_LONG,1,5,BNBUSDT,0.0004,3009,-0.0004010201234587834,-0.0003351133893521482,-0.00035628036977688023,-0.00034827266288405294,0.42904619474908606,0.7045058121601467,-0.0037562824324901766,0.0030888664420454263
POS_CONTINUATION_LONG,1,5,BNBUSDT,0.0006,3009,-0.0006010201234587833,-0.0005351133893521481,-0.0005562803697768802,-0.0005482726628840527,0.38783649052841473,0.5926776433236394,-0.003956282432490176,0.0028888664420454267
POS_CONTINUATION_LONG,1,5,BTCUSDT,0.0,3010,2.3539241878163084e-05,4.540085184268072e-05,1.827212776972009e-05,1.0737408699996488e-05,0.5129568106312292,1.0238713251785088,-0.0029933231472756617,0.003007561216853482
POS_CONTINUATION_LONG,1,5,BTCUSDT,0.0004,3010,-0.00037646075812183697,-0.0003545991481573193,-0.00038172787223028,-0.00038926259130000367,0.413953488372093,0.6866999389299517,-0.003393323147275662,0.0026075612168534818
POS_CONTINUATION_LONG,1,5,BTCUSDT,0.0006,3010,-0.0005764607581218368,-0.0005545991481573192,-0.0005817278722302798,-0.0005892625913000034,0.37209302325581395,0.5642903013486027,-0.0035933231472756615,0.002407561216853482
POS_CONTINUATION_LONG,1,5,ETHUSDT,0.0,2968,-4.996732156378309e-05,-0.00024312602484738433,-0.00014964098164524657,-9.075876938130643e-05,0.4642857142857143,0.965551381296683,-0.004048199486838044,0.004236150953391783
POS_CONTINUATION_LONG,1,5,ETHUSDT,0.0004,2968,-0.00044996732156378315,-0.0006431260248473843,-0.0005496409816452465,-0.0004907587693813066,0.4026280323450135,0.7316288078098474,-0.004448199486838045,0.003836150953391783
POS_CONTINUATION_LONG,1,5,ETHUSDT,0.0006,2968,-0.000649967321563783,-0.0008431260248473843,-0.0007496409816452466,-0.0006907587693813061,0.37634770889487873,0.6386725958758035,-0.004648199486838044,0.0036361509533917834
POS_CONTINUATION_LONG,1,5,SOLUSDT,0.0,3033,4.2818956539729615e-05,-0.00025423728813556146,-3.858614251678077e-05,5.170883368231856e-06,0.4652159577975602,1.0249264442776618,-0.004792110882497847,0.005266748871878636
POS_CONTINUATION_LONG,1,5,SOLUSDT,0.0004,3033,-0.00035718104346027047,-0.0006542372881355614,-0.0004385861425167808,-0.00039482911663176823,0.4210352786020442,0.8159255534613252,-0.005192110882497847,0.004866748871878636
POS_CONTINUATION_LONG,1,5,SOLUSDT,0.0006,3033,-0.0005571810434602702,-0.0008542372881355614,-0.0006385861425167814,-0.000594829116631768,0.3969666996373228,0.7293445681637017,-0.005392110882497847,0.004666748871878636
POS_CONTINUATION_LONG,3,15,BNBUSDT,0.0,3009,0.00015735333607822145,1.685857342748065e-05,0.00010587331314803751,0.0001424677714192849,0.5024925224327019,1.0911185834392079,-0.005198728507127348,0.005894026624000676
POS_CONTINUATION_LONG,3,15,BNBUSDT,0.0004,3009,-0.00024264666392177862,-0.00038314142657251937,-0.0002941266868519624,-0.0002575322285807151,0.4476570289132602,0.8746716178634453,-0.005598728507127348,0.005494026624000676
POS_CONTINUATION_LONG,3,15,BNBUSDT,0.0006,3009,-0.00044264666392177855,-0.0005831414265725193,-0.0004941266868519627,-0.0004575322285807149,0.422399468261881,0.7840090029224328,-0.0057987285071273474,0.005294026624000676
POS_CONTINUATION_LONG,3,15,BTCUSDT,0.0,3010,0.0001555809681775721,0.000205402420640044,0.00013820610775058337,0.0001374151826118686,0.5289036544850498,1.103289270883171,-0.004460850322833842,0.004778267721978579
POS_CONTINUATION_LONG,3,15,BTCUSDT,0.0004,3010,-0.000244419031822428,-0.00019459757935995603,-0.0002617938922494167,-0.0002625848173881315,0.47375415282392025,0.8567164394992127,-0.004860850322833842,0.004378267721978578
POS_CONTINUATION_LONG,3,15,BTCUSDT,0.0006,3010,-0.0004444190318224278,-0.00039459757935995596,-0.0004617938922494171,-0.00046258481738813123,0.4415282392026578,0.7550499225532129,-0.005060850322833842,0.004178267721978579
POS_CONTINUATION_LONG,3,15,ETHUSDT,0.0,2968,-0.00012652666893895836,-0.00042917174675760617,-0.00021313699261869481,-0.00011956955866350807,0.45451482479784366,0.9456733314990596,-0.00661981778086691,0.0068666394070625815
POS_CONTINUATION_LONG,3,15,ETHUSDT,0.0004,2968,-0.0005265266689389584,-0.0008291717467576061,-0.0006131369926186948,-0.0005195695586635081,0.4191374663072776,0.7937925514087644,-0.0070198177808669104,0.006466639407062581
POS_CONTINUATION_LONG,3,15,ETHUSDT,0.0006,2968,-0.0007265266689389583,-0.001029171746757606,-0.0008131369926186954,-0.0007195695586635079,0.40161725067385445,0.7280428648337932,-0.00721981778086691,0.006266639407062582
POS_CONTINUATION_LONG,3,15,SOLUSDT,0.0,3033,7.727082136368323e-05,-0.0003234361860405821,-8.338727887920237e-05,2.335335706266427e-05,0.47049126277612924,1.0283183154085078,-0.007899663048911298,0.008658980508368021
POS_CONTINUATION_LONG,3,15,SOLUSDT,0.0004,3033,-0.0003227291786363167,-0.0007234361860405821,-0.00048338727887920223,-0.00037664664293733565,0.43982855258819653,0.8904488099589677,-0.008299663048911297,0.008258980508368022
POS_CONTINUATION_LONG,3,15,SOLUSDT,0.0006,3033,-0.0005227291786363168,-0.0009234361860405821,-0.0006833872788792031,-0.0005766466429373355,0.4269699967029344,0.8291333148504291,-0.008499663048911298,0.008058980508368022
POS_CONTINUATION_LONG,6,30,BNBUSDT,0.0,3009,0.00023561387670494827,-3.14450576230918e-05,0.0001752216740715264,0.00024324809366442916,0.49750747756729813,1.104196143734725,-0.006838896582737686,0.007708727689404028
POS_CONTINUATION_LONG,6,30,BNBUSDT,0.0004,3009,-0.00016438612329505175,-0.0004314450576230918,-0.00022477832592847382,-0.00015675190633557083,0.4639415088069126,0.933419008268166,-0.007238896582737686,0.007308727689404028
POS_CONTINUATION_LONG,6,30,BNBUSDT,0.0006,3009,-0.00036438612329505176,-0.0006314450576230917,-0.0004247783259284746,-0.0003567519063355706,0.44732469258889995,0.8586422934738438,-0.007438896582737686,0.007108727689404028
POS_CONTINUATION_LONG,6,30,BTCUSDT,0.0,3010,0.0002550705272908926,0.00020179172725143246,0.00023421793875362423,0.0002188470404205497,0.5235880398671097,1.1259754254726038,-0.0062024195483181156,0.00632848090674174
POS_CONTINUATION_LONG,6,30,BTCUSDT,0.0004,3010,-0.0001449294727091074,-0.00019820827274856756,-0.00016578206124637611,-0.00018115295957945026,0.4820598006644518,0.934845616715386,-0.006602419548318116,0.00592848090674174
POS_CONTINUATION_LONG,6,30,BTCUSDT,0.0006,3010,-0.0003449294727091074,-0.0003982082727485675,-0.0003657820612463769,-0.0003811529595794501,0.46312292358803986,0.8519597928235852,-0.006802419548318115,0.00572848090674174
POS_CONTINUATION_LONG,6,30,ETHUSDT,0.0,2968,-3.343054322804893e-05,-0.00047790754897997223,-0.0002217042632649872,-8.356451125054781e-05,0.4642857142857143,0.9890171503941922,-0.008861205481000712,0.009113151754595558
POS_CONTINUATION_LONG,6,30,ETHUSDT,0.0004,2968,-0.00043343054322804886,-0.0008779075489799722,-0.0006217042632649867,-0.0004835645112505477,0.43766846361185985,0.8671793156667544,-0.009261205481000711,0.008713151754595558
POS_CONTINUATION_LONG,6,30,ETHUSDT,0.0006,2968,-0.0006334305432280491,-0.001077907548979972,-0.0008217042632649876,-0.0006835645112505477,0.42351752021563344,0.8124285463266446,-0.009461205481000712,0.008513151754595558
POS_CONTINUATION_LONG,6,30,SOLUSDT,0.0,3033,0.00046442290909726555,-0.0001554122309426198,0.00014763189552685675,0.00030086375446959515,0.4879657105176393,1.1348226964065102,-0.010182603011150237,0.01179223376443859
POS_CONTINUATION_LONG,6,30,SOLUSDT,0.0004,3033,6.442290909726584e-05,-0.0005554122309426198,-0.0002523681044731431,-9.91362455304047e-05,0.4619188921859545,1.0176265900739734,-0.010582603011150236,0.01139223376443859
POS_CONTINUATION_LONG,6,30,SOLUSDT,0.0006,3033,-0.0001355770909027348,-0.0007554122309426197,-0.000452368104473144,-0.00029913624553040496,0.45103857566765576,0.963975294270068,-0.010782603011150237,0.01119223376443859
POS_CONTINUATION_LONG,12,60,BNBUSDT,0.0,3009,0.00031844949321999783,0.000223226742563698,0.00028643728365327167,0.0003155625787697479,0.5154536390827518,1.108591433028467,-0.00899008873156759,0.009946880420706088
POS_CONTINUATION_LONG,12,60,BNBUSDT,0.0004,3009,-8.155050678000201e-05,-0.000176773257436302,-0.00011356271634672819,-8.443742123025202e-05,0.48886673313393153,0.9739593544177719,-0.009390088731567589,0.009546880420706089
POS_CONTINUATION_LONG,12,60,BNBUSDT,0.0006,3009,-0.0002815505067800024,-0.00037677325743630194,-0.00031356271634672893,-0.00028443742123025214,0.4739115985377202,0.9129700471086395,-0.00959008873156759,0.009346880420706088
POS_CONTINUATION_LONG,12,60,BTCUSDT,0.0,3010,0.00032098354484190504,0.00033553595200941366,0.0002778265233098889,0.0002756171481496115,0.53156146179402,1.1193439540351688,-0.008601113347161082,0.008678205945399116
POS_CONTINUATION_LONG,12,60,BTCUSDT,0.0004,3010,-7.90164551580949e-05,-6.446404799058636e-05,-0.00012217347669011032,-0.0001243828518503884,0.49401993355481727,0.9726052741454818,-0.009001113347161081,0.008278205945399117
POS_CONTINUATION_LONG,12,60,BTCUSDT,0.0006,3010,-0.00027901645515809507,-0.0002644640479905863,-0.00032217347669011125,-0.0003243828518503883,0.4760797342192691,0.9065994635677286,-0.009201113347161081,0.008078205945399116
POS_CONTINUATION_LONG,12,60,ETHUSDT,0.0,2968,-0.00010774680498222844,-0.0007447421881858762,-0.0002840680510179699,-0.00014937433269671978,0.45923180592991913,0.9726813399476176,-0.011063497464535155,0.01239960399185177
POS_CONTINUATION_LONG,12,60,ETHUSDT,0.0004,2968,-0.0005077468049822282,-0.0011447421881858762,-0.0006840680510179697,-0.0005493743326967197,0.4336253369272237,0.8781186412960016,-0.011463497464535155,0.01199960399185177
