regime_group,samples,mean_mfe,median_mfe,mean_mae,median_mae,median_time_to_mfe,median_time_to_mae,mfe_gt_020_rate,mfe_gt_040_rate,mfe_gt_060_rate,mae_gt_020_rate,mae_gt_040_rate
FEB_JUN,433,0.005793152363829739,0.0035705784337061175,0.003704094227638141,0.002783280669297117,5.0,6.0,0.6189376443418014,0.46882217090069284,0.3348729792147806,0.6189376443418014,0.3279445727482679
JULY,103,0.00298308929018042,0.0024623229659639367,0.003924068853119708,0.0028427951315006528,4.0,8.0,0.5533980582524272,0.27184466019417475,0.0970873786407767,0.6601941747572816,0.32038834951456313
