hypothesis,symbol,horizon,minutes,feature,bucket,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q1,0.0,927,5.6110391904869366e-05,0.0004252303330971,0.540453074433657,1.0290941669005915,-0.005548711866218859,0.00567142774346502
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q1,0.0002,927,-0.00014388960809513072,0.0002252303330971,0.5242718446601942,0.9288345376741365,-0.005748711866218859,0.0054714277434650205
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q1,0.0004,927,-0.00034388960809513073,2.523033309709998e-05,0.5037756202804746,0.8377522889297572,-0.005948711866218859,0.00527142774346502
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q2,0.0,1085,-0.00013202286649306188,0.0002015021066128,0.5253456221198156,0.9320139069143621,-0.006110059665447,0.00514929458838628
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q2,0.0002,1085,-0.00033202286649306183,1.5021066127999822e-06,0.5004608294930876,0.8371941728775847,-0.006310059665446999,0.004949294588386281
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q2,0.0004,1085,-0.0005320228664930619,-0.00019849789338720003,0.471889400921659,0.7516410446132925,-0.006510059665447,0.00474929458838628
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q3,0.0,1049,-0.00012457524986803398,0.000286806883365,0.5319351763584366,0.9397761086329163,-0.006308393830226579,0.005931256485222061
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q3,0.0002,1049,-0.000324575249868034,8.680688336499997e-05,0.5128693994280267,0.8500068689474509,-0.006508393830226579,0.005731256485222061
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q3,0.0004,1049,-0.000524575249868034,-0.00011319311663500004,0.4890371782650143,0.7682859656117504,-0.006708393830226579,0.0055312564852220605
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q4,0.0,1085,0.0006042285469964881,0.0007387613957874,0.5705069124423963,1.2822532253313954,-0.00677582621693484,0.007751930639554341
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q4,0.0002,1085,0.0004042285469964881,0.0005387613957874,0.5511520737327189,1.1813847868554928,-0.00697582621693484,0.007551930639554341
DOWN_REVERSAL_LONG,BNBUSDT,6,30,abs_return_z,Q4,0.0004,1085,0.00020422854699648818,0.0003387613957874,0.5317972350230414,1.0880180673387854,-0.0071758262169348405,0.0073519306395543405
DOWN_REVERSAL_LONG,BTCUSDT,6,30,abs_return_z,Q1,0.0,905,0.00012631094488905754,0.0002245523989012,0.538121546961326,1.0882224774299003,-0.00461572255317006,0.00491503661402902
DOWN_REVERSAL_LONG,BTCUSDT,6,30,abs_return_z,Q1,0.0002,905,-7.368905511094244e-05,2.45523989012e-05,0.5016574585635359,0.9517953436146788,-0.00481572255317006,0.00471503661402902
DOWN_REVERSAL_LONG,BTCUSDT,6,30,abs_return_z,Q1,0.0004,905,-0.0002736890551109425,-0.0001754476010988,0.4685082872928177,0.8322050014067885,-0.00501572255317006,0.0045150366140290195
DOWN_REVERSAL_LONG,BTCUSDT,6,30,abs_return_z,Q2,0.0,956,-0.00032644675219554737,2.3876967560676476e-05,0.5031380753138075,0.8263604395543985,-0.00557813299984645,0.004832380613884199
