variant,cost,mean_ci_low,mean_ci_high,pf_ci_low,pf_ci_high,prob_mean_gt_0,prob_pf_gt_1
CANONICAL_ALL,0.0004,-8.414374529097188e-05,0.0007245026916251827,0.9746210290494921,1.2294707750091625,0.921,0.921
CANONICAL_ALL,0.0006,-0.00028414374529097254,0.0005245026916251821,0.9181524351879236,1.161429486684367,0.6595,0.6595
CANONICAL_ALL,0.0008,-0.0004841437452909723,0.00032450269162518226,0.8666289944653651,1.096665357396574,0.288,0.288
FRESH_60,0.0004,0.0002153323135085532,0.0014376544432563164,1.0708640197973573,1.5671118573500864,0.9955,0.9955
FRESH_60,0.0006,1.533231350855293e-05,0.0012376544432563161,1.004962859594655,1.4718831999664852,0.9775,0.9775
FRESH_60,0.0008,-0.00018466768649144714,0.0010376544432563158,0.9452257249409642,1.381870228958263,0.907,0.907
LEGACY_REFERENCE,0.0004,0.00025822438636424505,0.0012196335730269752,1.0805077758329942,1.4273883002228562,0.9985,0.9985
LEGACY_REFERENCE,0.0006,5.822438636424446e-05,0.0010196335730269742,1.0174211985881205,1.3451557648666717,0.988,0.988
LEGACY_REFERENCE,0.0008,-0.0001417756136357553,0.0008196335730269747,0.958913220930901,1.2673531550168182,0.9145,0.9145
NOT_FRESH_60,0.0004,-0.0007134771273199483,0.0005569491991546012,0.8161768331956211,1.1607665121866402,0.388,0.388
NOT_FRESH_60,0.0006,-0.0009134771273199492,0.00035694919915460016,0.7703301898710574,1.099105735534024,0.186,0.186
NOT_FRESH_60,0.0008,-0.0011134771273199487,0.0001569491991546007,0.7266647670832015,1.0429162449678322,0.075,0.075
