atr_bucket,samples,mean_return,median_return,win_rate,profit_factor,best_trade,worst_trade
<0.70,0.0,,,,,,
0.70-0.80,4.0,-0.002872705848672108,-0.0034609105820673225,0.25,0.06766311989878873,0.0008339313585945529,-0.00540293358914834
0.80-0.90,93.0,0.000729769388276407,-0.00013438081455452444,0.4838709677419355,1.4379226033236099,0.017091709558553214,-0.011133970712816188
0.90-1.00,451.0,0.000630113205195148,-0.00027114967462049666,0.4656319290465632,1.322749022128818,0.043706310703209406,-0.032776934749620734
1.00-1.10,602.0,-1.200701909789355e-05,-0.0005918303385604728,0.4219269102990033,0.9946637522417062,0.03537774838816343,-0.030448368240466817
1.10-1.20,407.0,-0.0004917273478957843,-0.0008512871801633626,0.41277641277641275,0.8139422233630071,0.042772473011966516,-0.06349107574840662
1.20-1.40,365.0,-0.0006566845819953887,-0.0005589256321244518,0.43561643835616437,0.7892684508278037,0.04429892141756553,-0.07645478298583575
>1.40,175.0,-0.0011154452774683073,-0.0012366498032602147,0.3942857142857143,0.6991744068794437,0.03601026290939813,-0.08051779935275083
