hypothesis,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_6H_CONTINUE_LONG,5,0.0,26170,-4.525782713902834e-05,-0.000172622893204466,-0.00010824968657874657,-7.191359076751855e-05,0.45219717233473444,0.9513651810390977,-0.002728930686500941,0.002779559698755705
HIGH_6H_CONTINUE_LONG,5,0.0004,26170,-0.0004452578271390284,-0.000572622893204466,-0.0005082496865787467,-0.0004719135907675186,0.36010699273977836,0.618946827919345,-0.003128930686500941,0.0023795596987557046
HIGH_6H_CONTINUE_LONG,5,0.0006,26170,-0.0006452578271390282,-0.000772622893204466,-0.0007082496865787466,-0.0006719135907675185,0.3176920137562094,0.5039638652908779,-0.0033289306865009406,0.002179559698755705
HIGH_6H_CONTINUE_LONG,15,0.0,26170,-0.00014805236798920825,-0.00040357520370376543,-0.00026387576163605127,-0.00019743709167419998,0.4342758884218571,0.9033318563567546,-0.004474542723204266,0.0044449817018834565
HIGH_6H_CONTINUE_LONG,15,0.0004,26170,-0.0005480523679892083,-0.0008035752037037654,-0.0006638757616360513,-0.0005974370916742001,0.37604126862820025,0.6902189631803051,-0.004874542723204266,0.004044981701883456
HIGH_6H_CONTINUE_LONG,15,0.0006,26170,-0.000748052367989208,-0.0010035752037037653,-0.0008638757616360514,-0.0007974370916741998,0.34982804738249906,0.6055773622514764,-0.005074542723204266,0.0038449817018834567
HIGH_6H_CONTINUE_LONG,30,0.0,26170,-0.00016269735223375085,-0.00047547339806763844,-0.0003034318822326193,-0.00023372126328056675,0.44149789835689723,0.9198467452224202,-0.005827285768874101,0.005923958981564085
HIGH_6H_CONTINUE_LONG,30,0.0004,26170,-0.0005626973522337509,-0.0008754733980676384,-0.0007034318822326193,-0.0006337212632805667,0.3988918609094383,0.7511856527943053,-0.0062272857688741015,0.005523958981564085
HIGH_6H_CONTINUE_LONG,30,0.0006,26170,-0.000762697352233751,-0.0010754733980676383,-0.0009034318822326195,-0.0008337212632805667,0.3773786778754299,0.680053163880354,-0.006427285768874101,0.005323958981564085
HIGH_6H_CONTINUE_LONG,60,0.0,26170,-0.0001862471242564597,-0.0005586090580845804,-0.00036451890450518926,-0.00026395928453504816,0.45024837600305695,0.9308938692413715,-0.0077990886825700986,0.008023132861294103
HIGH_6H_CONTINUE_LONG,60,0.0004,26170,-0.0005862471242564596,-0.0009586090580845804,-0.0007645189045051891,-0.0006639592845350482,0.41360336262896447,0.7993805274870643,-0.008199088682570098,0.007623132861294102
HIGH_6H_CONTINUE_LONG,60,0.0006,26170,-0.0007862471242564598,-0.0011586090580845802,-0.0009645189045051899,-0.0008639592845350482,0.39545280855941917,0.741471693102013,-0.008399088682570098,0.007423132861294103
HIGH_6H_CONTINUE_LONG,120,0.0,26170,-0.0002467238571378032,-0.0006592087476257058,-0.0004589300810056882,-0.00036821831445865407,0.45399312189529994,0.9313777737107736,-0.010708808523982871,0.010420832267871261
HIGH_6H_CONTINUE_LONG,120,0.0004,26170,-0.000646723857137803,-0.0010592087476257058,-0.0008589300810056884,-0.000768218314458654,0.42835307604126865,0.8306545812710693,-0.01110880852398287,0.010020832267871262
HIGH_6H_CONTINUE_LONG,120,0.0006,26170,-0.0008467238571378034,-0.0012592087476257056,-0.001058930081005689,-0.0009682183144586542,0.4166220863584257,0.7847927582995233,-0.011308808523982871,0.009820832267871261
HIGH_6H_REVERSE_SHORT,5,0.0,26170,4.525782713902834e-05,0.000172622893204466,0.00010824968657874672,7.19135907675184e-05,0.5432938479174627,1.051121083607225,-0.0027795596987556957,0.002728930686500945
HIGH_6H_REVERSE_SHORT,5,0.0004,26170,-0.0003547421728609717,-0.00022737710679553402,-0.0002917503134212535,-0.0003280864092324816,0.4411539931218953,0.673974003360378,-0.003179559698755696,0.002328930686500945
HIGH_6H_REVERSE_SHORT,5,0.0006,26170,-0.0005547421728609715,-0.00042737710679553395,-0.0004917503134212533,-0.0005280864092324814,0.3918609094382881,0.5395737683375642,-0.0033795596987556955,0.0021289306865009453
HIGH_6H_REVERSE_SHORT,15,0.0,26170,0.00014805236798920825,0.00040357520370376543,0.00026387576163605154,0.0001974370916741997,0.5635842567825755,1.1070128801093317,-0.004444981701883455,0.0044745427232042705
HIGH_6H_REVERSE_SHORT,15,0.0004,26170,-0.00025194763201079177,3.575203703765409e-06,-0.0001361242383639485,-0.00020256290832580036,0.5008024455483377,0.8395682664874693,-0.004844981701883455,0.00407454272320427
HIGH_6H_REVERSE_SHORT,15,0.0006,26170,-0.00045194763201079164,-0.00019642479629623452,-0.0003361242383639486,-0.00040256290832580007,0.46901031715705005,0.7299332354179398,-0.005044981701883455,0.0038745427232042707
HIGH_6H_REVERSE_SHORT,30,0.0,26170,0.00016269735223375085,0.00047547339806763844,0.00030343188223261916,0.00023372126328056645,0.5564768819258693,1.087137618515135,-0.005923958981564081,0.005827285768874111
HIGH_6H_REVERSE_SHORT,30,0.0004,26170,-0.00023730264776624914,7.547339806763842e-05,-9.656811776738059e-05,-0.0001662787367194336,0.5089033244172717,0.884451580895129,-0.006323958981564081,0.005427285768874111
HIGH_6H_REVERSE_SHORT,30,0.0006,26170,-0.00043730264776624915,-0.0001245266019323615,-0.00029656811776738117,-0.0003662787367194335,0.48467711119602597,0.7970139984556296,-0.006523958981564081,0.005227285768874111
HIGH_6H_REVERSE_SHORT,60,0.0,26170,0.0001862471242564597,0.0005586090580845804,0.00036451890450518926,0.0002639592845350481,0.5484524264424914,1.0742363152686205,-0.008023132861294103,0.0077990886825701055
HIGH_6H_REVERSE_SHORT,60,0.0004,26170,-0.0002137528757435402,0.00015860905808458037,-3.548109549481036e-05,-0.0001360407154649518,0.5141765380206343,0.9207164794506356,-0.008423132861294102,0.007399088682570105
HIGH_6H_REVERSE_SHORT,60,0.0006,26170,-0.0004137528757435404,-4.139094191541956e-05,-0.00023548109549481123,-0.00033604071546495173,0.4968666411922048,0.8519656106757704,-0.008623132861294102,0.007199088682570106
HIGH_6H_REVERSE_SHORT,120,0.0,26170,0.0002467238571378032,0.0006592087476257058,0.0004589300810056882,0.0003682183144586538,0.5448223156285823,1.073678187547705,-0.01042083226787125,0.010708808523982873
HIGH_6H_REVERSE_SHORT,120,0.0004,26170,-0.00015327614286219662,0.0002592087476257058,5.8930081005688593e-05,-3.178168554134609e-05,0.5186473060756591,0.9566517700609006,-0.010820832267871248,0.010308808523982874
HIGH_6H_REVERSE_SHORT,120,0.0006,26170,-0.00035327614286219714,5.920874762570586e-05,-0.00014106991899431287,-0.00023178168554134631,0.5042414978983569,0.9027762764854549,-0.011020832267871249,0.010108808523982873
LOW_6H_CONTINUE_SHORT,5,0.0,23395,-9.497612105431747e-05,-0.00016623215428568372,-0.00013383791856545708,-0.00011489781558133675,0.45727719598204747,0.9176780231242052,-0.00325007547762981,0.0031136295221100077
LOW_6H_CONTINUE_SHORT,5,0.0004,23395,-0.0004949761210543176,-0.0005662321542856837,-0.0005338379185654572,-0.0005148978155813368,0.37119042530455226,0.64339989913606,-0.0036500754776298103,0.0027136295221100075
LOW_6H_CONTINUE_SHORT,5,0.0006,23395,-0.0006949761210543174,-0.0007662321542856837,-0.0007338379185654572,-0.0007148978155813366,0.3340457362684334,0.5420367544096412,-0.00385007547762981,0.002513629522110008
LOW_6H_CONTINUE_SHORT,15,0.0,23395,-0.00011396833025355473,-0.0003680699332873072,-0.0002293608923661964,-0.00018286303418520335,0.4437700363325497,0.9381798297714001,-0.005193443045301826,0.005240247321339211
LOW_6H_CONTINUE_SHORT,15,0.0004,23395,-0.0005139683302535548,-0.0007680699332873072,-0.0006293608923661965,-0.0005828630341852035,0.3948706988672793,0.7523935173646537,-0.0055934430453018266,0.004840247321339211
LOW_6H_CONTINUE_SHORT,15,0.0006,23395,-0.0007139683302535546,-0.0009680699332873071,-0.0008293608923661966,-0.0007828630341852032,0.3702073092541141,0.675340329886138,-0.005793443045301826,0.0046402473213392114
LOW_6H_CONTINUE_SHORT,30,0.0,23395,-0.000194202540797274,-0.0005570619345485195,-0.0003372962260212763,-0.0002331002756669351,0.44022226971575124,0.9215880746557832,-0.006889326729342793,0.007134033337871104
LOW_6H_CONTINUE_SHORT,30,0.0004,23395,-0.000594202540797274,-0.0009570619345485195,-0.0007372962260212763,-0.0006331002756669352,0.4021372088053003,0.7805677329908033,-0.007289326729342793,0.006734033337871104
LOW_6H_CONTINUE_SHORT,30,0.0006,23395,-0.000794202540797274,-0.0011570619345485193,-0.0009372962260212769,-0.0008331002756669352,0.3840136781363539,0.7192829672593846,-0.007489326729342793,0.006534033337871104
LOW_6H_CONTINUE_SHORT,60,0.0,23395,-0.0003500620767598429,-0.0007554108580152263,-0.0004938516772545224,-0.00038655017854992044,0.43876896772814705,0.8943235158876287,-0.009400482845618851,0.009515702747158806
LOW_6H_CONTINUE_SHORT,60,0.0004,23395,-0.000750062076759843,-0.0011554108580152263,-0.0008938516772545219,-0.0007865501785499203,0.41102799743534946,0.7882719390839409,-0.00980048284561885,0.009115702747158807
LOW_6H_CONTINUE_SHORT,60,0.0006,23395,-0.0009500620767598431,-0.0013554108580152262,-0.0010938516772545227,-0.0009865501785499204,0.3952126522761274,0.7405600019032137,-0.01000048284561885,0.008915702747158806
LOW_6H_CONTINUE_SHORT,120,0.0,23395,-0.0004154598355562823,-0.0009517558254021896,-0.0005759734715663514,-0.00043390317288759185,0.4429578969865356,0.9038632217476196,-0.012314084153906845,0.012537112083708082
LOW_6H_CONTINUE_SHORT,120,0.0004,23395,-0.000815459835556282,-0.0013517558254021896,-0.0009759734715663519,-0.0008339031728875917,0.4209019021158367,0.8207308676740801,-0.012714084153906844,0.012137112083708082
LOW_6H_CONTINUE_SHORT,120,0.0006,23395,-0.0010154598355562826,-0.0015517558254021895,-0.0011759734715663518,-0.001033903172887592,0.4101303697371233,0.7823555567843954,-0.012914084153906845,0.011937112083708082
LOW_6H_REVERSE_LONG,5,0.0,23395,9.497612105431747e-05,0.00016623215428568372,0.00013383791856545724,0.00011489781558133671,0.537636247061338,1.0897068196049113,-0.0031136295221100064,0.003250075477629811
LOW_6H_REVERSE_LONG,5,0.0004,23395,-0.00030502387894568254,-0.0002337678457143163,-0.0002661620814345428,-0.00028510218441866336,0.44642017525112204,0.7582374966235365,-0.0035136295221100066,0.002850075477629811
LOW_6H_REVERSE_LONG,5,0.0006,23395,-0.0005050238789456824,-0.00043376784571431623,-0.0004661620814345426,-0.00048510218441866307,0.4009403718743321,0.6332470672108802,-0.0037136295221100062,0.002650075477629811
LOW_6H_REVERSE_LONG,15,0.0,23395,0.00011396833025355473,0.0003680699332873072,0.00022936089236619657,0.00018286303418520332,0.554178243214362,1.0658937319550594,-0.005240247321339209,0.005193443045301832
LOW_6H_REVERSE_LONG,15,0.0004,23395,-0.00028603166974644533,-3.1930066712692825e-05,-0.00017063910763380353,-0.00021713696581479683,0.4956187219491344,0.8509960420419743,-0.005640247321339209,0.004793443045301831
LOW_6H_REVERSE_LONG,15,0.0006,23395,-0.0004860316697464452,-0.00023193006671269275,-0.00037063910763380375,-0.0004171369658147966,0.46715110066253474,0.7597853486368465,-0.0058402473213392085,0.004593443045301832
LOW_6H_REVERSE_LONG,30,0.0,23395,0.000194202540797274,0.0005570619345485195,0.0003372962260212759,0.0002331002756669346,0.5581961957683266,1.0850834852366162,-0.007134033337871104,0.006889326729342794
LOW_6H_REVERSE_LONG,30,0.0004,23395,-0.00020579745920272594,0.00015706193454851947,-6.270377397872367e-05,-0.00016689972433306537,0.5159222055994871,0.9165922547320567,-0.007534033337871104,0.006489326729342794
LOW_6H_REVERSE_LONG,30,0.0006,23395,-0.000405797459202726,-4.293806545148046e-05,-0.00026270377397872387,-0.0003668997243330652,0.4958751870057705,0.8418692100920099,-0.007734033337871104,0.006289326729342794
LOW_6H_REVERSE_LONG,60,0.0,23395,0.0003500620767598429,0.0007554108580152263,0.0004938516772545221,0.0003865501785499203,0.5605043812780509,1.118163597663521,-0.009515702747158804,0.009400482845618854
LOW_6H_REVERSE_LONG,60,0.0004,23395,-4.993792324015693e-05,0.0003554108580152263,9.38516772545223e-05,-1.344982145007962e-05,0.5274631331481086,0.9841213837423257,-0.009915702747158804,0.009000482845618855
LOW_6H_REVERSE_LONG,60,0.0006,23395,-0.0002499379232401571,0.0001554108580152264,-0.00010614832274547825,-0.0002134498214500797,0.5134002992092327,0.9228799672946005,-0.010115702747158804,0.008800482845618855
