variant,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q10,q90
CANDIDATE_FIRST_30M,BNBUSDT,0.0004,692,0.0004526080498840896,3.219253574044989e-05,0.00027918883344921886,0.0004203810647429904,0.5028901734104047,1.1696638404887556,7,-0.007949534734109785,0.009810904009767024
CANDIDATE_FIRST_30M,BNBUSDT,0.0006,692,0.00025260804988408957,-0.00016780746425955004,7.918883344921809e-05,0.00022038106474299034,0.48554913294797686,1.0912400890804874,8,-0.008149534734109785,0.009610904009767024
CANDIDATE_FIRST_30M,BNBUSDT,0.0008,692,5.2608049884089266e-05,-0.0003678074642595501,-0.00012081116655078158,2.038106474298998e-05,0.47398843930635837,1.0183138294773748,8,-0.008349534734109786,0.009410904009767023
CANDIDATE_FIRST_30M,BTCUSDT,0.0004,770,0.00019865777368299918,-0.00026492801207160765,7.06384626724854e-05,0.00016846040077128326,0.4792207792207792,1.0767176816772208,7,-0.007631277903893851,0.008659145650021951
CANDIDATE_FIRST_30M,BTCUSDT,0.0006,770,-1.3422263170011343e-06,-0.0004649280120716076,-0.00012936153732751623,-3.1539599228716666e-05,0.4662337662337662,0.9995019332187345,7,-0.007831277903893851,0.00845914565002195
CANDIDATE_FIRST_30M,BTCUSDT,0.0008,770,-0.00020134222631700113,-0.0006649280120716077,-0.000329361537327516,-0.00023153959922871703,0.45194805194805193,0.9281607050201178,7,-0.008031277903893852,0.00825914565002195
CANDIDATE_FIRST_30M,ETHUSDT,0.0004,804,0.00030752971846898365,-0.0007935949625373247,-0.00011467316868052481,0.00011389174729513191,0.4502487562189055,1.0896004383574762,8,-0.010000717626482856,0.011944060519191438
CANDIDATE_FIRST_30M,ETHUSDT,0.0006,804,0.00010752971846898332,-0.0009935949625373246,-0.0003146731686805252,-8.610825270486811e-05,0.44029850746268656,1.0303514776559815,8,-0.010200717626482857,0.011744060519191437
CANDIDATE_FIRST_30M,ETHUSDT,0.0008,804,-9.247028153101668e-05,-0.0011935949625373247,-0.0005146731686805236,-0.00028610825270486835,0.43034825870646765,0.9747036581465657,8,-0.010400717626482857,0.011544060519191436
CANDIDATE_FIRST_30M,SOLUSDT,0.0004,703,0.00020534025214627108,-0.000707087581378096,-0.0003358027494155245,-0.00023688819635008315,0.4694167852062589,1.045008489193512,12,-0.01334395805064612,0.014060068512275549
